[1650, 1050]
[section-title, [318.0, 133.0, 416.0, 49.5], NCnYCmUFJ0, 5732423]
[paragraph, [180.0, 195.0, 551.0, 36.0], c0wJyVGqvd, 5732423]
[paragraph, [180.0, 231.0, 551.0, 36.0], c0wJyVGqvd, 5732423]
[paragraph, [252.0, 305.0, 534.0, 36.0], 3QCLatBBsS, 5732423]
[paragraph, [252.0, 341.0, 534.0, 36.0], 3QCLatBBsS, 5732423]
[paragraph, [179.0, 406.0, 568.0, 36.0], WHTDvcf2-4, 5732423]
[paragraph, [179.0, 442.0, 568.0, 36.0], WHTDvcf2-4, 5732423]
[paragraph, [249.0, 511.0, 576.0, 36.0], NeOQksrU4B, 5732423]
[paragraph, [249.0, 547.0, 576.0, 36.0], NeOQksrU4B, 5732423]
[paragraph, [183.0, 766.0, 621.0, 36.0], qR-R-Gfian, 5732423]
[paragraph, [183.0, 802.0, 621.0, 36.0], qR-R-Gfian, 5732423]
[paragraph, [249.0, 870.0, 591.0, 36.0], UgtBOoU0OX, 5732423]
[paragraph, [249.0, 906.0, 591.0, 36.0], UgtBOoU0OX, 5732423]
[paragraph, [171.0, 976.0, 644.0, 36.0], 5opod48YmX, 5732423]
[paragraph, [171.0, 1012.0, 644.0, 36.0], 5opod48YmX, 5732423]
[paragraph, [242.0, 1077.0, 521.0, 36.0], RxBBBGj_D2, 5732423]
[paragraph, [242.0, 1113.0, 521.0, 36.0], RxBBBGj_D2, 5732423]
[paragraph, [179.0, 1186.0, 541.0, 36.0], Cgc2034kB0, 5732423]
[paragraph, [179.0, 1222.0, 541.0, 36.0], Cgc2034kB0, 5732423]
[paragraph, [249.0, 1288.0, 551.0, 36.0], oVgdkMajF6, 5732423]
[paragraph, [249.0, 1324.0, 551.0, 36.0], oVgdkMajF6, 5732423]
[paragraph, [170.0, 1393.0, 606.0, 36.0], dH8PkCoK3K, 5732423]
[paragraph, [170.0, 1429.0, 606.0, 36.0], dH8PkCoK3K, 5732423]
[folio, [490.0, 1530.0, 142.0, 36.0], NVnIAXjZnx, 5732423]
