[1650, 1275]
[section-title, [138.0, 138.0, 440.0, 49.5], shoonya_5sF66PVT826NI4, 6469286]
[sub-section-title, [185.0, 202.0, 221.0, 36.0], shoonya_4s57XGNA2MXCDT, 6469286]
[paragraph, [141.0, 253.0, 991.0, 36.0], shoonya_1sL3RXLHC6C1RM, 6469286]
[paragraph, [141.0, 289.0, 991.0, 36.0], shoonya_1sL3RXLHC6C1RM, 6469286]
[paragraph, [141.0, 325.0, 991.0, 36.0], shoonya_1sL3RXLHC6C1RM, 6469286]
[paragraph, [141.0, 361.0, 991.0, 36.0], shoonya_1sL3RXLHC6C1RM, 6469286]
[paragraph, [141.0, 397.0, 991.0, 36.0], shoonya_1sL3RXLHC6C1RM, 6469286]
[paragraph, [141.0, 433.0, 991.0, 36.0], shoonya_1sL3RXLHC6C1RM, 6469286]
[paragraph, [141.0, 469.0, 991.0, 36.0], shoonya_1sL3RXLHC6C1RM, 6469286]
[paragraph, [141.0, 505.0, 991.0, 36.0], shoonya_1sL3RXLHC6C1RM, 6469286]
[paragraph, [141.0, 541.0, 991.0, 36.0], shoonya_1sL3RXLHC6C1RM, 6469286]
[paragraph, [142.0, 612.0, 992.0, 36.0], shoonya_2sJO8ZIRIXWSYK, 6469286]
[paragraph, [142.0, 648.0, 992.0, 36.0], shoonya_2sJO8ZIRIXWSYK, 6469286]
[paragraph, [142.0, 684.0, 992.0, 36.0], shoonya_2sJO8ZIRIXWSYK, 6469286]
[paragraph, [142.0, 720.0, 992.0, 36.0], shoonya_2sJO8ZIRIXWSYK, 6469286]
[paragraph, [142.0, 756.0, 992.0, 36.0], shoonya_2sJO8ZIRIXWSYK, 6469286]
[paragraph, [142.0, 792.0, 992.0, 36.0], shoonya_2sJO8ZIRIXWSYK, 6469286]
[paragraph, [142.0, 828.0, 992.0, 36.0], shoonya_2sJO8ZIRIXWSYK, 6469286]
[paragraph, [143.0, 903.0, 993.0, 36.0], shoonya_0sE2TD9U6BU746, 6469286]
[paragraph, [143.0, 939.0, 993.0, 36.0], shoonya_0sE2TD9U6BU746, 6469286]
[paragraph, [143.0, 975.0, 993.0, 36.0], shoonya_0sE2TD9U6BU746, 6469286]
[paragraph, [143.0, 1011.0, 993.0, 36.0], shoonya_0sE2TD9U6BU746, 6469286]
[paragraph, [143.0, 1047.0, 993.0, 36.0], shoonya_0sE2TD9U6BU746, 6469286]
[paragraph, [143.0, 1083.0, 993.0, 36.0], shoonya_0sE2TD9U6BU746, 6469286]
[paragraph, [143.0, 1119.0, 993.0, 36.0], shoonya_0sE2TD9U6BU746, 6469286]
[paragraph, [143.0, 1155.0, 993.0, 36.0], shoonya_0sE2TD9U6BU746, 6469286]
[paragraph, [143.0, 1191.0, 993.0, 36.0], shoonya_0sE2TD9U6BU746, 6469286]
[paragraph, [143.0, 1227.0, 993.0, 36.0], shoonya_0sE2TD9U6BU746, 6469286]
[paragraph, [143.0, 1263.0, 993.0, 36.0], shoonya_0sE2TD9U6BU746, 6469286]
[paragraph, [143.0, 1299.0, 993.0, 36.0], shoonya_0sE2TD9U6BU746, 6469286]
[paragraph, [143.0, 1335.0, 993.0, 36.0], shoonya_0sE2TD9U6BU746, 6469286]
[folio, [893.0, 1515.0, 221.0, 36.0], shoonya_6sC3879PKX01ZQ, 6469286]
