[1787, 1218]
[paragraph, [286.0, 87.0, 579.0, 36.0], shoonya_0sT57IIIHPW181, 5651109]
[paragraph, [286.0, 123.0, 579.0, 36.0], shoonya_0sT57IIIHPW181, 5651109]
[paragraph, [286.0, 159.0, 579.0, 36.0], shoonya_0sT57IIIHPW181, 5651109]
[paragraph, [286.0, 195.0, 579.0, 36.0], shoonya_0sT57IIIHPW181, 5651109]
[paragraph, [286.0, 231.0, 579.0, 36.0], shoonya_0sT57IIIHPW181, 5651109]
[paragraph, [286.0, 267.0, 579.0, 36.0], shoonya_0sT57IIIHPW181, 5651109]
[paragraph, [286.0, 303.0, 579.0, 36.0], shoonya_0sT57IIIHPW181, 5651109]
[paragraph, [286.0, 339.0, 579.0, 36.0], shoonya_0sT57IIIHPW181, 5651109]
[paragraph, [286.0, 375.0, 579.0, 36.0], shoonya_0sT57IIIHPW181, 5651109]
[paragraph, [286.0, 411.0, 579.0, 36.0], shoonya_0sT57IIIHPW181, 5651109]
[paragraph, [286.0, 447.0, 579.0, 36.0], shoonya_0sT57IIIHPW181, 5651109]
[paragraph, [286.0, 483.0, 579.0, 36.0], shoonya_0sT57IIIHPW181, 5651109]
[paragraph, [286.0, 519.0, 579.0, 36.0], shoonya_0sT57IIIHPW181, 5651109]
[paragraph, [286.0, 555.0, 579.0, 36.0], shoonya_0sT57IIIHPW181, 5651109]
[ordered-list, [91.0, 611.0, 1043.0, 36.0], Xm0u_V2F_K, 5651109]
[ordered-list, [91.0, 647.0, 1043.0, 36.0], Xm0u_V2F_K, 5651109]
[ordered-list, [91.0, 683.0, 1043.0, 36.0], Xm0u_V2F_K, 5651109]
[ordered-list, [91.0, 719.0, 1043.0, 36.0], Xm0u_V2F_K, 5651109]
[ordered-list, [91.0, 755.0, 1043.0, 36.0], Xm0u_V2F_K, 5651109]
[ordered-list, [91.0, 791.0, 1043.0, 36.0], Xm0u_V2F_K, 5651109]
[ordered-list, [91.0, 827.0, 1043.0, 36.0], Xm0u_V2F_K, 5651109]
[ordered-list, [91.0, 863.0, 1043.0, 36.0], Xm0u_V2F_K, 5651109]
[ordered-list, [91.0, 899.0, 1043.0, 36.0], Xm0u_V2F_K, 5651109]
[ordered-list, [91.0, 935.0, 1043.0, 36.0], Xm0u_V2F_K, 5651109]
[ordered-list, [91.0, 971.0, 1043.0, 36.0], Xm0u_V2F_K, 5651109]
[ordered-list, [91.0, 1007.0, 1043.0, 36.0], Xm0u_V2F_K, 5651109]
[ordered-list, [91.0, 1043.0, 1043.0, 36.0], Xm0u_V2F_K, 5651109]
[ordered-list, [91.0, 1079.0, 1043.0, 36.0], Xm0u_V2F_K, 5651109]
[ordered-list, [91.0, 1115.0, 1043.0, 36.0], Xm0u_V2F_K, 5651109]
[ordered-list, [91.0, 1151.0, 1043.0, 36.0], Xm0u_V2F_K, 5651109]
[ordered-list, [91.0, 1187.0, 1043.0, 36.0], Xm0u_V2F_K, 5651109]
[ordered-list, [91.0, 1223.0, 1043.0, 36.0], Xm0u_V2F_K, 5651109]
[ordered-list, [91.0, 1259.0, 1043.0, 36.0], Xm0u_V2F_K, 5651109]
[ordered-list, [91.0, 1295.0, 1043.0, 36.0], Xm0u_V2F_K, 5651109]
[ordered-list, [91.0, 1331.0, 1043.0, 36.0], Xm0u_V2F_K, 5651109]
[ordered-list, [91.0, 1367.0, 1043.0, 36.0], Xm0u_V2F_K, 5651109]
[ordered-list, [91.0, 1403.0, 1043.0, 36.0], Xm0u_V2F_K, 5651109]
[ordered-list, [91.0, 1439.0, 1043.0, 36.0], Xm0u_V2F_K, 5651109]
[ordered-list, [91.0, 1475.0, 1043.0, 36.0], Xm0u_V2F_K, 5651109]
[ordered-list, [91.0, 1511.0, 1043.0, 36.0], Xm0u_V2F_K, 5651109]
[ordered-list, [91.0, 1547.0, 1043.0, 36.0], Xm0u_V2F_K, 5651109]
[sub-ordered-list, [205.0, 945.0, 777.0, 36.0], X8T1xE6K7T, 5651109]
[sub-ordered-list, [205.0, 981.0, 777.0, 36.0], X8T1xE6K7T, 5651109]
[sub-ordered-list, [205.0, 1017.0, 777.0, 36.0], X8T1xE6K7T, 5651109]
[sub-ordered-list, [205.0, 1053.0, 777.0, 36.0], X8T1xE6K7T, 5651109]
[sub-ordered-list, [205.0, 1089.0, 777.0, 36.0], X8T1xE6K7T, 5651109]
[sub-ordered-list, [205.0, 1125.0, 777.0, 36.0], X8T1xE6K7T, 5651109]
[sub-ordered-list, [205.0, 1161.0, 777.0, 36.0], X8T1xE6K7T, 5651109]
[sub-ordered-list, [205.0, 1197.0, 777.0, 36.0], X8T1xE6K7T, 5651109]
[sub-ordered-list, [205.0, 1233.0, 777.0, 36.0], X8T1xE6K7T, 5651109]
