[539, 683]
[unordered-list, [235.0, 40.0, 185.0, 18.0], shoonya_0sLFRGPBS9644S, 5771421]
[unordered-list, [235.0, 58.0, 185.0, 18.0], shoonya_0sLFRGPBS9644S, 5771421]
[unordered-list, [235.0, 76.0, 185.0, 18.0], shoonya_0sLFRGPBS9644S, 5771421]
[unordered-list, [235.0, 94.0, 185.0, 18.0], shoonya_0sLFRGPBS9644S, 5771421]
[unordered-list, [235.0, 112.0, 185.0, 18.0], shoonya_0sLFRGPBS9644S, 5771421]
[unordered-list, [235.0, 130.0, 185.0, 18.0], shoonya_0sLFRGPBS9644S, 5771421]
[unordered-list, [235.0, 148.0, 185.0, 18.0], shoonya_0sLFRGPBS9644S, 5771421]
[unordered-list, [235.0, 166.0, 185.0, 18.0], shoonya_0sLFRGPBS9644S, 5771421]
[unordered-list, [235.0, 184.0, 185.0, 18.0], shoonya_0sLFRGPBS9644S, 5771421]
[unordered-list, [235.0, 202.0, 185.0, 18.0], shoonya_0sLFRGPBS9644S, 5771421]
[unordered-list, [235.0, 220.0, 185.0, 18.0], shoonya_0sLFRGPBS9644S, 5771421]
[unordered-list, [235.0, 238.0, 185.0, 18.0], shoonya_0sLFRGPBS9644S, 5771421]
[unordered-list, [235.0, 256.0, 185.0, 18.0], shoonya_0sLFRGPBS9644S, 5771421]
[unordered-list, [235.0, 274.0, 185.0, 18.0], shoonya_0sLFRGPBS9644S, 5771421]
[unordered-list, [235.0, 292.0, 185.0, 18.0], shoonya_0sLFRGPBS9644S, 5771421]
[unordered-list, [235.0, 310.0, 185.0, 18.0], shoonya_0sLFRGPBS9644S, 5771421]
[unordered-list, [235.0, 328.0, 185.0, 18.0], shoonya_0sLFRGPBS9644S, 5771421]
[unordered-list, [235.0, 346.0, 185.0, 18.0], shoonya_0sLFRGPBS9644S, 5771421]
[unordered-list, [235.0, 364.0, 185.0, 18.0], shoonya_0sLFRGPBS9644S, 5771421]
[unordered-list, [235.0, 382.0, 185.0, 18.0], shoonya_0sLFRGPBS9644S, 5771421]
[unordered-list, [235.0, 400.0, 185.0, 18.0], shoonya_0sLFRGPBS9644S, 5771421]
[unordered-list, [235.0, 418.0, 185.0, 18.0], shoonya_0sLFRGPBS9644S, 5771421]
[unordered-list, [235.0, 436.0, 185.0, 18.0], shoonya_0sLFRGPBS9644S, 5771421]
[unordered-list, [235.0, 454.0, 185.0, 18.0], shoonya_0sLFRGPBS9644S, 5771421]
[unordered-list, [420.0, 44.0, 210.0, 18.0], p1te2L9e-U, 5771421]
[unordered-list, [420.0, 62.0, 210.0, 18.0], p1te2L9e-U, 5771421]
[unordered-list, [420.0, 80.0, 210.0, 18.0], p1te2L9e-U, 5771421]
[unordered-list, [420.0, 98.0, 210.0, 18.0], p1te2L9e-U, 5771421]
[unordered-list, [420.0, 116.0, 210.0, 18.0], p1te2L9e-U, 5771421]
[unordered-list, [420.0, 134.0, 210.0, 18.0], p1te2L9e-U, 5771421]
[unordered-list, [420.0, 152.0, 210.0, 18.0], p1te2L9e-U, 5771421]
[unordered-list, [420.0, 170.0, 210.0, 18.0], p1te2L9e-U, 5771421]
[unordered-list, [420.0, 188.0, 210.0, 18.0], p1te2L9e-U, 5771421]
[unordered-list, [420.0, 206.0, 210.0, 18.0], p1te2L9e-U, 5771421]
[unordered-list, [420.0, 224.0, 210.0, 18.0], p1te2L9e-U, 5771421]
[unordered-list, [420.0, 242.0, 210.0, 18.0], p1te2L9e-U, 5771421]
[unordered-list, [420.0, 260.0, 210.0, 18.0], p1te2L9e-U, 5771421]
[unordered-list, [420.0, 278.0, 210.0, 18.0], p1te2L9e-U, 5771421]
[unordered-list, [420.0, 296.0, 210.0, 18.0], p1te2L9e-U, 5771421]
[unordered-list, [420.0, 314.0, 210.0, 18.0], p1te2L9e-U, 5771421]
[unordered-list, [420.0, 332.0, 210.0, 18.0], p1te2L9e-U, 5771421]
[unordered-list, [420.0, 350.0, 210.0, 18.0], p1te2L9e-U, 5771421]
[unordered-list, [420.0, 368.0, 210.0, 18.0], p1te2L9e-U, 5771421]
[unordered-list, [420.0, 386.0, 210.0, 18.0], p1te2L9e-U, 5771421]
[unordered-list, [420.0, 404.0, 210.0, 18.0], p1te2L9e-U, 5771421]
[unordered-list, [420.0, 422.0, 210.0, 18.0], p1te2L9e-U, 5771421]
[unordered-list, [420.0, 440.0, 210.0, 18.0], p1te2L9e-U, 5771421]
[unordered-list, [420.0, 458.0, 210.0, 18.0], p1te2L9e-U, 5771421]
[headline, [50.0, 63.0, 141.0, 25.5], shoonya_1s28A3HEFAKJF2, 5771421]
[headline, [50.0, 88.5, 141.0, 25.5], shoonya_1s28A3HEFAKJF2, 5771421]
[headline, [50.0, 114.0, 141.0, 25.5], shoonya_1s28A3HEFAKJF2, 5771421]
[headline, [50.0, 139.5, 141.0, 25.5], shoonya_1s28A3HEFAKJF2, 5771421]
[headline, [50.0, 165.0, 141.0, 25.5], shoonya_1s28A3HEFAKJF2, 5771421]
