[1818, 1374]
[folio, [483.0, 118.0, 409.0, 36.0], shoonya_1s9CB4G1HIETEE, 5682331]
[paragraph, [111.0, 181.0, 563.0, 36.0], shoonya_3sJNLNSRLWSYNX, 5682331]
[paragraph, [111.0, 217.0, 563.0, 36.0], shoonya_3sJNLNSRLWSYNX, 5682331]
[paragraph, [699.0, 185.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 221.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 257.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 293.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 329.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 365.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 401.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 437.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 473.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 509.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 545.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 581.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 617.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 653.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 689.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 725.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 761.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 797.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 833.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 869.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 905.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 941.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 977.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 1013.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 1049.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 1085.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 1121.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 1157.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 1193.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 1229.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 1265.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 1301.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 1337.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 1373.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 1409.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 1445.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 1481.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 1517.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 1553.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 1589.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [699.0, 1625.0, 573.0, 36.0], 1dBsZobBcb, 5682331]
[paragraph, [109.0, 274.0, 566.0, 36.0], 4eAVOCMpu_, 5682331]
[paragraph, [109.0, 310.0, 566.0, 36.0], 4eAVOCMpu_, 5682331]
[paragraph, [109.0, 346.0, 566.0, 36.0], 4eAVOCMpu_, 5682331]
[paragraph, [109.0, 382.0, 566.0, 36.0], 4eAVOCMpu_, 5682331]
[paragraph, [109.0, 439.0, 566.0, 36.0], XN-uMIJMm8, 5682331]
[paragraph, [109.0, 475.0, 566.0, 36.0], XN-uMIJMm8, 5682331]
[paragraph, [111.0, 521.0, 566.0, 36.0], sXHF_QsH8I, 5682331]
[paragraph, [111.0, 557.0, 566.0, 36.0], sXHF_QsH8I, 5682331]
[paragraph, [111.0, 593.0, 566.0, 36.0], sXHF_QsH8I, 5682331]
[paragraph, [109.0, 643.0, 566.0, 36.0], dT2Yr8sGpN, 5682331]
[paragraph, [109.0, 679.0, 566.0, 36.0], dT2Yr8sGpN, 5682331]
[paragraph, [109.0, 715.0, 566.0, 36.0], dT2Yr8sGpN, 5682331]
[paragraph, [109.0, 751.0, 566.0, 36.0], dT2Yr8sGpN, 5682331]
[paragraph, [109.0, 920.0, 571.0, 36.0], YaZ0N9aIPO, 5682331]
[paragraph, [109.0, 956.0, 571.0, 36.0], YaZ0N9aIPO, 5682331]
[paragraph, [109.0, 992.0, 571.0, 36.0], YaZ0N9aIPO, 5682331]
[paragraph, [109.0, 1028.0, 571.0, 36.0], YaZ0N9aIPO, 5682331]
[paragraph, [109.0, 1064.0, 571.0, 36.0], YaZ0N9aIPO, 5682331]
[paragraph, [109.0, 1100.0, 571.0, 36.0], YaZ0N9aIPO, 5682331]
[paragraph, [109.0, 1136.0, 571.0, 36.0], YaZ0N9aIPO, 5682331]
[paragraph, [109.0, 1172.0, 571.0, 36.0], YaZ0N9aIPO, 5682331]
[paragraph, [109.0, 1208.0, 571.0, 36.0], YaZ0N9aIPO, 5682331]
[paragraph, [109.0, 1244.0, 571.0, 36.0], YaZ0N9aIPO, 5682331]
