[1818, 1374]
[folio, [513.0, 162.0, 359.0, 36.0], UvPNKLCwMK, 5682222]
[paragraph, [696.0, 241.0, 572.0, 36.0], shoonya_2sIRQ51UN8C0M3, 5682222]
[paragraph, [696.0, 277.0, 572.0, 36.0], shoonya_2sIRQ51UN8C0M3, 5682222]
[paragraph, [696.0, 313.0, 572.0, 36.0], shoonya_2sIRQ51UN8C0M3, 5682222]
[paragraph, [696.0, 349.0, 572.0, 36.0], shoonya_2sIRQ51UN8C0M3, 5682222]
[paragraph, [696.0, 385.0, 572.0, 36.0], shoonya_2sIRQ51UN8C0M3, 5682222]
[paragraph, [696.0, 421.0, 572.0, 36.0], shoonya_2sIRQ51UN8C0M3, 5682222]
[paragraph, [696.0, 457.0, 572.0, 36.0], shoonya_2sIRQ51UN8C0M3, 5682222]
[paragraph, [696.0, 493.0, 572.0, 36.0], shoonya_2sIRQ51UN8C0M3, 5682222]
[paragraph, [696.0, 529.0, 572.0, 36.0], shoonya_2sIRQ51UN8C0M3, 5682222]
[paragraph, [696.0, 565.0, 572.0, 36.0], shoonya_2sIRQ51UN8C0M3, 5682222]
[paragraph, [696.0, 601.0, 572.0, 36.0], shoonya_2sIRQ51UN8C0M3, 5682222]
[paragraph, [696.0, 637.0, 572.0, 36.0], shoonya_2sIRQ51UN8C0M3, 5682222]
[paragraph, [696.0, 673.0, 572.0, 36.0], shoonya_2sIRQ51UN8C0M3, 5682222]
[paragraph, [696.0, 709.0, 572.0, 36.0], shoonya_2sIRQ51UN8C0M3, 5682222]
[paragraph, [696.0, 745.0, 572.0, 36.0], shoonya_2sIRQ51UN8C0M3, 5682222]
[paragraph, [696.0, 781.0, 572.0, 36.0], shoonya_2sIRQ51UN8C0M3, 5682222]
[paragraph, [696.0, 817.0, 572.0, 36.0], shoonya_2sIRQ51UN8C0M3, 5682222]
[paragraph, [696.0, 853.0, 572.0, 36.0], shoonya_2sIRQ51UN8C0M3, 5682222]
[paragraph, [696.0, 889.0, 572.0, 36.0], shoonya_2sIRQ51UN8C0M3, 5682222]
[paragraph, [696.0, 925.0, 572.0, 36.0], shoonya_2sIRQ51UN8C0M3, 5682222]
[paragraph, [696.0, 961.0, 572.0, 36.0], shoonya_2sIRQ51UN8C0M3, 5682222]
[paragraph, [696.0, 997.0, 572.0, 36.0], shoonya_2sIRQ51UN8C0M3, 5682222]
[paragraph, [696.0, 1033.0, 572.0, 36.0], shoonya_2sIRQ51UN8C0M3, 5682222]
[paragraph, [696.0, 1069.0, 572.0, 36.0], shoonya_2sIRQ51UN8C0M3, 5682222]
[paragraph, [696.0, 1105.0, 572.0, 36.0], shoonya_2sIRQ51UN8C0M3, 5682222]
[paragraph, [696.0, 1141.0, 572.0, 36.0], shoonya_2sIRQ51UN8C0M3, 5682222]
[paragraph, [696.0, 1177.0, 572.0, 36.0], shoonya_2sIRQ51UN8C0M3, 5682222]
[paragraph, [696.0, 1213.0, 572.0, 36.0], shoonya_2sIRQ51UN8C0M3, 5682222]
[paragraph, [696.0, 1249.0, 572.0, 36.0], shoonya_2sIRQ51UN8C0M3, 5682222]
[paragraph, [696.0, 1285.0, 572.0, 36.0], shoonya_2sIRQ51UN8C0M3, 5682222]
[paragraph, [696.0, 1321.0, 572.0, 36.0], shoonya_2sIRQ51UN8C0M3, 5682222]
[paragraph, [696.0, 1357.0, 572.0, 36.0], shoonya_2sIRQ51UN8C0M3, 5682222]
[paragraph, [696.0, 1393.0, 572.0, 36.0], shoonya_2sIRQ51UN8C0M3, 5682222]
[paragraph, [696.0, 1429.0, 572.0, 36.0], shoonya_2sIRQ51UN8C0M3, 5682222]
[paragraph, [696.0, 1465.0, 572.0, 36.0], shoonya_2sIRQ51UN8C0M3, 5682222]
[paragraph, [696.0, 1501.0, 572.0, 36.0], shoonya_2sIRQ51UN8C0M3, 5682222]
