[1320, 1176]
[folio, [91.0, 59.0, 147.0, 18.0], shoonya_0s6TC98FOPBSQ2, 5694092]
[folio, [91.0, 77.0, 147.0, 18.0], shoonya_0s6TC98FOPBSQ2, 5694092]
[folio, [91.0, 95.0, 147.0, 18.0], shoonya_0s6TC98FOPBSQ2, 5694092]
[folio, [91.0, 113.0, 147.0, 18.0], shoonya_0s6TC98FOPBSQ2, 5694092]
[folio, [91.0, 131.0, 147.0, 18.0], shoonya_0s6TC98FOPBSQ2, 5694092]
[paragraph, [92.0, 187.0, 315.0, 18.0], rO2Padoh91, 5694092]
[paragraph, [92.0, 205.0, 315.0, 18.0], rO2Padoh91, 5694092]
[paragraph, [92.0, 223.0, 315.0, 18.0], rO2Padoh91, 5694092]
[paragraph, [92.0, 241.0, 315.0, 18.0], rO2Padoh91, 5694092]
[paragraph, [92.0, 259.0, 315.0, 18.0], rO2Padoh91, 5694092]
[paragraph, [92.0, 277.0, 315.0, 18.0], rO2Padoh91, 5694092]
[paragraph, [92.0, 295.0, 315.0, 18.0], rO2Padoh91, 5694092]
[paragraph, [92.0, 313.0, 315.0, 18.0], rO2Padoh91, 5694092]
[paragraph, [92.0, 331.0, 315.0, 18.0], rO2Padoh91, 5694092]
[paragraph, [92.0, 349.0, 315.0, 18.0], rO2Padoh91, 5694092]
[paragraph, [92.0, 367.0, 315.0, 18.0], rO2Padoh91, 5694092]
[paragraph, [92.0, 385.0, 315.0, 18.0], rO2Padoh91, 5694092]
[paragraph, [92.0, 403.0, 315.0, 18.0], rO2Padoh91, 5694092]
[paragraph, [92.0, 421.0, 315.0, 18.0], rO2Padoh91, 5694092]
[paragraph, [92.0, 439.0, 315.0, 18.0], rO2Padoh91, 5694092]
[paragraph, [92.0, 457.0, 315.0, 18.0], rO2Padoh91, 5694092]
[paragraph, [92.0, 475.0, 315.0, 18.0], rO2Padoh91, 5694092]
[paragraph, [92.0, 493.0, 315.0, 18.0], rO2Padoh91, 5694092]
[paragraph, [92.0, 511.0, 315.0, 18.0], rO2Padoh91, 5694092]
[paragraph, [92.0, 529.0, 315.0, 18.0], rO2Padoh91, 5694092]
[paragraph, [92.0, 547.0, 315.0, 18.0], rO2Padoh91, 5694092]
[paragraph, [92.0, 565.0, 315.0, 18.0], rO2Padoh91, 5694092]
[paragraph, [92.0, 583.0, 315.0, 18.0], rO2Padoh91, 5694092]
[paragraph, [92.0, 601.0, 315.0, 18.0], rO2Padoh91, 5694092]
[paragraph, [92.0, 619.0, 315.0, 18.0], rO2Padoh91, 5694092]
[paragraph, [92.0, 637.0, 315.0, 18.0], rO2Padoh91, 5694092]
[paragraph, [92.0, 655.0, 315.0, 18.0], rO2Padoh91, 5694092]
[paragraph, [92.0, 673.0, 315.0, 18.0], rO2Padoh91, 5694092]
[paragraph, [92.0, 691.0, 315.0, 18.0], rO2Padoh91, 5694092]
[paragraph, [427.0, 189.0, 317.0, 18.0], 8OE4H3pQAU, 5694092]
[paragraph, [427.0, 207.0, 317.0, 18.0], 8OE4H3pQAU, 5694092]
[paragraph, [427.0, 225.0, 317.0, 18.0], 8OE4H3pQAU, 5694092]
[paragraph, [427.0, 243.0, 317.0, 18.0], 8OE4H3pQAU, 5694092]
[paragraph, [427.0, 261.0, 317.0, 18.0], 8OE4H3pQAU, 5694092]
[paragraph, [427.0, 279.0, 317.0, 18.0], 8OE4H3pQAU, 5694092]
[paragraph, [427.0, 297.0, 317.0, 18.0], 8OE4H3pQAU, 5694092]
[paragraph, [427.0, 315.0, 317.0, 18.0], 8OE4H3pQAU, 5694092]
[paragraph, [764.0, 226.0, 314.0, 18.0], GTRoa2vBMN, 5694092]
[paragraph, [764.0, 244.0, 314.0, 18.0], GTRoa2vBMN, 5694092]
