[3508, 2481]
[flag, [818.0, 338.0, 840.0, 52.5], MN2qe_wC35, 6534603]
[flag, [818.0, 390.5, 840.0, 52.5], MN2qe_wC35, 6534603]
[flag, [818.0, 443.0, 840.0, 52.5], MN2qe_wC35, 6534603]
[section-title, [846.0, 548.0, 738.0, 93.0], F08rpC6HD_, 6534603]
[sub-section-title, [204.0, 825.0, 973.0, 73.5], LCAAsPsQ2p, 6534603]
[dateline, [224.0, 1089.0, 259.0, 52.5], mzWD12nehU, 6534603]
[paragraph, [221.0, 1342.0, 305.0, 52.5], ZsPLTdnPGr, 6534603]
[paragraph, [213.0, 1436.0, 2062.0, 52.5], hSpE61Ut-m, 6534603]
[paragraph, [213.0, 1488.5, 2062.0, 52.5], hSpE61Ut-m, 6534603]
[paragraph, [213.0, 1541.0, 2062.0, 52.5], hSpE61Ut-m, 6534603]
[paragraph, [213.0, 1593.5, 2062.0, 52.5], hSpE61Ut-m, 6534603]
[paragraph, [213.0, 1646.0, 2062.0, 52.5], hSpE61Ut-m, 6534603]
[paragraph, [213.0, 1698.5, 2062.0, 52.5], hSpE61Ut-m, 6534603]
[paragraph, [214.0, 1814.0, 2062.0, 52.5], shoonya_0sMMYQTG448EH3, 6534603]
[paragraph, [214.0, 1866.5, 2062.0, 52.5], shoonya_0sMMYQTG448EH3, 6534603]
[paragraph, [214.0, 1919.0, 2062.0, 52.5], shoonya_0sMMYQTG448EH3, 6534603]
[paragraph, [214.0, 1971.5, 2062.0, 52.5], shoonya_0sMMYQTG448EH3, 6534603]
[paragraph, [214.0, 2024.0, 2062.0, 52.5], shoonya_0sMMYQTG448EH3, 6534603]
[paragraph, [214.0, 2076.5, 2062.0, 52.5], shoonya_0sMMYQTG448EH3, 6534603]
[paragraph, [214.0, 2129.0, 2062.0, 52.5], shoonya_0sMMYQTG448EH3, 6534603]
[paragraph, [214.0, 2181.5, 2062.0, 52.5], shoonya_0sMMYQTG448EH3, 6534603]
[paragraph, [214.0, 2234.0, 2062.0, 52.5], shoonya_0sMMYQTG448EH3, 6534603]
[paragraph, [214.0, 2286.5, 2062.0, 52.5], shoonya_0sMMYQTG448EH3, 6534603]
[paragraph, [214.0, 2339.0, 2062.0, 52.5], shoonya_0sMMYQTG448EH3, 6534603]
[author, [213.0, 2479.0, 335.0, 52.5], Jwo7eQB61J, 6534603]
[author, [213.0, 2531.5, 335.0, 52.5], Jwo7eQB61J, 6534603]
[contact-info, [1668.0, 3266.0, 617.0, 52.5], hZj-uQGi1V, 6534603]
[contact-info, [1668.0, 3318.5, 617.0, 52.5], hZj-uQGi1V, 6534603]
