[842, 596]
[unordered-list, [72.0, 53.0, 470.0, 18.0], shoonya_6sKRIKMYIHZMPE, 5766077]
[unordered-list, [72.0, 71.0, 470.0, 18.0], shoonya_6sKRIKMYIHZMPE, 5766077]
[unordered-list, [72.0, 89.0, 470.0, 18.0], shoonya_6sKRIKMYIHZMPE, 5766077]
[unordered-list, [72.0, 107.0, 470.0, 18.0], shoonya_6sKRIKMYIHZMPE, 5766077]
[unordered-list, [72.0, 125.0, 470.0, 18.0], shoonya_6sKRIKMYIHZMPE, 5766077]
[unordered-list, [72.0, 143.0, 470.0, 18.0], shoonya_6sKRIKMYIHZMPE, 5766077]
[unordered-list, [72.0, 161.0, 470.0, 18.0], shoonya_6sKRIKMYIHZMPE, 5766077]
[unordered-list, [72.0, 179.0, 470.0, 18.0], shoonya_6sKRIKMYIHZMPE, 5766077]
[unordered-list, [72.0, 197.0, 470.0, 18.0], shoonya_6sKRIKMYIHZMPE, 5766077]
[unordered-list, [72.0, 215.0, 470.0, 18.0], shoonya_6sKRIKMYIHZMPE, 5766077]
[unordered-list, [72.0, 233.0, 470.0, 18.0], shoonya_6sKRIKMYIHZMPE, 5766077]
[ordered-list, [64.0, 282.0, 443.0, 18.0], shoonya_3s7ELHA1Y76FX7, 5766077]
[ordered-list, [64.0, 300.0, 443.0, 18.0], shoonya_3s7ELHA1Y76FX7, 5766077]
[ordered-list, [64.0, 318.0, 443.0, 18.0], shoonya_3s7ELHA1Y76FX7, 5766077]
[ordered-list, [64.0, 336.0, 443.0, 18.0], shoonya_3s7ELHA1Y76FX7, 5766077]
[ordered-list, [64.0, 354.0, 443.0, 18.0], shoonya_3s7ELHA1Y76FX7, 5766077]
[ordered-list, [64.0, 372.0, 443.0, 18.0], shoonya_3s7ELHA1Y76FX7, 5766077]
[ordered-list, [64.0, 390.0, 443.0, 18.0], shoonya_3s7ELHA1Y76FX7, 5766077]
[ordered-list, [64.0, 408.0, 443.0, 18.0], shoonya_3s7ELHA1Y76FX7, 5766077]
[ordered-list, [64.0, 426.0, 443.0, 18.0], shoonya_3s7ELHA1Y76FX7, 5766077]
[paragraph, [53.0, 492.0, 487.0, 18.0], shoonya_1sEXCB6ZL83JKB, 5766077]
[paragraph, [53.0, 510.0, 487.0, 18.0], shoonya_1sEXCB6ZL83JKB, 5766077]
[paragraph, [53.0, 528.0, 487.0, 18.0], shoonya_1sEXCB6ZL83JKB, 5766077]
[paragraph, [53.0, 546.0, 487.0, 18.0], shoonya_1sEXCB6ZL83JKB, 5766077]
[paragraph, [53.0, 601.0, 488.0, 18.0], shoonya_0sPRQIPS8IM50V, 5766077]
[paragraph, [53.0, 619.0, 488.0, 18.0], shoonya_0sPRQIPS8IM50V, 5766077]
[paragraph, [53.0, 637.0, 488.0, 18.0], shoonya_0sPRQIPS8IM50V, 5766077]
[paragraph, [53.0, 655.0, 488.0, 18.0], shoonya_0sPRQIPS8IM50V, 5766077]
[paragraph, [53.0, 673.0, 488.0, 18.0], shoonya_0sPRQIPS8IM50V, 5766077]
[paragraph, [53.0, 691.0, 488.0, 18.0], shoonya_0sPRQIPS8IM50V, 5766077]
[paragraph, [53.0, 709.0, 488.0, 18.0], shoonya_0sPRQIPS8IM50V, 5766077]
[paragraph, [53.0, 727.0, 488.0, 18.0], shoonya_0sPRQIPS8IM50V, 5766077]
[paragraph, [53.0, 745.0, 488.0, 18.0], shoonya_0sPRQIPS8IM50V, 5766077]
