[900, 630]
[folio, [101.0, 51.0, 121.0, 18.0], shoonya_11sTFRI8IWBD8H, 5744802]
[paragraph, [73.0, 133.0, 491.0, 18.0], shoonya_4sSY0ZNNEL4GAV, 5744802]
[paragraph, [73.0, 151.0, 491.0, 18.0], shoonya_4sSY0ZNNEL4GAV, 5744802]
[paragraph, [73.0, 169.0, 491.0, 18.0], shoonya_4sSY0ZNNEL4GAV, 5744802]
[paragraph, [71.0, 226.0, 494.0, 18.0], shoonya_7s8EHUAANRC7SX, 5744802]
[paragraph, [71.0, 244.0, 494.0, 18.0], shoonya_7s8EHUAANRC7SX, 5744802]
[paragraph, [71.0, 262.0, 494.0, 18.0], shoonya_7s8EHUAANRC7SX, 5744802]
[paragraph, [72.0, 289.0, 499.0, 18.0], -WQY3a-TFi, 5744802]
[paragraph, [72.0, 307.0, 499.0, 18.0], -WQY3a-TFi, 5744802]
[paragraph, [72.0, 325.0, 499.0, 18.0], -WQY3a-TFi, 5744802]
[unordered-list, [75.0, 370.0, 492.0, 18.0], shoonya_1s3K2AIKQ6OIK3, 5744802]
[unordered-list, [75.0, 388.0, 492.0, 18.0], shoonya_1s3K2AIKQ6OIK3, 5744802]
[unordered-list, [75.0, 406.0, 492.0, 18.0], shoonya_1s3K2AIKQ6OIK3, 5744802]
[unordered-list, [75.0, 424.0, 492.0, 18.0], shoonya_1s3K2AIKQ6OIK3, 5744802]
[unordered-list, [75.0, 442.0, 492.0, 18.0], shoonya_1s3K2AIKQ6OIK3, 5744802]
[unordered-list, [75.0, 460.0, 492.0, 18.0], shoonya_1s3K2AIKQ6OIK3, 5744802]
[unordered-list, [71.0, 533.0, 325.0, 18.0], shoonya_3sGGTQQG8N7YL9, 5744802]
[unordered-list, [71.0, 551.0, 325.0, 18.0], shoonya_3sGGTQQG8N7YL9, 5744802]
[unordered-list, [71.0, 569.0, 325.0, 18.0], shoonya_3sGGTQQG8N7YL9, 5744802]
[unordered-list, [71.0, 587.0, 325.0, 18.0], shoonya_3sGGTQQG8N7YL9, 5744802]
[unordered-list, [71.0, 605.0, 325.0, 18.0], shoonya_3sGGTQQG8N7YL9, 5744802]
[unordered-list, [71.0, 623.0, 325.0, 18.0], shoonya_3sGGTQQG8N7YL9, 5744802]
[unordered-list, [71.0, 641.0, 325.0, 18.0], shoonya_3sGGTQQG8N7YL9, 5744802]
[unordered-list, [73.0, 684.0, 320.0, 18.0], PtcNjDVaZ0, 5744802]
[unordered-list, [73.0, 702.0, 320.0, 18.0], PtcNjDVaZ0, 5744802]
[unordered-list, [73.0, 720.0, 320.0, 18.0], PtcNjDVaZ0, 5744802]
[unordered-list, [73.0, 738.0, 320.0, 18.0], PtcNjDVaZ0, 5744802]
[unordered-list, [73.0, 756.0, 320.0, 18.0], PtcNjDVaZ0, 5744802]
[unordered-list, [73.0, 774.0, 320.0, 18.0], PtcNjDVaZ0, 5744802]
