[1875, 1200]
[folio, [276.0, 193.0, 740.0, 36.0], mLxmhZKGWW, 5710905]
[paragraph, [138.0, 268.0, 905.0, 36.0], mOaAd_iALG, 5710905]
[paragraph, [138.0, 304.0, 905.0, 36.0], mOaAd_iALG, 5710905]
[paragraph, [138.0, 340.0, 905.0, 36.0], mOaAd_iALG, 5710905]
[paragraph, [162.0, 397.0, 876.0, 36.0], shoonya_0sT5I0UGH34J3N, 5710905]
[paragraph, [162.0, 433.0, 876.0, 36.0], shoonya_0sT5I0UGH34J3N, 5710905]
[paragraph, [162.0, 469.0, 876.0, 36.0], shoonya_0sT5I0UGH34J3N, 5710905]
[paragraph, [162.0, 505.0, 876.0, 36.0], shoonya_0sT5I0UGH34J3N, 5710905]
[paragraph, [162.0, 541.0, 876.0, 36.0], shoonya_0sT5I0UGH34J3N, 5710905]
[paragraph, [162.0, 577.0, 876.0, 36.0], shoonya_0sT5I0UGH34J3N, 5710905]
[paragraph, [162.0, 613.0, 876.0, 36.0], shoonya_0sT5I0UGH34J3N, 5710905]
[paragraph, [162.0, 649.0, 876.0, 36.0], shoonya_0sT5I0UGH34J3N, 5710905]
[paragraph, [162.0, 685.0, 876.0, 36.0], shoonya_0sT5I0UGH34J3N, 5710905]
[paragraph, [162.0, 721.0, 876.0, 36.0], shoonya_0sT5I0UGH34J3N, 5710905]
[paragraph, [162.0, 757.0, 876.0, 36.0], shoonya_0sT5I0UGH34J3N, 5710905]
[paragraph, [162.0, 793.0, 876.0, 36.0], shoonya_0sT5I0UGH34J3N, 5710905]
[paragraph, [162.0, 829.0, 876.0, 36.0], shoonya_0sT5I0UGH34J3N, 5710905]
[paragraph, [162.0, 865.0, 876.0, 36.0], shoonya_0sT5I0UGH34J3N, 5710905]
[paragraph, [162.0, 901.0, 876.0, 36.0], shoonya_0sT5I0UGH34J3N, 5710905]
[paragraph, [162.0, 937.0, 876.0, 36.0], shoonya_0sT5I0UGH34J3N, 5710905]
[paragraph, [162.0, 973.0, 876.0, 36.0], shoonya_0sT5I0UGH34J3N, 5710905]
[paragraph, [162.0, 1009.0, 876.0, 36.0], shoonya_0sT5I0UGH34J3N, 5710905]
[paragraph, [162.0, 1045.0, 876.0, 36.0], shoonya_0sT5I0UGH34J3N, 5710905]
[paragraph, [162.0, 1081.0, 876.0, 36.0], shoonya_0sT5I0UGH34J3N, 5710905]
[paragraph, [162.0, 1117.0, 876.0, 36.0], shoonya_0sT5I0UGH34J3N, 5710905]
[paragraph, [162.0, 1153.0, 876.0, 36.0], shoonya_0sT5I0UGH34J3N, 5710905]
[paragraph, [162.0, 1189.0, 876.0, 36.0], shoonya_0sT5I0UGH34J3N, 5710905]
[paragraph, [162.0, 1225.0, 876.0, 36.0], shoonya_0sT5I0UGH34J3N, 5710905]
[paragraph, [162.0, 1261.0, 876.0, 36.0], shoonya_0sT5I0UGH34J3N, 5710905]
[paragraph, [162.0, 1297.0, 876.0, 36.0], shoonya_0sT5I0UGH34J3N, 5710905]
[paragraph, [167.0, 1355.0, 868.0, 36.0], d81PRrggqU, 5710905]
[paragraph, [167.0, 1391.0, 868.0, 36.0], d81PRrggqU, 5710905]
[paragraph, [167.0, 1427.0, 868.0, 36.0], d81PRrggqU, 5710905]
[paragraph, [167.0, 1463.0, 868.0, 36.0], d81PRrggqU, 5710905]
[paragraph, [167.0, 1499.0, 868.0, 36.0], d81PRrggqU, 5710905]
[paragraph, [167.0, 1535.0, 868.0, 36.0], d81PRrggqU, 5710905]
[paragraph, [167.0, 1571.0, 868.0, 36.0], d81PRrggqU, 5710905]
