[1755, 1240]
[headline, [258.0, 237.0, 728.0, 37.5], shoonya_8sKU36EHXJ3SVI, 6471990]
[headline, [258.0, 274.5, 728.0, 37.5], shoonya_8sKU36EHXJ3SVI, 6471990]
[paragraph, [440.0, 333.0, 361.0, 36.0], shoonya_7sW5CSI9XLFR9Q, 6471990]
[paragraph, [440.0, 369.0, 361.0, 36.0], shoonya_7sW5CSI9XLFR9Q, 6471990]
[paragraph, [440.0, 405.0, 361.0, 36.0], shoonya_7sW5CSI9XLFR9Q, 6471990]
[paragraph, [440.0, 441.0, 361.0, 36.0], shoonya_7sW5CSI9XLFR9Q, 6471990]
[paragraph, [440.0, 477.0, 361.0, 36.0], shoonya_7sW5CSI9XLFR9Q, 6471990]
[paragraph, [440.0, 513.0, 361.0, 36.0], shoonya_7sW5CSI9XLFR9Q, 6471990]
[paragraph, [440.0, 549.0, 361.0, 36.0], shoonya_7sW5CSI9XLFR9Q, 6471990]
[paragraph, [440.0, 585.0, 361.0, 36.0], shoonya_7sW5CSI9XLFR9Q, 6471990]
[paragraph, [440.0, 621.0, 361.0, 36.0], shoonya_7sW5CSI9XLFR9Q, 6471990]
[paragraph, [440.0, 657.0, 361.0, 36.0], shoonya_7sW5CSI9XLFR9Q, 6471990]
[paragraph, [440.0, 693.0, 361.0, 36.0], shoonya_7sW5CSI9XLFR9Q, 6471990]
[paragraph, [440.0, 729.0, 361.0, 36.0], shoonya_7sW5CSI9XLFR9Q, 6471990]
[paragraph, [440.0, 765.0, 361.0, 36.0], shoonya_7sW5CSI9XLFR9Q, 6471990]
[paragraph, [440.0, 801.0, 361.0, 36.0], shoonya_7sW5CSI9XLFR9Q, 6471990]
[paragraph, [440.0, 837.0, 361.0, 36.0], shoonya_7sW5CSI9XLFR9Q, 6471990]
[paragraph, [440.0, 873.0, 361.0, 36.0], shoonya_7sW5CSI9XLFR9Q, 6471990]
[paragraph, [440.0, 909.0, 361.0, 36.0], shoonya_7sW5CSI9XLFR9Q, 6471990]
[paragraph, [440.0, 945.0, 361.0, 36.0], shoonya_7sW5CSI9XLFR9Q, 6471990]
[paragraph, [440.0, 981.0, 361.0, 36.0], shoonya_7sW5CSI9XLFR9Q, 6471990]
[paragraph, [440.0, 1017.0, 361.0, 36.0], shoonya_7sW5CSI9XLFR9Q, 6471990]
[paragraph, [59.0, 336.0, 369.0, 36.0], shoonya_0sVR9LBFOFEHPV, 6471990]
[paragraph, [59.0, 372.0, 369.0, 36.0], shoonya_0sVR9LBFOFEHPV, 6471990]
[paragraph, [59.0, 408.0, 369.0, 36.0], shoonya_0sVR9LBFOFEHPV, 6471990]
[paragraph, [59.0, 444.0, 369.0, 36.0], shoonya_0sVR9LBFOFEHPV, 6471990]
[paragraph, [59.0, 480.0, 369.0, 36.0], shoonya_0sVR9LBFOFEHPV, 6471990]
[paragraph, [59.0, 516.0, 369.0, 36.0], shoonya_0sVR9LBFOFEHPV, 6471990]
[paragraph, [59.0, 552.0, 369.0, 36.0], shoonya_0sVR9LBFOFEHPV, 6471990]
[paragraph, [59.0, 588.0, 369.0, 36.0], shoonya_0sVR9LBFOFEHPV, 6471990]
[paragraph, [59.0, 624.0, 369.0, 36.0], shoonya_0sVR9LBFOFEHPV, 6471990]
[paragraph, [59.0, 660.0, 369.0, 36.0], shoonya_0sVR9LBFOFEHPV, 6471990]
[author, [994.0, 616.0, 181.0, 36.0], shoonya_11s1Q1NLV6DSTY, 6471990]
[sidebar, [815.0, 675.0, 364.0, 36.0], shoonya_3s9OS04OKYRRHU, 6471990]
[sidebar, [815.0, 711.0, 364.0, 36.0], shoonya_3s9OS04OKYRRHU, 6471990]
[sidebar, [815.0, 747.0, 364.0, 36.0], shoonya_3s9OS04OKYRRHU, 6471990]
[sidebar, [815.0, 783.0, 364.0, 36.0], shoonya_3s9OS04OKYRRHU, 6471990]
[sidebar, [815.0, 819.0, 364.0, 36.0], shoonya_3s9OS04OKYRRHU, 6471990]
[sidebar, [815.0, 855.0, 364.0, 36.0], shoonya_3s9OS04OKYRRHU, 6471990]
[sidebar, [815.0, 891.0, 364.0, 36.0], shoonya_3s9OS04OKYRRHU, 6471990]
[sidebar, [815.0, 927.0, 364.0, 36.0], shoonya_3s9OS04OKYRRHU, 6471990]
[sidebar, [815.0, 963.0, 364.0, 36.0], shoonya_3s9OS04OKYRRHU, 6471990]
[sidebar, [815.0, 999.0, 364.0, 36.0], shoonya_3s9OS04OKYRRHU, 6471990]
[sidebar, [815.0, 1035.0, 364.0, 36.0], shoonya_3s9OS04OKYRRHU, 6471990]
[sidebar, [815.0, 1071.0, 364.0, 36.0], shoonya_3s9OS04OKYRRHU, 6471990]
[sidebar, [815.0, 1107.0, 364.0, 36.0], shoonya_3s9OS04OKYRRHU, 6471990]
[sidebar, [815.0, 1143.0, 364.0, 36.0], shoonya_3s9OS04OKYRRHU, 6471990]
[sidebar, [815.0, 1179.0, 364.0, 36.0], shoonya_3s9OS04OKYRRHU, 6471990]
[sidebar, [815.0, 1215.0, 364.0, 36.0], shoonya_3s9OS04OKYRRHU, 6471990]
[sidebar, [815.0, 1251.0, 364.0, 36.0], shoonya_3s9OS04OKYRRHU, 6471990]
[sidebar, [815.0, 1287.0, 364.0, 36.0], shoonya_3s9OS04OKYRRHU, 6471990]
[sidebar, [815.0, 1323.0, 364.0, 36.0], shoonya_3s9OS04OKYRRHU, 6471990]
[sidebar, [815.0, 1359.0, 364.0, 36.0], shoonya_3s9OS04OKYRRHU, 6471990]
[sidebar, [815.0, 1395.0, 364.0, 36.0], shoonya_3s9OS04OKYRRHU, 6471990]
