[680, 510]
[paragraph, [259.0, 59.0, 213.0, 18.0], OTj3LLQvuS, 5761676]
[paragraph, [259.0, 77.0, 213.0, 18.0], OTj3LLQvuS, 5761676]
[paragraph, [34.0, 92.0, 215.0, 18.0], 26EYlchs9H, 5761676]
[paragraph, [34.0, 110.0, 215.0, 18.0], 26EYlchs9H, 5761676]
[paragraph, [34.0, 128.0, 215.0, 18.0], 26EYlchs9H, 5761676]
[paragraph, [34.0, 146.0, 215.0, 18.0], 26EYlchs9H, 5761676]
[paragraph, [34.0, 164.0, 215.0, 18.0], 26EYlchs9H, 5761676]
[paragraph, [34.0, 182.0, 215.0, 18.0], 26EYlchs9H, 5761676]
[paragraph, [34.0, 200.0, 215.0, 18.0], 26EYlchs9H, 5761676]
[paragraph, [34.0, 218.0, 215.0, 18.0], 26EYlchs9H, 5761676]
[quote, [258.0, 104.0, 117.0, 18.0], iOl5QFijNQ, 5761676]
[quote, [258.0, 122.0, 117.0, 18.0], iOl5QFijNQ, 5761676]
[paragraph, [258.0, 150.0, 215.0, 18.0], vzOTp4xnXg, 5761676]
[quote, [257.0, 180.0, 96.0, 18.0], VuJ6Jn0XKN, 5761676]
[quote, [257.0, 198.0, 96.0, 18.0], VuJ6Jn0XKN, 5761676]
[quote, [257.0, 216.0, 96.0, 18.0], VuJ6Jn0XKN, 5761676]
[paragraph, [257.0, 239.0, 213.0, 18.0], 5SPd7Uzip4, 5761676]
[paragraph, [257.0, 257.0, 213.0, 18.0], 5SPd7Uzip4, 5761676]
[paragraph, [257.0, 275.0, 213.0, 18.0], 5SPd7Uzip4, 5761676]
[paragraph, [257.0, 293.0, 213.0, 18.0], 5SPd7Uzip4, 5761676]
[paragraph, [257.0, 311.0, 213.0, 18.0], 5SPd7Uzip4, 5761676]
[paragraph, [257.0, 329.0, 213.0, 18.0], 5SPd7Uzip4, 5761676]
[paragraph, [257.0, 347.0, 213.0, 18.0], 5SPd7Uzip4, 5761676]
[paragraph, [257.0, 365.0, 213.0, 18.0], 5SPd7Uzip4, 5761676]
[paragraph, [257.0, 383.0, 213.0, 18.0], 5SPd7Uzip4, 5761676]
[paragraph, [257.0, 401.0, 213.0, 18.0], 5SPd7Uzip4, 5761676]
[paragraph, [257.0, 419.0, 213.0, 18.0], 5SPd7Uzip4, 5761676]
[paragraph, [33.0, 240.0, 219.0, 18.0], Nm20ZKweH2, 5761676]
[paragraph, [33.0, 258.0, 219.0, 18.0], Nm20ZKweH2, 5761676]
[paragraph, [33.0, 276.0, 219.0, 18.0], Nm20ZKweH2, 5761676]
[paragraph, [33.0, 294.0, 219.0, 18.0], Nm20ZKweH2, 5761676]
[paragraph, [33.0, 312.0, 219.0, 18.0], Nm20ZKweH2, 5761676]
[paragraph, [33.0, 330.0, 219.0, 18.0], Nm20ZKweH2, 5761676]
[paragraph, [33.0, 348.0, 219.0, 18.0], Nm20ZKweH2, 5761676]
[paragraph, [33.0, 366.0, 219.0, 18.0], Nm20ZKweH2, 5761676]
[paragraph, [33.0, 384.0, 219.0, 18.0], Nm20ZKweH2, 5761676]
[paragraph, [33.0, 402.0, 219.0, 18.0], Nm20ZKweH2, 5761676]
[paragraph, [33.0, 420.0, 219.0, 18.0], Nm20ZKweH2, 5761676]
[paragraph, [33.0, 438.0, 219.0, 18.0], Nm20ZKweH2, 5761676]
[paragraph, [33.0, 456.0, 219.0, 18.0], Nm20ZKweH2, 5761676]
[paragraph, [33.0, 474.0, 219.0, 18.0], Nm20ZKweH2, 5761676]
[paragraph, [33.0, 492.0, 219.0, 18.0], Nm20ZKweH2, 5761676]
[paragraph, [33.0, 510.0, 219.0, 18.0], Nm20ZKweH2, 5761676]
[paragraph, [33.0, 528.0, 219.0, 18.0], Nm20ZKweH2, 5761676]
[paragraph, [33.0, 546.0, 219.0, 18.0], Nm20ZKweH2, 5761676]
[paragraph, [33.0, 564.0, 219.0, 18.0], Nm20ZKweH2, 5761676]
[paragraph, [33.0, 582.0, 219.0, 18.0], Nm20ZKweH2, 5761676]
[paragraph, [257.0, 453.0, 215.0, 18.0], ZlS2dbywqc, 5761676]
[paragraph, [257.0, 471.0, 215.0, 18.0], ZlS2dbywqc, 5761676]
[paragraph, [257.0, 489.0, 215.0, 18.0], ZlS2dbywqc, 5761676]
[paragraph, [257.0, 507.0, 215.0, 18.0], ZlS2dbywqc, 5761676]
[paragraph, [257.0, 525.0, 215.0, 18.0], ZlS2dbywqc, 5761676]
[paragraph, [257.0, 543.0, 215.0, 18.0], ZlS2dbywqc, 5761676]
[paragraph, [257.0, 561.0, 215.0, 18.0], ZlS2dbywqc, 5761676]
[paragraph, [257.0, 579.0, 215.0, 18.0], ZlS2dbywqc, 5761676]
[paragraph, [256.0, 600.0, 108.0, 18.0], IG6-DI_LV2, 5761676]
[paragraph, [50.0, 611.0, 202.0, 18.0], rOMjTVJc93, 5761676]
