[1951, 1219]
[folio, [252.0, 119.0, 198.0, 36.0], shoonya_1s69WL023Q1B0Y, 5682519]
[paragraph, [126.0, 208.0, 172.0, 36.0], nDU8mxu7nO, 5682519]
[paragraph, [126.0, 278.0, 975.0, 36.0], htt-5PZU8l, 5682519]
[paragraph, [126.0, 314.0, 975.0, 36.0], htt-5PZU8l, 5682519]
[paragraph, [126.0, 350.0, 975.0, 36.0], htt-5PZU8l, 5682519]
[paragraph, [126.0, 386.0, 975.0, 36.0], htt-5PZU8l, 5682519]
[paragraph, [126.0, 422.0, 975.0, 36.0], htt-5PZU8l, 5682519]
[paragraph, [126.0, 458.0, 975.0, 36.0], htt-5PZU8l, 5682519]
[paragraph, [126.0, 494.0, 975.0, 36.0], htt-5PZU8l, 5682519]
[paragraph, [126.0, 530.0, 975.0, 36.0], htt-5PZU8l, 5682519]
[paragraph, [126.0, 566.0, 975.0, 36.0], htt-5PZU8l, 5682519]
[paragraph, [126.0, 602.0, 975.0, 36.0], htt-5PZU8l, 5682519]
[paragraph, [126.0, 638.0, 975.0, 36.0], htt-5PZU8l, 5682519]
[paragraph, [126.0, 674.0, 975.0, 36.0], htt-5PZU8l, 5682519]
[paragraph, [126.0, 710.0, 975.0, 36.0], htt-5PZU8l, 5682519]
[paragraph, [126.0, 746.0, 975.0, 36.0], htt-5PZU8l, 5682519]
[paragraph, [124.0, 798.0, 974.0, 36.0], qfIMm6_Z25, 5682519]
[paragraph, [124.0, 834.0, 974.0, 36.0], qfIMm6_Z25, 5682519]
[paragraph, [124.0, 870.0, 974.0, 36.0], qfIMm6_Z25, 5682519]
[paragraph, [124.0, 906.0, 974.0, 36.0], qfIMm6_Z25, 5682519]
[paragraph, [124.0, 942.0, 974.0, 36.0], qfIMm6_Z25, 5682519]
[paragraph, [124.0, 978.0, 974.0, 36.0], qfIMm6_Z25, 5682519]
[paragraph, [124.0, 1014.0, 974.0, 36.0], qfIMm6_Z25, 5682519]
[paragraph, [124.0, 1050.0, 974.0, 36.0], qfIMm6_Z25, 5682519]
[paragraph, [124.0, 1096.0, 970.0, 36.0], A5nIf2jegm, 5682519]
[paragraph, [124.0, 1132.0, 970.0, 36.0], A5nIf2jegm, 5682519]
[paragraph, [124.0, 1168.0, 970.0, 36.0], A5nIf2jegm, 5682519]
[paragraph, [124.0, 1204.0, 970.0, 36.0], A5nIf2jegm, 5682519]
[paragraph, [124.0, 1240.0, 970.0, 36.0], A5nIf2jegm, 5682519]
[paragraph, [124.0, 1276.0, 970.0, 36.0], A5nIf2jegm, 5682519]
[paragraph, [124.0, 1312.0, 970.0, 36.0], A5nIf2jegm, 5682519]
[paragraph, [120.0, 1380.0, 974.0, 36.0], G_-u_JcPRE, 5682519]
[paragraph, [120.0, 1416.0, 974.0, 36.0], G_-u_JcPRE, 5682519]
[paragraph, [120.0, 1452.0, 974.0, 36.0], G_-u_JcPRE, 5682519]
[paragraph, [120.0, 1488.0, 974.0, 36.0], G_-u_JcPRE, 5682519]
[paragraph, [120.0, 1524.0, 974.0, 36.0], G_-u_JcPRE, 5682519]
[paragraph, [120.0, 1560.0, 974.0, 36.0], G_-u_JcPRE, 5682519]
[paragraph, [120.0, 1596.0, 974.0, 36.0], G_-u_JcPRE, 5682519]
[paragraph, [120.0, 1632.0, 974.0, 36.0], G_-u_JcPRE, 5682519]
[paragraph, [120.0, 1668.0, 974.0, 36.0], G_-u_JcPRE, 5682519]
[paragraph, [120.0, 1704.0, 974.0, 36.0], G_-u_JcPRE, 5682519]
[paragraph, [120.0, 1740.0, 974.0, 36.0], G_-u_JcPRE, 5682519]
[paragraph, [120.0, 1776.0, 974.0, 36.0], G_-u_JcPRE, 5682519]
