[2334, 1650]
[paragraph, [173.0, 134.0, 1228.0, 36.0], shoonya_5sIE2D21I1BPSR, 5651590]
[paragraph, [173.0, 170.0, 1228.0, 36.0], shoonya_5sIE2D21I1BPSR, 5651590]
[paragraph, [173.0, 206.0, 1228.0, 36.0], shoonya_5sIE2D21I1BPSR, 5651590]
[paragraph, [173.0, 242.0, 1228.0, 36.0], shoonya_5sIE2D21I1BPSR, 5651590]
[paragraph, [173.0, 278.0, 1228.0, 36.0], shoonya_5sIE2D21I1BPSR, 5651590]
[paragraph, [168.0, 331.0, 1192.0, 36.0], shoonya_2s9AIXHK3M6804, 5651590]
[paragraph, [168.0, 367.0, 1192.0, 36.0], shoonya_2s9AIXHK3M6804, 5651590]
[paragraph, [168.0, 403.0, 1192.0, 36.0], shoonya_2s9AIXHK3M6804, 5651590]
[paragraph, [168.0, 439.0, 1192.0, 36.0], shoonya_2s9AIXHK3M6804, 5651590]
[paragraph, [172.0, 498.0, 1247.0, 36.0], shoonya_0s7TC2FUS7YTML, 5651590]
[paragraph, [172.0, 534.0, 1247.0, 36.0], shoonya_0s7TC2FUS7YTML, 5651590]
[paragraph, [172.0, 570.0, 1247.0, 36.0], shoonya_0s7TC2FUS7YTML, 5651590]
[paragraph, [172.0, 606.0, 1247.0, 36.0], shoonya_0s7TC2FUS7YTML, 5651590]
[paragraph, [172.0, 642.0, 1247.0, 36.0], shoonya_0s7TC2FUS7YTML, 5651590]
[paragraph, [172.0, 678.0, 1247.0, 36.0], shoonya_0s7TC2FUS7YTML, 5651590]
[paragraph, [172.0, 714.0, 1247.0, 36.0], shoonya_0s7TC2FUS7YTML, 5651590]
[paragraph, [172.0, 750.0, 1247.0, 36.0], shoonya_0s7TC2FUS7YTML, 5651590]
[paragraph, [172.0, 786.0, 1247.0, 36.0], shoonya_0s7TC2FUS7YTML, 5651590]
[paragraph, [172.0, 822.0, 1247.0, 36.0], shoonya_0s7TC2FUS7YTML, 5651590]
[paragraph, [172.0, 858.0, 1247.0, 36.0], shoonya_0s7TC2FUS7YTML, 5651590]
[paragraph, [172.0, 894.0, 1247.0, 36.0], shoonya_0s7TC2FUS7YTML, 5651590]
[paragraph, [172.0, 930.0, 1247.0, 36.0], shoonya_0s7TC2FUS7YTML, 5651590]
[paragraph, [172.0, 1006.0, 1197.0, 36.0], shoonya_1sS1X7G3L3X55O, 5651590]
[paragraph, [172.0, 1042.0, 1197.0, 36.0], shoonya_1sS1X7G3L3X55O, 5651590]
[paragraph, [172.0, 1078.0, 1197.0, 36.0], shoonya_1sS1X7G3L3X55O, 5651590]
[paragraph, [172.0, 1114.0, 1197.0, 36.0], shoonya_1sS1X7G3L3X55O, 5651590]
[paragraph, [172.0, 1150.0, 1197.0, 36.0], shoonya_1sS1X7G3L3X55O, 5651590]
[paragraph, [172.0, 1186.0, 1197.0, 36.0], shoonya_1sS1X7G3L3X55O, 5651590]
[paragraph, [172.0, 1222.0, 1197.0, 36.0], shoonya_1sS1X7G3L3X55O, 5651590]
[paragraph, [172.0, 1258.0, 1197.0, 36.0], shoonya_1sS1X7G3L3X55O, 5651590]
[paragraph, [172.0, 1294.0, 1197.0, 36.0], shoonya_1sS1X7G3L3X55O, 5651590]
[paragraph, [135.0, 1357.0, 1242.0, 36.0], rG0U-zB8nC, 5651590]
[paragraph, [135.0, 1393.0, 1242.0, 36.0], rG0U-zB8nC, 5651590]
[paragraph, [135.0, 1429.0, 1242.0, 36.0], rG0U-zB8nC, 5651590]
[paragraph, [166.0, 1473.0, 1195.0, 36.0], shoonya_3s3AD04ODPDHPK, 5651590]
[paragraph, [166.0, 1509.0, 1195.0, 36.0], shoonya_3s3AD04ODPDHPK, 5651590]
[paragraph, [166.0, 1545.0, 1195.0, 36.0], shoonya_3s3AD04ODPDHPK, 5651590]
[paragraph, [166.0, 1581.0, 1195.0, 36.0], shoonya_3s3AD04ODPDHPK, 5651590]
[paragraph, [166.0, 1617.0, 1195.0, 36.0], shoonya_3s3AD04ODPDHPK, 5651590]
[paragraph, [166.0, 1653.0, 1195.0, 36.0], shoonya_3s3AD04ODPDHPK, 5651590]
[paragraph, [166.0, 1689.0, 1195.0, 36.0], shoonya_3s3AD04ODPDHPK, 5651590]
[paragraph, [166.0, 1725.0, 1195.0, 36.0], shoonya_3s3AD04ODPDHPK, 5651590]
[paragraph, [166.0, 1761.0, 1195.0, 36.0], shoonya_3s3AD04ODPDHPK, 5651590]
[paragraph, [166.0, 1797.0, 1195.0, 36.0], shoonya_3s3AD04ODPDHPK, 5651590]
[paragraph, [166.0, 1833.0, 1195.0, 36.0], shoonya_3s3AD04ODPDHPK, 5651590]
[paragraph, [166.0, 1869.0, 1195.0, 36.0], shoonya_3s3AD04ODPDHPK, 5651590]
[paragraph, [189.0, 1930.0, 1160.0, 36.0], shoonya_4sU89CLIZVUB75, 5651590]
[paragraph, [189.0, 1966.0, 1160.0, 36.0], shoonya_4sU89CLIZVUB75, 5651590]
[paragraph, [189.0, 2002.0, 1160.0, 36.0], shoonya_4sU89CLIZVUB75, 5651590]
[folio, [1130.0, 2088.0, 158.0, 36.0], IwV-q5AHg-, 5651590]
