[1004, 621]
[section-title, [190.0, 238.0, 228.0, 30.0], shoonya_0sM6572U8X7RMU, 5740913]
[paragraph, [29.0, 313.0, 567.0, 18.0], 8HFURFZN5L, 5740913]
[paragraph, [29.0, 331.0, 567.0, 18.0], 8HFURFZN5L, 5740913]
[paragraph, [29.0, 349.0, 567.0, 18.0], 8HFURFZN5L, 5740913]
[paragraph, [29.0, 367.0, 567.0, 18.0], 8HFURFZN5L, 5740913]
[paragraph, [29.0, 385.0, 567.0, 18.0], 8HFURFZN5L, 5740913]
[paragraph, [29.0, 403.0, 567.0, 18.0], 8HFURFZN5L, 5740913]
[paragraph, [29.0, 421.0, 567.0, 18.0], 8HFURFZN5L, 5740913]
[paragraph, [29.0, 439.0, 567.0, 18.0], 8HFURFZN5L, 5740913]
[paragraph, [29.0, 457.0, 567.0, 18.0], 8HFURFZN5L, 5740913]
[paragraph, [29.0, 475.0, 567.0, 18.0], 8HFURFZN5L, 5740913]
[paragraph, [29.0, 493.0, 567.0, 18.0], 8HFURFZN5L, 5740913]
[paragraph, [29.0, 511.0, 567.0, 18.0], 8HFURFZN5L, 5740913]
[paragraph, [29.0, 529.0, 567.0, 18.0], 8HFURFZN5L, 5740913]
[paragraph, [29.0, 547.0, 567.0, 18.0], 8HFURFZN5L, 5740913]
[paragraph, [29.0, 565.0, 567.0, 18.0], 8HFURFZN5L, 5740913]
[paragraph, [29.0, 583.0, 567.0, 18.0], 8HFURFZN5L, 5740913]
[paragraph, [29.0, 601.0, 567.0, 18.0], 8HFURFZN5L, 5740913]
[paragraph, [29.0, 619.0, 567.0, 18.0], 8HFURFZN5L, 5740913]
[paragraph, [29.0, 637.0, 567.0, 18.0], 8HFURFZN5L, 5740913]
[paragraph, [29.0, 655.0, 567.0, 18.0], 8HFURFZN5L, 5740913]
[paragraph, [29.0, 673.0, 567.0, 18.0], 8HFURFZN5L, 5740913]
[paragraph, [29.0, 691.0, 567.0, 18.0], 8HFURFZN5L, 5740913]
[paragraph, [29.0, 709.0, 567.0, 18.0], 8HFURFZN5L, 5740913]
[paragraph, [29.0, 727.0, 567.0, 18.0], 8HFURFZN5L, 5740913]
[paragraph, [29.0, 745.0, 567.0, 18.0], 8HFURFZN5L, 5740913]
[paragraph, [29.0, 763.0, 567.0, 18.0], 8HFURFZN5L, 5740913]
[paragraph, [29.0, 781.0, 567.0, 18.0], 8HFURFZN5L, 5740913]
[paragraph, [29.0, 799.0, 567.0, 18.0], 8HFURFZN5L, 5740913]
[paragraph, [29.0, 817.0, 567.0, 18.0], 8HFURFZN5L, 5740913]
[paragraph, [29.0, 835.0, 567.0, 18.0], 8HFURFZN5L, 5740913]
[paragraph, [29.0, 853.0, 567.0, 18.0], 8HFURFZN5L, 5740913]
[paragraph, [29.0, 871.0, 567.0, 18.0], 8HFURFZN5L, 5740913]
[paragraph, [29.0, 889.0, 567.0, 18.0], 8HFURFZN5L, 5740913]
[paragraph, [29.0, 907.0, 567.0, 18.0], 8HFURFZN5L, 5740913]
[paragraph, [29.0, 925.0, 567.0, 18.0], 8HFURFZN5L, 5740913]
