[842, 595]
[paragraph, [127.0, 161.0, 328.0, 18.0], shoonya_1sNYORUJTMTVBR, 6513817]
[paragraph, [127.0, 179.0, 328.0, 18.0], shoonya_1sNYORUJTMTVBR, 6513817]
[paragraph, [127.0, 197.0, 328.0, 18.0], shoonya_1sNYORUJTMTVBR, 6513817]
[paragraph, [127.0, 215.0, 328.0, 18.0], shoonya_1sNYORUJTMTVBR, 6513817]
[paragraph, [127.0, 233.0, 328.0, 18.0], shoonya_1sNYORUJTMTVBR, 6513817]
[paragraph, [127.0, 251.0, 328.0, 18.0], shoonya_1sNYORUJTMTVBR, 6513817]
[paragraph, [127.0, 269.0, 328.0, 18.0], shoonya_1sNYORUJTMTVBR, 6513817]
[paragraph, [127.0, 287.0, 328.0, 18.0], shoonya_1sNYORUJTMTVBR, 6513817]
[paragraph, [127.0, 305.0, 328.0, 18.0], shoonya_1sNYORUJTMTVBR, 6513817]
[paragraph, [127.0, 323.0, 328.0, 18.0], shoonya_1sNYORUJTMTVBR, 6513817]
[paragraph, [127.0, 341.0, 328.0, 18.0], shoonya_1sNYORUJTMTVBR, 6513817]
[paragraph, [127.0, 359.0, 328.0, 18.0], shoonya_1sNYORUJTMTVBR, 6513817]
[paragraph, [127.0, 377.0, 328.0, 18.0], shoonya_1sNYORUJTMTVBR, 6513817]
[paragraph, [129.0, 414.0, 328.0, 18.0], shoonya_0s5A0DSKK3L178, 6513817]
[paragraph, [129.0, 432.0, 328.0, 18.0], shoonya_0s5A0DSKK3L178, 6513817]
[paragraph, [129.0, 450.0, 328.0, 18.0], shoonya_0s5A0DSKK3L178, 6513817]
[paragraph, [129.0, 468.0, 328.0, 18.0], shoonya_0s5A0DSKK3L178, 6513817]
[paragraph, [129.0, 486.0, 328.0, 18.0], shoonya_0s5A0DSKK3L178, 6513817]
[paragraph, [129.0, 504.0, 328.0, 18.0], shoonya_0s5A0DSKK3L178, 6513817]
[paragraph, [129.0, 522.0, 328.0, 18.0], shoonya_0s5A0DSKK3L178, 6513817]
[paragraph, [129.0, 540.0, 328.0, 18.0], shoonya_0s5A0DSKK3L178, 6513817]
[paragraph, [129.0, 558.0, 328.0, 18.0], shoonya_0s5A0DSKK3L178, 6513817]
[paragraph, [129.0, 576.0, 328.0, 18.0], shoonya_0s5A0DSKK3L178, 6513817]
[paragraph, [129.0, 594.0, 328.0, 18.0], shoonya_0s5A0DSKK3L178, 6513817]
[paragraph, [129.0, 612.0, 328.0, 18.0], shoonya_0s5A0DSKK3L178, 6513817]
[paragraph, [129.0, 630.0, 328.0, 18.0], shoonya_0s5A0DSKK3L178, 6513817]
