[594, 353]
[folio, [110.0, 7.0, 130.0, 18.0], shoonya_2sHEC395T4M3KX, 5701519]
[paragraph, [10.0, 37.0, 335.0, 18.0], shoonya_1sI9A3MR49ZSA5, 5701519]
[paragraph, [10.0, 55.0, 335.0, 18.0], shoonya_1sI9A3MR49ZSA5, 5701519]
[paragraph, [10.0, 73.0, 335.0, 18.0], shoonya_1sI9A3MR49ZSA5, 5701519]
[paragraph, [10.0, 91.0, 335.0, 18.0], shoonya_1sI9A3MR49ZSA5, 5701519]
[paragraph, [10.0, 109.0, 335.0, 18.0], shoonya_1sI9A3MR49ZSA5, 5701519]
[paragraph, [10.0, 127.0, 335.0, 18.0], shoonya_1sI9A3MR49ZSA5, 5701519]
[paragraph, [10.0, 145.0, 335.0, 18.0], shoonya_1sI9A3MR49ZSA5, 5701519]
[paragraph, [10.0, 163.0, 335.0, 18.0], shoonya_1sI9A3MR49ZSA5, 5701519]
[paragraph, [10.0, 181.0, 335.0, 18.0], shoonya_1sI9A3MR49ZSA5, 5701519]
[paragraph, [10.0, 199.0, 335.0, 18.0], shoonya_1sI9A3MR49ZSA5, 5701519]
[paragraph, [10.0, 217.0, 335.0, 18.0], shoonya_1sI9A3MR49ZSA5, 5701519]
[paragraph, [10.0, 235.0, 335.0, 18.0], shoonya_1sI9A3MR49ZSA5, 5701519]
[paragraph, [10.0, 253.0, 335.0, 18.0], shoonya_1sI9A3MR49ZSA5, 5701519]
[paragraph, [10.0, 271.0, 335.0, 18.0], shoonya_1sI9A3MR49ZSA5, 5701519]
[paragraph, [10.0, 289.0, 335.0, 18.0], shoonya_1sI9A3MR49ZSA5, 5701519]
[paragraph, [10.0, 307.0, 335.0, 18.0], shoonya_1sI9A3MR49ZSA5, 5701519]
[paragraph, [71.0, 355.0, 268.0, 18.0], HQL8g56tH1, 5701519]
[paragraph, [71.0, 373.0, 268.0, 18.0], HQL8g56tH1, 5701519]
[sidebar, [12.0, 363.0, 56.0, 18.0], 27TX5NWOWj, 5701519]
[sidebar, [12.0, 381.0, 56.0, 18.0], 27TX5NWOWj, 5701519]
[paragraph, [12.0, 404.0, 325.0, 18.0], shoonya_0s5LS3L83NH7WE, 5701519]
[paragraph, [12.0, 422.0, 325.0, 18.0], shoonya_0s5LS3L83NH7WE, 5701519]
[paragraph, [12.0, 440.0, 325.0, 18.0], shoonya_0s5LS3L83NH7WE, 5701519]
[paragraph, [12.0, 458.0, 325.0, 18.0], shoonya_0s5LS3L83NH7WE, 5701519]
[paragraph, [12.0, 476.0, 325.0, 18.0], shoonya_0s5LS3L83NH7WE, 5701519]
[paragraph, [12.0, 494.0, 325.0, 18.0], shoonya_0s5LS3L83NH7WE, 5701519]
[paragraph, [12.0, 512.0, 325.0, 18.0], shoonya_0s5LS3L83NH7WE, 5701519]
[paragraph, [12.0, 530.0, 325.0, 18.0], shoonya_0s5LS3L83NH7WE, 5701519]
[paragraph, [12.0, 548.0, 325.0, 18.0], shoonya_0s5LS3L83NH7WE, 5701519]
