[911, 559]
[paragraph, [29.0, 38.0, 516.0, 18.0], shoonya_1sHQQA1N4LHFYB, 5776327]
[paragraph, [29.0, 56.0, 516.0, 18.0], shoonya_1sHQQA1N4LHFYB, 5776327]
[paragraph, [29.0, 74.0, 516.0, 18.0], shoonya_1sHQQA1N4LHFYB, 5776327]
[paragraph, [29.0, 92.0, 516.0, 18.0], shoonya_1sHQQA1N4LHFYB, 5776327]
[paragraph, [29.0, 110.0, 516.0, 18.0], shoonya_1sHQQA1N4LHFYB, 5776327]
[paragraph, [29.0, 128.0, 516.0, 18.0], shoonya_1sHQQA1N4LHFYB, 5776327]
[paragraph, [29.0, 146.0, 516.0, 18.0], shoonya_1sHQQA1N4LHFYB, 5776327]
[paragraph, [29.0, 164.0, 516.0, 18.0], shoonya_1sHQQA1N4LHFYB, 5776327]
[paragraph, [29.0, 182.0, 516.0, 18.0], shoonya_1sHQQA1N4LHFYB, 5776327]
[paragraph, [29.0, 200.0, 516.0, 18.0], shoonya_1sHQQA1N4LHFYB, 5776327]
[paragraph, [29.0, 218.0, 516.0, 18.0], shoonya_1sHQQA1N4LHFYB, 5776327]
[paragraph, [29.0, 236.0, 516.0, 18.0], shoonya_1sHQQA1N4LHFYB, 5776327]
[paragraph, [29.0, 254.0, 516.0, 18.0], shoonya_1sHQQA1N4LHFYB, 5776327]
[paragraph, [29.0, 272.0, 516.0, 18.0], shoonya_1sHQQA1N4LHFYB, 5776327]
[paragraph, [29.0, 290.0, 516.0, 18.0], shoonya_1sHQQA1N4LHFYB, 5776327]
[paragraph, [29.0, 308.0, 516.0, 18.0], shoonya_1sHQQA1N4LHFYB, 5776327]
[paragraph, [29.0, 326.0, 516.0, 18.0], shoonya_1sHQQA1N4LHFYB, 5776327]
[paragraph, [29.0, 344.0, 516.0, 18.0], shoonya_1sHQQA1N4LHFYB, 5776327]
[paragraph, [29.0, 362.0, 516.0, 18.0], shoonya_1sHQQA1N4LHFYB, 5776327]
[paragraph, [29.0, 380.0, 516.0, 18.0], shoonya_1sHQQA1N4LHFYB, 5776327]
[paragraph, [29.0, 398.0, 516.0, 18.0], shoonya_1sHQQA1N4LHFYB, 5776327]
[paragraph, [29.0, 416.0, 516.0, 18.0], shoonya_1sHQQA1N4LHFYB, 5776327]
[paragraph, [29.0, 434.0, 516.0, 18.0], shoonya_1sHQQA1N4LHFYB, 5776327]
[paragraph, [29.0, 452.0, 516.0, 18.0], shoonya_1sHQQA1N4LHFYB, 5776327]
[paragraph, [40.0, 466.0, 506.0, 18.0], shoonya_0s3X83FPDIV88J, 5776327]
[paragraph, [40.0, 484.0, 506.0, 18.0], shoonya_0s3X83FPDIV88J, 5776327]
[paragraph, [40.0, 502.0, 506.0, 18.0], shoonya_0s3X83FPDIV88J, 5776327]
[paragraph, [40.0, 520.0, 506.0, 18.0], shoonya_0s3X83FPDIV88J, 5776327]
[paragraph, [40.0, 538.0, 506.0, 18.0], shoonya_0s3X83FPDIV88J, 5776327]
[paragraph, [40.0, 556.0, 506.0, 18.0], shoonya_0s3X83FPDIV88J, 5776327]
[paragraph, [40.0, 574.0, 506.0, 18.0], shoonya_0s3X83FPDIV88J, 5776327]
[paragraph, [40.0, 592.0, 506.0, 18.0], shoonya_0s3X83FPDIV88J, 5776327]
[paragraph, [40.0, 610.0, 506.0, 18.0], shoonya_0s3X83FPDIV88J, 5776327]
[paragraph, [40.0, 628.0, 506.0, 18.0], shoonya_0s3X83FPDIV88J, 5776327]
[paragraph, [40.0, 646.0, 506.0, 18.0], shoonya_0s3X83FPDIV88J, 5776327]
[paragraph, [40.0, 664.0, 506.0, 18.0], shoonya_0s3X83FPDIV88J, 5776327]
[paragraph, [40.0, 682.0, 506.0, 18.0], shoonya_0s3X83FPDIV88J, 5776327]
[paragraph, [40.0, 700.0, 506.0, 18.0], shoonya_0s3X83FPDIV88J, 5776327]
[paragraph, [40.0, 718.0, 506.0, 18.0], shoonya_0s3X83FPDIV88J, 5776327]
[paragraph, [40.0, 736.0, 506.0, 18.0], shoonya_0s3X83FPDIV88J, 5776327]
[paragraph, [40.0, 754.0, 506.0, 18.0], shoonya_0s3X83FPDIV88J, 5776327]
[paragraph, [40.0, 772.0, 506.0, 18.0], shoonya_0s3X83FPDIV88J, 5776327]
[paragraph, [40.0, 790.0, 506.0, 18.0], shoonya_0s3X83FPDIV88J, 5776327]
[paragraph, [40.0, 808.0, 506.0, 18.0], shoonya_0s3X83FPDIV88J, 5776327]
[paragraph, [40.0, 826.0, 506.0, 18.0], shoonya_0s3X83FPDIV88J, 5776327]
[paragraph, [40.0, 844.0, 506.0, 18.0], shoonya_0s3X83FPDIV88J, 5776327]
