[2339, 1653]
[folio, [243.0, 330.0, 167.0, 36.0], DA9i-joiqL, 5735767]
[paragraph, [836.0, 387.0, 583.0, 36.0], shoonya_5sFYGGFXBYDT36, 5735767]
[paragraph, [836.0, 423.0, 583.0, 36.0], shoonya_5sFYGGFXBYDT36, 5735767]
[paragraph, [237.0, 433.0, 315.0, 36.0], GSazOi4Xy1, 5735767]
[paragraph, [237.0, 469.0, 315.0, 36.0], GSazOi4Xy1, 5735767]
[paragraph, [837.0, 480.0, 577.0, 36.0], shoonya_1sAS2MOYDGUVKR, 5735767]
[paragraph, [837.0, 516.0, 577.0, 36.0], shoonya_1sAS2MOYDGUVKR, 5735767]
[paragraph, [837.0, 552.0, 577.0, 36.0], shoonya_1sAS2MOYDGUVKR, 5735767]
[paragraph, [837.0, 588.0, 577.0, 36.0], shoonya_1sAS2MOYDGUVKR, 5735767]
[paragraph, [837.0, 624.0, 577.0, 36.0], shoonya_1sAS2MOYDGUVKR, 5735767]
[paragraph, [837.0, 660.0, 577.0, 36.0], shoonya_1sAS2MOYDGUVKR, 5735767]
[paragraph, [837.0, 696.0, 577.0, 36.0], shoonya_1sAS2MOYDGUVKR, 5735767]
[paragraph, [837.0, 732.0, 577.0, 36.0], shoonya_1sAS2MOYDGUVKR, 5735767]
[paragraph, [837.0, 768.0, 577.0, 36.0], shoonya_1sAS2MOYDGUVKR, 5735767]
[paragraph, [837.0, 804.0, 577.0, 36.0], shoonya_1sAS2MOYDGUVKR, 5735767]
[paragraph, [837.0, 840.0, 577.0, 36.0], shoonya_1sAS2MOYDGUVKR, 5735767]
[paragraph, [488.0, 529.0, 329.0, 36.0], shoonya_7sXNKUPXZ4760H, 5735767]
[paragraph, [488.0, 565.0, 329.0, 36.0], shoonya_7sXNKUPXZ4760H, 5735767]
[paragraph, [488.0, 601.0, 329.0, 36.0], shoonya_7sXNKUPXZ4760H, 5735767]
[paragraph, [488.0, 637.0, 329.0, 36.0], shoonya_7sXNKUPXZ4760H, 5735767]
[paragraph, [488.0, 673.0, 329.0, 36.0], shoonya_7sXNKUPXZ4760H, 5735767]
[paragraph, [488.0, 709.0, 329.0, 36.0], shoonya_7sXNKUPXZ4760H, 5735767]
[paragraph, [488.0, 745.0, 329.0, 36.0], shoonya_7sXNKUPXZ4760H, 5735767]
[paragraph, [488.0, 781.0, 329.0, 36.0], shoonya_7sXNKUPXZ4760H, 5735767]
[paragraph, [488.0, 817.0, 329.0, 36.0], shoonya_7sXNKUPXZ4760H, 5735767]
[sidebar, [1458.0, 719.0, 128.0, 36.0], shoonya_10s7DGM0CH7OTM, 5735767]
[paragraph, [836.0, 879.0, 580.0, 36.0], shoonya_0s07LM0IFUABDY, 5735767]
[paragraph, [836.0, 915.0, 580.0, 36.0], shoonya_0s07LM0IFUABDY, 5735767]
[paragraph, [836.0, 951.0, 580.0, 36.0], shoonya_0s07LM0IFUABDY, 5735767]
[paragraph, [836.0, 987.0, 580.0, 36.0], shoonya_0s07LM0IFUABDY, 5735767]
[paragraph, [836.0, 1023.0, 580.0, 36.0], shoonya_0s07LM0IFUABDY, 5735767]
[paragraph, [836.0, 1059.0, 580.0, 36.0], shoonya_0s07LM0IFUABDY, 5735767]
[paragraph, [836.0, 1095.0, 580.0, 36.0], shoonya_0s07LM0IFUABDY, 5735767]
[paragraph, [836.0, 1131.0, 580.0, 36.0], shoonya_0s07LM0IFUABDY, 5735767]
[paragraph, [836.0, 1167.0, 580.0, 36.0], shoonya_0s07LM0IFUABDY, 5735767]
[paragraph, [836.0, 1203.0, 580.0, 36.0], shoonya_0s07LM0IFUABDY, 5735767]
[paragraph, [836.0, 1239.0, 580.0, 36.0], shoonya_0s07LM0IFUABDY, 5735767]
[paragraph, [836.0, 1275.0, 580.0, 36.0], shoonya_0s07LM0IFUABDY, 5735767]
[paragraph, [836.0, 1311.0, 580.0, 36.0], shoonya_0s07LM0IFUABDY, 5735767]
[paragraph, [836.0, 1347.0, 580.0, 36.0], shoonya_0s07LM0IFUABDY, 5735767]
[paragraph, [836.0, 1383.0, 580.0, 36.0], shoonya_0s07LM0IFUABDY, 5735767]
[paragraph, [836.0, 1419.0, 580.0, 36.0], shoonya_0s07LM0IFUABDY, 5735767]
[paragraph, [836.0, 1455.0, 580.0, 36.0], shoonya_0s07LM0IFUABDY, 5735767]
[paragraph, [836.0, 1491.0, 580.0, 36.0], shoonya_0s07LM0IFUABDY, 5735767]
[paragraph, [836.0, 1527.0, 580.0, 36.0], shoonya_0s07LM0IFUABDY, 5735767]
[paragraph, [836.0, 1563.0, 580.0, 36.0], shoonya_0s07LM0IFUABDY, 5735767]
[paragraph, [836.0, 1599.0, 580.0, 36.0], shoonya_0s07LM0IFUABDY, 5735767]
[paragraph, [836.0, 1635.0, 580.0, 36.0], shoonya_0s07LM0IFUABDY, 5735767]
[paragraph, [836.0, 1671.0, 580.0, 36.0], shoonya_0s07LM0IFUABDY, 5735767]
[paragraph, [237.0, 885.0, 579.0, 36.0], shoonya_4s34IJA8K9QX2B, 5735767]
[paragraph, [237.0, 921.0, 579.0, 36.0], shoonya_4s34IJA8K9QX2B, 5735767]
[paragraph, [237.0, 957.0, 579.0, 36.0], shoonya_4s34IJA8K9QX2B, 5735767]
[paragraph, [237.0, 993.0, 579.0, 36.0], shoonya_4s34IJA8K9QX2B, 5735767]
[paragraph, [237.0, 1029.0, 579.0, 36.0], shoonya_4s34IJA8K9QX2B, 5735767]
