[1650, 934]
[folio, [356.0, 108.0, 270.0, 36.0], ah5dkpErZJ, 5766494]
[paragraph, [81.0, 164.0, 804.0, 36.0], shoonya_0sSS6YQDG06937, 5766494]
[paragraph, [81.0, 200.0, 804.0, 36.0], shoonya_0sSS6YQDG06937, 5766494]
[paragraph, [81.0, 236.0, 804.0, 36.0], shoonya_0sSS6YQDG06937, 5766494]
[paragraph, [81.0, 272.0, 804.0, 36.0], shoonya_0sSS6YQDG06937, 5766494]
[paragraph, [81.0, 308.0, 804.0, 36.0], shoonya_0sSS6YQDG06937, 5766494]
[paragraph, [81.0, 344.0, 804.0, 36.0], shoonya_0sSS6YQDG06937, 5766494]
[paragraph, [81.0, 380.0, 804.0, 36.0], shoonya_0sSS6YQDG06937, 5766494]
[paragraph, [81.0, 416.0, 804.0, 36.0], shoonya_0sSS6YQDG06937, 5766494]
[paragraph, [81.0, 452.0, 804.0, 36.0], shoonya_0sSS6YQDG06937, 5766494]
[paragraph, [81.0, 488.0, 804.0, 36.0], shoonya_0sSS6YQDG06937, 5766494]
[paragraph, [81.0, 524.0, 804.0, 36.0], shoonya_0sSS6YQDG06937, 5766494]
[paragraph, [81.0, 560.0, 804.0, 36.0], shoonya_0sSS6YQDG06937, 5766494]
[paragraph, [81.0, 596.0, 804.0, 36.0], shoonya_0sSS6YQDG06937, 5766494]
[paragraph, [81.0, 632.0, 804.0, 36.0], shoonya_0sSS6YQDG06937, 5766494]
[paragraph, [81.0, 668.0, 804.0, 36.0], shoonya_0sSS6YQDG06937, 5766494]
[paragraph, [81.0, 704.0, 804.0, 36.0], shoonya_0sSS6YQDG06937, 5766494]
[paragraph, [81.0, 740.0, 804.0, 36.0], shoonya_0sSS6YQDG06937, 5766494]
[paragraph, [81.0, 776.0, 804.0, 36.0], shoonya_0sSS6YQDG06937, 5766494]
[paragraph, [81.0, 812.0, 804.0, 36.0], shoonya_0sSS6YQDG06937, 5766494]
[paragraph, [81.0, 848.0, 804.0, 36.0], shoonya_0sSS6YQDG06937, 5766494]
[paragraph, [81.0, 884.0, 804.0, 36.0], shoonya_0sSS6YQDG06937, 5766494]
[paragraph, [81.0, 920.0, 804.0, 36.0], shoonya_0sSS6YQDG06937, 5766494]
[paragraph, [81.0, 956.0, 804.0, 36.0], shoonya_0sSS6YQDG06937, 5766494]
[paragraph, [81.0, 992.0, 804.0, 36.0], shoonya_0sSS6YQDG06937, 5766494]
[paragraph, [81.0, 1028.0, 804.0, 36.0], shoonya_0sSS6YQDG06937, 5766494]
[paragraph, [81.0, 1064.0, 804.0, 36.0], shoonya_0sSS6YQDG06937, 5766494]
[paragraph, [81.0, 1100.0, 804.0, 36.0], shoonya_0sSS6YQDG06937, 5766494]
[paragraph, [81.0, 1136.0, 804.0, 36.0], shoonya_0sSS6YQDG06937, 5766494]
[paragraph, [81.0, 1172.0, 804.0, 36.0], shoonya_0sSS6YQDG06937, 5766494]
[paragraph, [81.0, 1208.0, 804.0, 36.0], shoonya_0sSS6YQDG06937, 5766494]
[paragraph, [81.0, 1244.0, 804.0, 36.0], shoonya_0sSS6YQDG06937, 5766494]
[paragraph, [81.0, 1280.0, 804.0, 36.0], shoonya_0sSS6YQDG06937, 5766494]
[paragraph, [81.0, 1316.0, 804.0, 36.0], shoonya_0sSS6YQDG06937, 5766494]
[paragraph, [81.0, 1352.0, 804.0, 36.0], shoonya_0sSS6YQDG06937, 5766494]
[paragraph, [81.0, 1388.0, 804.0, 36.0], shoonya_0sSS6YQDG06937, 5766494]
[paragraph, [81.0, 1424.0, 804.0, 36.0], shoonya_0sSS6YQDG06937, 5766494]
