[1754, 1241]
[paragraph, [200.0, 144.0, 895.0, 36.0], shoonya_0sAV9W317VC6A8, 6470933]
[paragraph, [200.0, 180.0, 895.0, 36.0], shoonya_0sAV9W317VC6A8, 6470933]
[paragraph, [200.0, 216.0, 895.0, 36.0], shoonya_0sAV9W317VC6A8, 6470933]
[paragraph, [200.0, 252.0, 895.0, 36.0], shoonya_0sAV9W317VC6A8, 6470933]
[paragraph, [200.0, 288.0, 895.0, 36.0], shoonya_0sAV9W317VC6A8, 6470933]
[paragraph, [200.0, 324.0, 895.0, 36.0], shoonya_0sAV9W317VC6A8, 6470933]
[paragraph, [200.0, 360.0, 895.0, 36.0], shoonya_0sAV9W317VC6A8, 6470933]
[paragraph, [200.0, 396.0, 895.0, 36.0], shoonya_0sAV9W317VC6A8, 6470933]
[paragraph, [200.0, 432.0, 895.0, 36.0], shoonya_0sAV9W317VC6A8, 6470933]
[paragraph, [200.0, 468.0, 895.0, 36.0], shoonya_0sAV9W317VC6A8, 6470933]
[paragraph, [200.0, 504.0, 895.0, 36.0], shoonya_0sAV9W317VC6A8, 6470933]
[paragraph, [200.0, 540.0, 895.0, 36.0], shoonya_0sAV9W317VC6A8, 6470933]
[paragraph, [200.0, 576.0, 895.0, 36.0], shoonya_0sAV9W317VC6A8, 6470933]
[paragraph, [200.0, 612.0, 895.0, 36.0], shoonya_0sAV9W317VC6A8, 6470933]
[paragraph, [200.0, 648.0, 895.0, 36.0], shoonya_0sAV9W317VC6A8, 6470933]
[paragraph, [214.0, 708.0, 890.0, 36.0], ehEpu4Rq27, 6470933]
[paragraph, [214.0, 744.0, 890.0, 36.0], ehEpu4Rq27, 6470933]
[paragraph, [214.0, 780.0, 890.0, 36.0], ehEpu4Rq27, 6470933]
[paragraph, [214.0, 816.0, 890.0, 36.0], ehEpu4Rq27, 6470933]
[paragraph, [214.0, 852.0, 890.0, 36.0], ehEpu4Rq27, 6470933]
[paragraph, [214.0, 888.0, 890.0, 36.0], ehEpu4Rq27, 6470933]
[paragraph, [214.0, 924.0, 890.0, 36.0], ehEpu4Rq27, 6470933]
[paragraph, [214.0, 960.0, 890.0, 36.0], ehEpu4Rq27, 6470933]
[paragraph, [214.0, 996.0, 890.0, 36.0], ehEpu4Rq27, 6470933]
[paragraph, [214.0, 1032.0, 890.0, 36.0], ehEpu4Rq27, 6470933]
[paragraph, [214.0, 1068.0, 890.0, 36.0], ehEpu4Rq27, 6470933]
[paragraph, [214.0, 1104.0, 890.0, 36.0], ehEpu4Rq27, 6470933]
[paragraph, [214.0, 1140.0, 890.0, 36.0], ehEpu4Rq27, 6470933]
[paragraph, [214.0, 1176.0, 890.0, 36.0], ehEpu4Rq27, 6470933]
[paragraph, [214.0, 1212.0, 890.0, 36.0], ehEpu4Rq27, 6470933]
[paragraph, [214.0, 1248.0, 890.0, 36.0], ehEpu4Rq27, 6470933]
[paragraph, [214.0, 1284.0, 890.0, 36.0], ehEpu4Rq27, 6470933]
[paragraph, [214.0, 1320.0, 890.0, 36.0], ehEpu4Rq27, 6470933]
[paragraph, [214.0, 1356.0, 890.0, 36.0], ehEpu4Rq27, 6470933]
[paragraph, [214.0, 1392.0, 890.0, 36.0], ehEpu4Rq27, 6470933]
[footnote, [214.0, 1560.0, 384.0, 36.0], ys78g1qWwY, 6470933]
