[1518, 1075]
[folio, [548.0, 113.0, 87.0, 36.0], shoonya_10sDLZ1BHHW88I, 5722677]
[paragraph, [558.0, 173.0, 428.0, 36.0], shoonya_2sF04FYDKT7KL2, 5722677]
[paragraph, [558.0, 209.0, 428.0, 36.0], shoonya_2sF04FYDKT7KL2, 5722677]
[paragraph, [558.0, 245.0, 428.0, 36.0], shoonya_2sF04FYDKT7KL2, 5722677]
[paragraph, [558.0, 281.0, 428.0, 36.0], shoonya_2sF04FYDKT7KL2, 5722677]
[paragraph, [558.0, 317.0, 428.0, 36.0], shoonya_2sF04FYDKT7KL2, 5722677]
[paragraph, [558.0, 353.0, 428.0, 36.0], shoonya_2sF04FYDKT7KL2, 5722677]
[paragraph, [558.0, 389.0, 428.0, 36.0], shoonya_2sF04FYDKT7KL2, 5722677]
[paragraph, [558.0, 425.0, 428.0, 36.0], shoonya_2sF04FYDKT7KL2, 5722677]
[paragraph, [558.0, 461.0, 428.0, 36.0], shoonya_2sF04FYDKT7KL2, 5722677]
[paragraph, [558.0, 497.0, 428.0, 36.0], shoonya_2sF04FYDKT7KL2, 5722677]
[paragraph, [114.0, 174.0, 426.0, 36.0], shoonya_5sWJTXMVRJFKBR, 5722677]
[paragraph, [114.0, 210.0, 426.0, 36.0], shoonya_5sWJTXMVRJFKBR, 5722677]
[paragraph, [114.0, 246.0, 426.0, 36.0], shoonya_5sWJTXMVRJFKBR, 5722677]
[paragraph, [114.0, 282.0, 426.0, 36.0], shoonya_5sWJTXMVRJFKBR, 5722677]
[paragraph, [114.0, 318.0, 426.0, 36.0], shoonya_5sWJTXMVRJFKBR, 5722677]
[paragraph, [114.0, 354.0, 426.0, 36.0], shoonya_5sWJTXMVRJFKBR, 5722677]
[paragraph, [114.0, 422.0, 427.0, 36.0], shoonya_3sCF0EGL0NPAGG, 5722677]
[paragraph, [114.0, 458.0, 427.0, 36.0], shoonya_3sCF0EGL0NPAGG, 5722677]
[paragraph, [114.0, 494.0, 427.0, 36.0], shoonya_3sCF0EGL0NPAGG, 5722677]
[paragraph, [114.0, 530.0, 427.0, 36.0], shoonya_3sCF0EGL0NPAGG, 5722677]
[paragraph, [114.0, 566.0, 427.0, 36.0], shoonya_3sCF0EGL0NPAGG, 5722677]
[paragraph, [114.0, 602.0, 427.0, 36.0], shoonya_3sCF0EGL0NPAGG, 5722677]
[paragraph, [114.0, 638.0, 427.0, 36.0], shoonya_3sCF0EGL0NPAGG, 5722677]
[paragraph, [114.0, 674.0, 427.0, 36.0], shoonya_3sCF0EGL0NPAGG, 5722677]
[paragraph, [114.0, 710.0, 427.0, 36.0], shoonya_3sCF0EGL0NPAGG, 5722677]
[paragraph, [114.0, 746.0, 427.0, 36.0], shoonya_3sCF0EGL0NPAGG, 5722677]
[paragraph, [114.0, 782.0, 427.0, 36.0], shoonya_3sCF0EGL0NPAGG, 5722677]
[paragraph, [114.0, 818.0, 427.0, 36.0], shoonya_3sCF0EGL0NPAGG, 5722677]
[paragraph, [114.0, 854.0, 427.0, 36.0], shoonya_3sCF0EGL0NPAGG, 5722677]
[paragraph, [114.0, 890.0, 427.0, 36.0], shoonya_3sCF0EGL0NPAGG, 5722677]
[paragraph, [114.0, 926.0, 427.0, 36.0], shoonya_3sCF0EGL0NPAGG, 5722677]
[paragraph, [114.0, 962.0, 427.0, 36.0], shoonya_3sCF0EGL0NPAGG, 5722677]
[paragraph, [114.0, 998.0, 427.0, 36.0], shoonya_3sCF0EGL0NPAGG, 5722677]
[paragraph, [556.0, 552.0, 428.0, 36.0], shoonya_0sIHVO9DNLQTIB, 5722677]
[paragraph, [556.0, 588.0, 428.0, 36.0], shoonya_0sIHVO9DNLQTIB, 5722677]
[paragraph, [556.0, 624.0, 428.0, 36.0], shoonya_0sIHVO9DNLQTIB, 5722677]
[paragraph, [556.0, 660.0, 428.0, 36.0], shoonya_0sIHVO9DNLQTIB, 5722677]
[paragraph, [556.0, 696.0, 428.0, 36.0], shoonya_0sIHVO9DNLQTIB, 5722677]
[paragraph, [556.0, 732.0, 428.0, 36.0], shoonya_0sIHVO9DNLQTIB, 5722677]
[paragraph, [556.0, 768.0, 428.0, 36.0], shoonya_0sIHVO9DNLQTIB, 5722677]
[paragraph, [556.0, 804.0, 428.0, 36.0], shoonya_0sIHVO9DNLQTIB, 5722677]
[paragraph, [556.0, 840.0, 428.0, 36.0], shoonya_0sIHVO9DNLQTIB, 5722677]
[paragraph, [556.0, 876.0, 428.0, 36.0], shoonya_0sIHVO9DNLQTIB, 5722677]
[paragraph, [556.0, 912.0, 428.0, 36.0], shoonya_0sIHVO9DNLQTIB, 5722677]
[paragraph, [556.0, 948.0, 428.0, 36.0], shoonya_0sIHVO9DNLQTIB, 5722677]
[paragraph, [556.0, 984.0, 428.0, 36.0], shoonya_0sIHVO9DNLQTIB, 5722677]
[paragraph, [556.0, 1020.0, 428.0, 36.0], shoonya_0sIHVO9DNLQTIB, 5722677]
[paragraph, [556.0, 1056.0, 428.0, 36.0], shoonya_0sIHVO9DNLQTIB, 5722677]
[paragraph, [556.0, 1092.0, 428.0, 36.0], shoonya_0sIHVO9DNLQTIB, 5722677]
