[1755, 1241]
[folio, [493.0, 232.0, 239.0, 36.0], shoonya_2sBEBHBMFGNLBI, 5711306]
[paragraph, [199.0, 296.0, 834.0, 36.0], shoonya_0sR100E6RHBPHP, 5711306]
[paragraph, [199.0, 332.0, 834.0, 36.0], shoonya_0sR100E6RHBPHP, 5711306]
[paragraph, [199.0, 368.0, 834.0, 36.0], shoonya_0sR100E6RHBPHP, 5711306]
[paragraph, [199.0, 404.0, 834.0, 36.0], shoonya_0sR100E6RHBPHP, 5711306]
[paragraph, [199.0, 440.0, 834.0, 36.0], shoonya_0sR100E6RHBPHP, 5711306]
[paragraph, [199.0, 476.0, 834.0, 36.0], shoonya_0sR100E6RHBPHP, 5711306]
[paragraph, [199.0, 512.0, 834.0, 36.0], shoonya_0sR100E6RHBPHP, 5711306]
[paragraph, [199.0, 548.0, 834.0, 36.0], shoonya_0sR100E6RHBPHP, 5711306]
[paragraph, [199.0, 584.0, 834.0, 36.0], shoonya_0sR100E6RHBPHP, 5711306]
[paragraph, [199.0, 620.0, 834.0, 36.0], shoonya_0sR100E6RHBPHP, 5711306]
[paragraph, [199.0, 656.0, 834.0, 36.0], shoonya_0sR100E6RHBPHP, 5711306]
[paragraph, [199.0, 692.0, 834.0, 36.0], shoonya_0sR100E6RHBPHP, 5711306]
[paragraph, [199.0, 728.0, 834.0, 36.0], shoonya_0sR100E6RHBPHP, 5711306]
[paragraph, [199.0, 764.0, 834.0, 36.0], shoonya_0sR100E6RHBPHP, 5711306]
[paragraph, [201.0, 833.0, 831.0, 36.0], shoonya_1s9IWYVWCF4GOR, 5711306]
[paragraph, [201.0, 869.0, 831.0, 36.0], shoonya_1s9IWYVWCF4GOR, 5711306]
[paragraph, [201.0, 905.0, 831.0, 36.0], shoonya_1s9IWYVWCF4GOR, 5711306]
[paragraph, [201.0, 941.0, 831.0, 36.0], shoonya_1s9IWYVWCF4GOR, 5711306]
[paragraph, [201.0, 977.0, 831.0, 36.0], shoonya_1s9IWYVWCF4GOR, 5711306]
[paragraph, [201.0, 1013.0, 831.0, 36.0], shoonya_1s9IWYVWCF4GOR, 5711306]
[paragraph, [201.0, 1049.0, 831.0, 36.0], shoonya_1s9IWYVWCF4GOR, 5711306]
[paragraph, [201.0, 1085.0, 831.0, 36.0], shoonya_1s9IWYVWCF4GOR, 5711306]
[paragraph, [201.0, 1121.0, 831.0, 36.0], shoonya_1s9IWYVWCF4GOR, 5711306]
[paragraph, [201.0, 1157.0, 831.0, 36.0], shoonya_1s9IWYVWCF4GOR, 5711306]
[paragraph, [201.0, 1193.0, 831.0, 36.0], shoonya_1s9IWYVWCF4GOR, 5711306]
[paragraph, [201.0, 1229.0, 831.0, 36.0], shoonya_1s9IWYVWCF4GOR, 5711306]
[paragraph, [201.0, 1265.0, 831.0, 36.0], shoonya_1s9IWYVWCF4GOR, 5711306]
[paragraph, [201.0, 1301.0, 831.0, 36.0], shoonya_1s9IWYVWCF4GOR, 5711306]
[paragraph, [201.0, 1337.0, 831.0, 36.0], shoonya_1s9IWYVWCF4GOR, 5711306]
[paragraph, [201.0, 1373.0, 831.0, 36.0], shoonya_1s9IWYVWCF4GOR, 5711306]
[paragraph, [201.0, 1409.0, 831.0, 36.0], shoonya_1s9IWYVWCF4GOR, 5711306]
[paragraph, [201.0, 1451.0, 827.0, 36.0], Xg4RMSUYGU, 5711306]
[paragraph, [201.0, 1487.0, 827.0, 36.0], Xg4RMSUYGU, 5711306]
[paragraph, [201.0, 1523.0, 827.0, 36.0], Xg4RMSUYGU, 5711306]
