[842, 595]
[folio, [247.0, 86.0, 89.0, 18.0], zMKbV3_ELV, 5772877]
[folio, [247.0, 104.0, 89.0, 18.0], zMKbV3_ELV, 5772877]
[placeholder-text, [304.0, 137.0, 233.0, 18.0], UNDveM8rCk, 5772877]
[placeholder-text, [304.0, 164.0, 232.0, 18.0], sdLMjNl4Td, 5772877]
[placeholder-text, [77.0, 184.0, 216.0, 18.0], oofLmEFNd-, 5772877]
[placeholder-text, [303.0, 197.0, 235.0, 18.0], J9B1834xxY, 5772877]
[sidebar, [58.0, 232.0, 90.0, 18.0], -EWb1WNYWm, 5772877]
[ordered-list, [297.0, 279.0, 248.0, 18.0], i0t5wEwV4Y, 5772877]
[ordered-list, [297.0, 297.0, 248.0, 18.0], i0t5wEwV4Y, 5772877]
[ordered-list, [297.0, 315.0, 248.0, 18.0], i0t5wEwV4Y, 5772877]
[ordered-list, [297.0, 333.0, 248.0, 18.0], i0t5wEwV4Y, 5772877]
[ordered-list, [297.0, 351.0, 248.0, 18.0], i0t5wEwV4Y, 5772877]
[ordered-list, [297.0, 369.0, 248.0, 18.0], i0t5wEwV4Y, 5772877]
[ordered-list, [297.0, 387.0, 248.0, 18.0], i0t5wEwV4Y, 5772877]
[ordered-list, [297.0, 405.0, 248.0, 18.0], i0t5wEwV4Y, 5772877]
[ordered-list, [297.0, 423.0, 248.0, 18.0], i0t5wEwV4Y, 5772877]
[ordered-list, [297.0, 441.0, 248.0, 18.0], i0t5wEwV4Y, 5772877]
[ordered-list, [297.0, 459.0, 248.0, 18.0], i0t5wEwV4Y, 5772877]
[ordered-list, [297.0, 477.0, 248.0, 18.0], i0t5wEwV4Y, 5772877]
[ordered-list, [297.0, 495.0, 248.0, 18.0], i0t5wEwV4Y, 5772877]
[ordered-list, [297.0, 513.0, 248.0, 18.0], i0t5wEwV4Y, 5772877]
[ordered-list, [297.0, 531.0, 248.0, 18.0], i0t5wEwV4Y, 5772877]
[ordered-list, [297.0, 549.0, 248.0, 18.0], i0t5wEwV4Y, 5772877]
[ordered-list, [297.0, 567.0, 248.0, 18.0], i0t5wEwV4Y, 5772877]
[ordered-list, [297.0, 585.0, 248.0, 18.0], i0t5wEwV4Y, 5772877]
[ordered-list, [297.0, 603.0, 248.0, 18.0], i0t5wEwV4Y, 5772877]
[ordered-list, [297.0, 621.0, 248.0, 18.0], i0t5wEwV4Y, 5772877]
[ordered-list, [297.0, 639.0, 248.0, 18.0], i0t5wEwV4Y, 5772877]
[ordered-list, [297.0, 657.0, 248.0, 18.0], i0t5wEwV4Y, 5772877]
[ordered-list, [297.0, 675.0, 248.0, 18.0], i0t5wEwV4Y, 5772877]
