[1275, 750]
[folio, [258.0, 86.0, 233.0, 18.0], shoonya_0s3NQ48FZC78T6, 5767696]
[folio, [258.0, 104.0, 233.0, 18.0], shoonya_0s3NQ48FZC78T6, 5767696]
[paragraph, [61.0, 150.0, 635.0, 18.0], 9-F0nHTzY7, 5767696]
[paragraph, [61.0, 168.0, 635.0, 18.0], 9-F0nHTzY7, 5767696]
[paragraph, [61.0, 186.0, 635.0, 18.0], 9-F0nHTzY7, 5767696]
[paragraph, [61.0, 204.0, 635.0, 18.0], 9-F0nHTzY7, 5767696]
[paragraph, [61.0, 222.0, 635.0, 18.0], 9-F0nHTzY7, 5767696]
[paragraph, [61.0, 240.0, 635.0, 18.0], 9-F0nHTzY7, 5767696]
[paragraph, [61.0, 258.0, 635.0, 18.0], 9-F0nHTzY7, 5767696]
[paragraph, [61.0, 276.0, 635.0, 18.0], 9-F0nHTzY7, 5767696]
[paragraph, [61.0, 294.0, 635.0, 18.0], 9-F0nHTzY7, 5767696]
[paragraph, [61.0, 312.0, 635.0, 18.0], 9-F0nHTzY7, 5767696]
[paragraph, [61.0, 330.0, 635.0, 18.0], 9-F0nHTzY7, 5767696]
[paragraph, [61.0, 348.0, 635.0, 18.0], 9-F0nHTzY7, 5767696]
[paragraph, [61.0, 366.0, 635.0, 18.0], 9-F0nHTzY7, 5767696]
[paragraph, [61.0, 384.0, 635.0, 18.0], 9-F0nHTzY7, 5767696]
[paragraph, [61.0, 402.0, 635.0, 18.0], 9-F0nHTzY7, 5767696]
[paragraph, [61.0, 420.0, 635.0, 18.0], 9-F0nHTzY7, 5767696]
[paragraph, [61.0, 438.0, 635.0, 18.0], 9-F0nHTzY7, 5767696]
[paragraph, [61.0, 456.0, 635.0, 18.0], 9-F0nHTzY7, 5767696]
[paragraph, [61.0, 474.0, 635.0, 18.0], 9-F0nHTzY7, 5767696]
[paragraph, [61.0, 492.0, 635.0, 18.0], 9-F0nHTzY7, 5767696]
[paragraph, [61.0, 510.0, 635.0, 18.0], 9-F0nHTzY7, 5767696]
[paragraph, [61.0, 528.0, 635.0, 18.0], 9-F0nHTzY7, 5767696]
[paragraph, [61.0, 546.0, 635.0, 18.0], 9-F0nHTzY7, 5767696]
[paragraph, [64.0, 579.0, 624.0, 18.0], M532nCTdkr, 5767696]
[paragraph, [64.0, 597.0, 624.0, 18.0], M532nCTdkr, 5767696]
[paragraph, [64.0, 615.0, 624.0, 18.0], M532nCTdkr, 5767696]
[paragraph, [64.0, 633.0, 624.0, 18.0], M532nCTdkr, 5767696]
[paragraph, [64.0, 651.0, 624.0, 18.0], M532nCTdkr, 5767696]
[paragraph, [64.0, 669.0, 624.0, 18.0], M532nCTdkr, 5767696]
[paragraph, [64.0, 687.0, 624.0, 18.0], M532nCTdkr, 5767696]
[paragraph, [64.0, 705.0, 624.0, 18.0], M532nCTdkr, 5767696]
[paragraph, [64.0, 723.0, 624.0, 18.0], M532nCTdkr, 5767696]
[paragraph, [64.0, 741.0, 624.0, 18.0], M532nCTdkr, 5767696]
[paragraph, [64.0, 759.0, 624.0, 18.0], M532nCTdkr, 5767696]
[paragraph, [64.0, 777.0, 624.0, 18.0], M532nCTdkr, 5767696]
[paragraph, [64.0, 795.0, 624.0, 18.0], M532nCTdkr, 5767696]
[paragraph, [74.0, 812.0, 614.0, 18.0], sz0G0YDkH8, 5767696]
[paragraph, [74.0, 830.0, 614.0, 18.0], sz0G0YDkH8, 5767696]
[paragraph, [74.0, 848.0, 614.0, 18.0], sz0G0YDkH8, 5767696]
[paragraph, [74.0, 866.0, 614.0, 18.0], sz0G0YDkH8, 5767696]
[paragraph, [74.0, 884.0, 614.0, 18.0], sz0G0YDkH8, 5767696]
[paragraph, [74.0, 902.0, 614.0, 18.0], sz0G0YDkH8, 5767696]
[paragraph, [74.0, 920.0, 614.0, 18.0], sz0G0YDkH8, 5767696]
[ordered-list, [98.0, 954.0, 593.0, 18.0], WJkSgYM6X8, 5767696]
[ordered-list, [98.0, 972.0, 593.0, 18.0], WJkSgYM6X8, 5767696]
[ordered-list, [98.0, 990.0, 593.0, 18.0], WJkSgYM6X8, 5767696]
[ordered-list, [98.0, 1008.0, 593.0, 18.0], WJkSgYM6X8, 5767696]
[ordered-list, [98.0, 1026.0, 593.0, 18.0], WJkSgYM6X8, 5767696]
[ordered-list, [98.0, 1044.0, 593.0, 18.0], WJkSgYM6X8, 5767696]
[ordered-list, [98.0, 1062.0, 593.0, 18.0], WJkSgYM6X8, 5767696]
[ordered-list, [98.0, 1080.0, 593.0, 18.0], WJkSgYM6X8, 5767696]
[ordered-list, [98.0, 1098.0, 593.0, 18.0], WJkSgYM6X8, 5767696]
[ordered-list, [98.0, 1116.0, 593.0, 18.0], WJkSgYM6X8, 5767696]
[ordered-list, [98.0, 1134.0, 593.0, 18.0], WJkSgYM6X8, 5767696]
[ordered-list, [98.0, 1152.0, 593.0, 18.0], WJkSgYM6X8, 5767696]
