[1650, 1275]
[paragraph, [117.0, 79.0, 534.0, 36.0], -JLTk7hO0Q, 5722164]
[paragraph, [117.0, 115.0, 534.0, 36.0], -JLTk7hO0Q, 5722164]
[paragraph, [117.0, 151.0, 534.0, 36.0], -JLTk7hO0Q, 5722164]
[paragraph, [117.0, 187.0, 534.0, 36.0], -JLTk7hO0Q, 5722164]
[paragraph, [117.0, 223.0, 534.0, 36.0], -JLTk7hO0Q, 5722164]
[paragraph, [117.0, 259.0, 534.0, 36.0], -JLTk7hO0Q, 5722164]
[paragraph, [117.0, 295.0, 534.0, 36.0], -JLTk7hO0Q, 5722164]
[paragraph, [117.0, 331.0, 534.0, 36.0], -JLTk7hO0Q, 5722164]
[paragraph, [117.0, 367.0, 534.0, 36.0], -JLTk7hO0Q, 5722164]
[paragraph, [662.0, 89.0, 506.0, 36.0], g9_iM8YaLa, 5722164]
[paragraph, [658.0, 144.0, 514.0, 36.0], nI2PPKH5g5, 5722164]
[paragraph, [658.0, 180.0, 514.0, 36.0], nI2PPKH5g5, 5722164]
[paragraph, [658.0, 216.0, 514.0, 36.0], nI2PPKH5g5, 5722164]
[paragraph, [658.0, 252.0, 514.0, 36.0], nI2PPKH5g5, 5722164]
[paragraph, [658.0, 288.0, 514.0, 36.0], nI2PPKH5g5, 5722164]
[paragraph, [658.0, 324.0, 514.0, 36.0], nI2PPKH5g5, 5722164]
[paragraph, [658.0, 360.0, 514.0, 36.0], nI2PPKH5g5, 5722164]
[paragraph, [658.0, 396.0, 514.0, 36.0], nI2PPKH5g5, 5722164]
[paragraph, [658.0, 432.0, 514.0, 36.0], nI2PPKH5g5, 5722164]
[paragraph, [658.0, 468.0, 514.0, 36.0], nI2PPKH5g5, 5722164]
[paragraph, [658.0, 504.0, 514.0, 36.0], nI2PPKH5g5, 5722164]
[paragraph, [658.0, 540.0, 514.0, 36.0], nI2PPKH5g5, 5722164]
[paragraph, [658.0, 576.0, 514.0, 36.0], nI2PPKH5g5, 5722164]
[paragraph, [658.0, 612.0, 514.0, 36.0], nI2PPKH5g5, 5722164]
[paragraph, [658.0, 648.0, 514.0, 36.0], nI2PPKH5g5, 5722164]
[paragraph, [658.0, 684.0, 514.0, 36.0], nI2PPKH5g5, 5722164]
[paragraph, [658.0, 720.0, 514.0, 36.0], nI2PPKH5g5, 5722164]
[paragraph, [658.0, 756.0, 514.0, 36.0], nI2PPKH5g5, 5722164]
[paragraph, [658.0, 792.0, 514.0, 36.0], nI2PPKH5g5, 5722164]
[paragraph, [658.0, 828.0, 514.0, 36.0], nI2PPKH5g5, 5722164]
[paragraph, [658.0, 864.0, 514.0, 36.0], nI2PPKH5g5, 5722164]
[section-title, [154.0, 407.0, 342.0, 49.5], TvokHgpMYp, 5722164]
[paragraph, [113.0, 460.0, 541.0, 36.0], dyteuYA7ki, 5722164]
[paragraph, [113.0, 496.0, 541.0, 36.0], dyteuYA7ki, 5722164]
[paragraph, [113.0, 532.0, 541.0, 36.0], dyteuYA7ki, 5722164]
[paragraph, [113.0, 568.0, 541.0, 36.0], dyteuYA7ki, 5722164]
[paragraph, [113.0, 604.0, 541.0, 36.0], dyteuYA7ki, 5722164]
[paragraph, [113.0, 640.0, 541.0, 36.0], dyteuYA7ki, 5722164]
[paragraph, [113.0, 676.0, 541.0, 36.0], dyteuYA7ki, 5722164]
[paragraph, [113.0, 712.0, 541.0, 36.0], dyteuYA7ki, 5722164]
