[3508, 2481]
[contact-info, [478.0, 326.0, 1551.0, 52.5], faSpdWRZRU, 6491196]
[contact-info, [478.0, 378.5, 1551.0, 52.5], faSpdWRZRU, 6491196]
[contact-info, [478.0, 431.0, 1551.0, 52.5], faSpdWRZRU, 6491196]
[contact-info, [478.0, 483.5, 1551.0, 52.5], faSpdWRZRU, 6491196]
[contact-info, [478.0, 536.0, 1551.0, 52.5], faSpdWRZRU, 6491196]
[paragraph, [795.0, 696.0, 914.0, 52.5], ouC9bHBrkq, 6491196]
[headline, [1075.0, 814.0, 310.0, 52.5], BvpamyTYup, 6491196]
[headline, [1075.0, 866.5, 310.0, 52.5], BvpamyTYup, 6491196]
[dateline, [208.0, 1169.0, 438.0, 52.5], TIQVQKOZ70, 6491196]
[paragraph, [208.0, 1421.0, 475.0, 52.5], jJ8pqfCg7N, 6491196]
[paragraph, [192.0, 1542.0, 2098.0, 52.5], qF86ro5Mgk, 6491196]
[paragraph, [192.0, 1594.5, 2098.0, 52.5], qF86ro5Mgk, 6491196]
[paragraph, [192.0, 1647.0, 2098.0, 52.5], qF86ro5Mgk, 6491196]
[paragraph, [192.0, 1699.5, 2098.0, 52.5], qF86ro5Mgk, 6491196]
[paragraph, [192.0, 1752.0, 2098.0, 52.5], qF86ro5Mgk, 6491196]
[paragraph, [192.0, 1804.5, 2098.0, 52.5], qF86ro5Mgk, 6491196]
[unordered-list, [248.0, 1956.0, 2042.0, 52.5], 8iLDA5Lpta, 6491196]
[unordered-list, [248.0, 2008.5, 2042.0, 52.5], 8iLDA5Lpta, 6491196]
[unordered-list, [248.0, 2061.0, 2042.0, 52.5], 8iLDA5Lpta, 6491196]
[unordered-list, [248.0, 2113.5, 2042.0, 52.5], 8iLDA5Lpta, 6491196]
[unordered-list, [248.0, 2166.0, 2042.0, 52.5], 8iLDA5Lpta, 6491196]
[unordered-list, [248.0, 2218.5, 2042.0, 52.5], 8iLDA5Lpta, 6491196]
[unordered-list, [248.0, 2271.0, 2042.0, 52.5], 8iLDA5Lpta, 6491196]
[unordered-list, [248.0, 2323.5, 2042.0, 52.5], 8iLDA5Lpta, 6491196]
[unordered-list, [248.0, 2376.0, 2042.0, 52.5], 8iLDA5Lpta, 6491196]
[unordered-list, [248.0, 2428.5, 2042.0, 52.5], 8iLDA5Lpta, 6491196]
[unordered-list, [248.0, 2481.0, 2042.0, 52.5], 8iLDA5Lpta, 6491196]
[unordered-list, [248.0, 2533.5, 2042.0, 52.5], 8iLDA5Lpta, 6491196]
[contact-info, [202.0, 2982.0, 528.0, 52.5], lN_xgVxwtw, 6491196]
[contact-info, [208.0, 3296.0, 531.0, 52.5], VxVpAWlyfC, 6491196]
