[1241, 1754]
[folio, [61.0, 67.0, 480.0, 18.0], 43XH_AlavE, 6477791]
[folio, [61.0, 85.0, 480.0, 18.0], 43XH_AlavE, 6477791]
[folio, [61.0, 103.0, 480.0, 18.0], 43XH_AlavE, 6477791]
[folio, [61.0, 121.0, 480.0, 18.0], 43XH_AlavE, 6477791]
[folio, [920.0, 67.0, 521.0, 18.0], nRDe84UHdG, 6477791]
[folio, [920.0, 85.0, 521.0, 18.0], nRDe84UHdG, 6477791]
[folio, [920.0, 103.0, 521.0, 18.0], nRDe84UHdG, 6477791]
[section-title, [65.0, 181.0, 519.0, 30.0], PejtmoaeJ8, 6477791]
[section-title, [916.0, 186.0, 372.0, 30.0], jyAuZmt_KD, 6477791]
[paragraph, [74.0, 237.0, 754.0, 18.0], shoonya_2sYVWGK702SOE6, 6477791]
[paragraph, [74.0, 255.0, 754.0, 18.0], shoonya_2sYVWGK702SOE6, 6477791]
[paragraph, [74.0, 273.0, 754.0, 18.0], shoonya_2sYVWGK702SOE6, 6477791]
[paragraph, [74.0, 291.0, 754.0, 18.0], shoonya_2sYVWGK702SOE6, 6477791]
[paragraph, [74.0, 309.0, 754.0, 18.0], shoonya_2sYVWGK702SOE6, 6477791]
[paragraph, [74.0, 327.0, 754.0, 18.0], shoonya_2sYVWGK702SOE6, 6477791]
[paragraph, [74.0, 345.0, 754.0, 18.0], shoonya_2sYVWGK702SOE6, 6477791]
[paragraph, [74.0, 363.0, 754.0, 18.0], shoonya_2sYVWGK702SOE6, 6477791]
[paragraph, [74.0, 381.0, 754.0, 18.0], shoonya_2sYVWGK702SOE6, 6477791]
[paragraph, [74.0, 399.0, 754.0, 18.0], shoonya_2sYVWGK702SOE6, 6477791]
[paragraph, [74.0, 417.0, 754.0, 18.0], shoonya_2sYVWGK702SOE6, 6477791]
[paragraph, [74.0, 435.0, 754.0, 18.0], shoonya_2sYVWGK702SOE6, 6477791]
[paragraph, [74.0, 453.0, 754.0, 18.0], shoonya_2sYVWGK702SOE6, 6477791]
[paragraph, [74.0, 471.0, 754.0, 18.0], shoonya_2sYVWGK702SOE6, 6477791]
[paragraph, [74.0, 489.0, 754.0, 18.0], shoonya_2sYVWGK702SOE6, 6477791]
[paragraph, [74.0, 507.0, 754.0, 18.0], shoonya_2sYVWGK702SOE6, 6477791]
[paragraph, [74.0, 525.0, 754.0, 18.0], shoonya_2sYVWGK702SOE6, 6477791]
[paragraph, [74.0, 543.0, 754.0, 18.0], shoonya_2sYVWGK702SOE6, 6477791]
