[1500, 1050]
[chapter-title, [289.0, 169.0, 443.0, 58.5], shoonya_1sHC0EWVJDL63M, 5759890]
[paragraph, [174.0, 255.0, 678.0, 36.0], shoonya_0sFA7VPR601ZDD, 5759890]
[paragraph, [174.0, 291.0, 678.0, 36.0], shoonya_0sFA7VPR601ZDD, 5759890]
[paragraph, [174.0, 327.0, 678.0, 36.0], shoonya_0sFA7VPR601ZDD, 5759890]
[paragraph, [174.0, 363.0, 678.0, 36.0], shoonya_0sFA7VPR601ZDD, 5759890]
[paragraph, [174.0, 399.0, 678.0, 36.0], shoonya_0sFA7VPR601ZDD, 5759890]
[paragraph, [174.0, 435.0, 678.0, 36.0], shoonya_0sFA7VPR601ZDD, 5759890]
[paragraph, [174.0, 471.0, 678.0, 36.0], shoonya_0sFA7VPR601ZDD, 5759890]
[paragraph, [175.0, 524.0, 678.0, 36.0], shoonya_2sHC1SSRQ1NURN, 5759890]
[paragraph, [175.0, 560.0, 678.0, 36.0], shoonya_2sHC1SSRQ1NURN, 5759890]
[paragraph, [175.0, 596.0, 678.0, 36.0], shoonya_2sHC1SSRQ1NURN, 5759890]
[paragraph, [175.0, 632.0, 678.0, 36.0], shoonya_2sHC1SSRQ1NURN, 5759890]
[paragraph, [175.0, 668.0, 678.0, 36.0], shoonya_2sHC1SSRQ1NURN, 5759890]
[paragraph, [175.0, 704.0, 678.0, 36.0], shoonya_2sHC1SSRQ1NURN, 5759890]
[paragraph, [175.0, 740.0, 678.0, 36.0], shoonya_2sHC1SSRQ1NURN, 5759890]
[paragraph, [175.0, 776.0, 678.0, 36.0], shoonya_2sHC1SSRQ1NURN, 5759890]
[paragraph, [175.0, 812.0, 678.0, 36.0], shoonya_2sHC1SSRQ1NURN, 5759890]
[paragraph, [175.0, 848.0, 678.0, 36.0], shoonya_2sHC1SSRQ1NURN, 5759890]
[paragraph, [176.0, 913.0, 678.0, 36.0], shoonya_3sPX7JKAIB2W1J, 5759890]
[paragraph, [176.0, 949.0, 678.0, 36.0], shoonya_3sPX7JKAIB2W1J, 5759890]
[paragraph, [176.0, 985.0, 678.0, 36.0], shoonya_3sPX7JKAIB2W1J, 5759890]
[paragraph, [176.0, 1021.0, 678.0, 36.0], shoonya_3sPX7JKAIB2W1J, 5759890]
[paragraph, [176.0, 1057.0, 678.0, 36.0], shoonya_3sPX7JKAIB2W1J, 5759890]
[paragraph, [176.0, 1093.0, 678.0, 36.0], shoonya_3sPX7JKAIB2W1J, 5759890]
[paragraph, [176.0, 1129.0, 678.0, 36.0], shoonya_3sPX7JKAIB2W1J, 5759890]
[paragraph, [176.0, 1165.0, 678.0, 36.0], shoonya_3sPX7JKAIB2W1J, 5759890]
[paragraph, [176.0, 1201.0, 678.0, 36.0], shoonya_3sPX7JKAIB2W1J, 5759890]
[paragraph, [179.0, 1244.0, 674.0, 36.0], 01PKMBQLbO, 5759890]
[paragraph, [179.0, 1280.0, 674.0, 36.0], 01PKMBQLbO, 5759890]
[paragraph, [179.0, 1316.0, 674.0, 36.0], 01PKMBQLbO, 5759890]
[paragraph, [179.0, 1352.0, 674.0, 36.0], 01PKMBQLbO, 5759890]
