[576, 792]
[paragraph, [416.0, 53.0, 298.0, 18.0], shoonya_4sPUPU3OFRUHND, 5685340]
[paragraph, [416.0, 71.0, 298.0, 18.0], shoonya_4sPUPU3OFRUHND, 5685340]
[paragraph, [416.0, 89.0, 298.0, 18.0], shoonya_4sPUPU3OFRUHND, 5685340]
[paragraph, [416.0, 107.0, 298.0, 18.0], shoonya_4sPUPU3OFRUHND, 5685340]
[paragraph, [416.0, 125.0, 298.0, 18.0], shoonya_4sPUPU3OFRUHND, 5685340]
[paragraph, [416.0, 143.0, 298.0, 18.0], shoonya_4sPUPU3OFRUHND, 5685340]
[paragraph, [416.0, 161.0, 298.0, 18.0], shoonya_4sPUPU3OFRUHND, 5685340]
[paragraph, [416.0, 179.0, 298.0, 18.0], shoonya_4sPUPU3OFRUHND, 5685340]
[paragraph, [95.0, 54.0, 304.0, 18.0], shoonya_0s5ZANZEIRT1TF, 5685340]
[paragraph, [95.0, 72.0, 304.0, 18.0], shoonya_0s5ZANZEIRT1TF, 5685340]
[paragraph, [95.0, 90.0, 304.0, 18.0], shoonya_0s5ZANZEIRT1TF, 5685340]
[paragraph, [95.0, 108.0, 304.0, 18.0], shoonya_0s5ZANZEIRT1TF, 5685340]
[paragraph, [95.0, 126.0, 304.0, 18.0], shoonya_0s5ZANZEIRT1TF, 5685340]
[paragraph, [95.0, 144.0, 304.0, 18.0], shoonya_0s5ZANZEIRT1TF, 5685340]
[paragraph, [95.0, 162.0, 304.0, 18.0], shoonya_0s5ZANZEIRT1TF, 5685340]
[paragraph, [95.0, 180.0, 304.0, 18.0], shoonya_0s5ZANZEIRT1TF, 5685340]
[paragraph, [95.0, 198.0, 304.0, 18.0], shoonya_0s5ZANZEIRT1TF, 5685340]
[paragraph, [415.0, 220.0, 300.0, 18.0], shoonya_5sUE87YYJSW7FC, 5685340]
[paragraph, [415.0, 238.0, 300.0, 18.0], shoonya_5sUE87YYJSW7FC, 5685340]
[paragraph, [415.0, 256.0, 300.0, 18.0], shoonya_5sUE87YYJSW7FC, 5685340]
[paragraph, [415.0, 274.0, 300.0, 18.0], shoonya_5sUE87YYJSW7FC, 5685340]
[paragraph, [415.0, 292.0, 300.0, 18.0], shoonya_5sUE87YYJSW7FC, 5685340]
[paragraph, [415.0, 310.0, 300.0, 18.0], shoonya_5sUE87YYJSW7FC, 5685340]
[paragraph, [97.0, 233.0, 303.0, 18.0], shoonya_1s22S8WOE0WXZM, 5685340]
[paragraph, [97.0, 251.0, 303.0, 18.0], shoonya_1s22S8WOE0WXZM, 5685340]
[paragraph, [97.0, 269.0, 303.0, 18.0], shoonya_1s22S8WOE0WXZM, 5685340]
[paragraph, [97.0, 287.0, 303.0, 18.0], shoonya_1s22S8WOE0WXZM, 5685340]
[paragraph, [97.0, 305.0, 303.0, 18.0], shoonya_1s22S8WOE0WXZM, 5685340]
[paragraph, [95.0, 343.0, 301.0, 18.0], shoonya_2s6CIXAZZG98IL, 5685340]
[paragraph, [95.0, 361.0, 301.0, 18.0], shoonya_2s6CIXAZZG98IL, 5685340]
[paragraph, [95.0, 379.0, 301.0, 18.0], shoonya_2s6CIXAZZG98IL, 5685340]
[paragraph, [95.0, 397.0, 301.0, 18.0], shoonya_2s6CIXAZZG98IL, 5685340]
[paragraph, [95.0, 415.0, 301.0, 18.0], shoonya_2s6CIXAZZG98IL, 5685340]
[paragraph, [95.0, 433.0, 301.0, 18.0], shoonya_2s6CIXAZZG98IL, 5685340]
[paragraph, [414.0, 346.0, 300.0, 18.0], shoonya_6s1ECE5KZK49Z2, 5685340]
[paragraph, [414.0, 364.0, 300.0, 18.0], shoonya_6s1ECE5KZK49Z2, 5685340]
[paragraph, [414.0, 382.0, 300.0, 18.0], shoonya_6s1ECE5KZK49Z2, 5685340]
[paragraph, [414.0, 400.0, 300.0, 18.0], shoonya_6s1ECE5KZK49Z2, 5685340]
[paragraph, [414.0, 418.0, 300.0, 18.0], shoonya_6s1ECE5KZK49Z2, 5685340]
[paragraph, [95.0, 462.0, 302.0, 18.0], shoonya_3sT4ZZBTX64B2Q, 5685340]
[paragraph, [95.0, 480.0, 302.0, 18.0], shoonya_3sT4ZZBTX64B2Q, 5685340]
[paragraph, [95.0, 498.0, 302.0, 18.0], shoonya_3sT4ZZBTX64B2Q, 5685340]
[paragraph, [413.0, 464.0, 305.0, 18.0], shoonya_7s2L6OIPA3N2WN, 5685340]
[paragraph, [413.0, 482.0, 305.0, 18.0], shoonya_7s2L6OIPA3N2WN, 5685340]
