[596, 421]
[section-title, [99.0, 43.0, 115.0, 30.0], vHdWS4nFXi, 6534350]
[paragraph, [74.0, 85.0, 163.0, 18.0], bS-07clbTG, 6534350]
[paragraph, [74.0, 103.0, 163.0, 18.0], bS-07clbTG, 6534350]
[paragraph, [74.0, 121.0, 163.0, 18.0], bS-07clbTG, 6534350]
[paragraph, [74.0, 139.0, 163.0, 18.0], bS-07clbTG, 6534350]
[paragraph, [74.0, 157.0, 163.0, 18.0], bS-07clbTG, 6534350]
[paragraph, [74.0, 175.0, 163.0, 18.0], bS-07clbTG, 6534350]
[section-title, [287.0, 202.0, 112.0, 30.0], -vBxQnxZKx, 6534350]
[paragraph, [255.0, 243.0, 98.0, 18.0], 1X8IxaHUYS, 6534350]
[paragraph, [255.0, 261.0, 98.0, 18.0], 1X8IxaHUYS, 6534350]
[paragraph, [255.0, 279.0, 98.0, 18.0], 1X8IxaHUYS, 6534350]
[paragraph, [255.0, 297.0, 98.0, 18.0], 1X8IxaHUYS, 6534350]
[paragraph, [255.0, 315.0, 98.0, 18.0], 1X8IxaHUYS, 6534350]
[paragraph, [338.0, 330.0, 81.0, 18.0], TeHw5eLZzW, 6534350]
[paragraph, [338.0, 348.0, 81.0, 18.0], TeHw5eLZzW, 6534350]
[paragraph, [338.0, 366.0, 81.0, 18.0], TeHw5eLZzW, 6534350]
[paragraph, [338.0, 384.0, 81.0, 18.0], TeHw5eLZzW, 6534350]
[paragraph, [254.0, 417.0, 90.0, 18.0], DhJgVtFL64, 6534350]
[paragraph, [254.0, 435.0, 90.0, 18.0], DhJgVtFL64, 6534350]
[paragraph, [254.0, 453.0, 90.0, 18.0], DhJgVtFL64, 6534350]
[paragraph, [254.0, 471.0, 90.0, 18.0], DhJgVtFL64, 6534350]
