[2000, 1414]
[headline, [74.0, 104.0, 507.0, 67.5], 6MM0vLUvE0, 6491722]
[headline, [74.0, 171.5, 507.0, 67.5], 6MM0vLUvE0, 6491722]
[headline, [74.0, 239.0, 507.0, 67.5], 6MM0vLUvE0, 6491722]
[headline, [74.0, 306.5, 507.0, 67.5], 6MM0vLUvE0, 6491722]
[headline, [74.0, 374.0, 507.0, 67.5], 6MM0vLUvE0, 6491722]
[headline, [74.0, 441.5, 507.0, 67.5], 6MM0vLUvE0, 6491722]
[sub-headline, [1113.0, 139.0, 208.0, 55.5], yJIGHWXXHN, 6491722]
[paragraph, [954.0, 259.0, 378.0, 36.0], U7wXhhBGfE, 6491722]
[paragraph, [954.0, 295.0, 378.0, 36.0], U7wXhhBGfE, 6491722]
[paragraph, [954.0, 331.0, 378.0, 36.0], U7wXhhBGfE, 6491722]
[paragraph, [954.0, 367.0, 378.0, 36.0], U7wXhhBGfE, 6491722]
[paragraph, [954.0, 403.0, 378.0, 36.0], U7wXhhBGfE, 6491722]
[paragraph, [498.0, 1181.0, 157.0, 36.0], FHjzJQcDlH, 6491722]
[paragraph, [498.0, 1217.0, 157.0, 36.0], FHjzJQcDlH, 6491722]
[paragraph, [83.0, 1185.0, 161.0, 36.0], shoonya_5sB4DNM70S10H2, 6491722]
[paragraph, [83.0, 1221.0, 161.0, 36.0], shoonya_5sB4DNM70S10H2, 6491722]
[paragraph, [83.0, 1257.0, 161.0, 36.0], shoonya_5sB4DNM70S10H2, 6491722]
[dateline, [931.0, 1190.0, 314.0, 64.5], MltFG3PsKV, 6491722]
[paragraph, [91.0, 1401.0, 551.0, 36.0], shoonya_2sQSMLXFAQSM4K, 6491722]
[paragraph, [91.0, 1437.0, 551.0, 36.0], shoonya_2sQSMLXFAQSM4K, 6491722]
[paragraph, [91.0, 1473.0, 551.0, 36.0], shoonya_2sQSMLXFAQSM4K, 6491722]
[paragraph, [91.0, 1509.0, 551.0, 36.0], shoonya_2sQSMLXFAQSM4K, 6491722]
[paragraph, [91.0, 1545.0, 551.0, 36.0], shoonya_2sQSMLXFAQSM4K, 6491722]
[paragraph, [91.0, 1581.0, 551.0, 36.0], shoonya_2sQSMLXFAQSM4K, 6491722]
[paragraph, [91.0, 1617.0, 551.0, 36.0], shoonya_2sQSMLXFAQSM4K, 6491722]
[paragraph, [91.0, 1653.0, 551.0, 36.0], shoonya_2sQSMLXFAQSM4K, 6491722]
[paragraph, [91.0, 1689.0, 551.0, 36.0], shoonya_2sQSMLXFAQSM4K, 6491722]
[paragraph, [91.0, 1725.0, 551.0, 36.0], shoonya_2sQSMLXFAQSM4K, 6491722]
[paragraph, [726.0, 1410.0, 552.0, 36.0], shoonya_1sF3AN9WTN89A5, 6491722]
[paragraph, [726.0, 1446.0, 552.0, 36.0], shoonya_1sF3AN9WTN89A5, 6491722]
[paragraph, [726.0, 1482.0, 552.0, 36.0], shoonya_1sF3AN9WTN89A5, 6491722]
[paragraph, [726.0, 1518.0, 552.0, 36.0], shoonya_1sF3AN9WTN89A5, 6491722]
[paragraph, [726.0, 1554.0, 552.0, 36.0], shoonya_1sF3AN9WTN89A5, 6491722]
[paragraph, [726.0, 1590.0, 552.0, 36.0], shoonya_1sF3AN9WTN89A5, 6491722]
[paragraph, [726.0, 1626.0, 552.0, 36.0], shoonya_1sF3AN9WTN89A5, 6491722]
[paragraph, [726.0, 1662.0, 552.0, 36.0], shoonya_1sF3AN9WTN89A5, 6491722]
[paragraph, [726.0, 1698.0, 552.0, 36.0], shoonya_1sF3AN9WTN89A5, 6491722]
[paragraph, [726.0, 1734.0, 552.0, 36.0], shoonya_1sF3AN9WTN89A5, 6491722]
[folio, [84.0, 1853.0, 91.0, 36.0], shoonya_6sNEBULMVALT01, 6491722]
