[789, 571]
[folio, [247.0, 50.0, 74.0, 18.0], shoonya_1s44COLRDDKGY1, 5702399]
[paragraph, [56.0, 87.0, 458.0, 18.0], ILmaWUjZvF, 5702399]
[paragraph, [56.0, 105.0, 458.0, 18.0], ILmaWUjZvF, 5702399]
[paragraph, [56.0, 123.0, 458.0, 18.0], ILmaWUjZvF, 5702399]
[paragraph, [56.0, 141.0, 458.0, 18.0], ILmaWUjZvF, 5702399]
[paragraph, [56.0, 159.0, 458.0, 18.0], ILmaWUjZvF, 5702399]
[paragraph, [60.0, 181.0, 454.0, 18.0], shoonya_0sFIDVWPFI0T4Y, 5702399]
[paragraph, [60.0, 199.0, 454.0, 18.0], shoonya_0sFIDVWPFI0T4Y, 5702399]
[paragraph, [60.0, 217.0, 454.0, 18.0], shoonya_0sFIDVWPFI0T4Y, 5702399]
[paragraph, [60.0, 235.0, 454.0, 18.0], shoonya_0sFIDVWPFI0T4Y, 5702399]
[paragraph, [60.0, 253.0, 454.0, 18.0], shoonya_0sFIDVWPFI0T4Y, 5702399]
[paragraph, [60.0, 271.0, 454.0, 18.0], shoonya_0sFIDVWPFI0T4Y, 5702399]
[paragraph, [60.0, 289.0, 454.0, 18.0], shoonya_0sFIDVWPFI0T4Y, 5702399]
[paragraph, [60.0, 307.0, 454.0, 18.0], shoonya_0sFIDVWPFI0T4Y, 5702399]
[paragraph, [60.0, 325.0, 454.0, 18.0], shoonya_0sFIDVWPFI0T4Y, 5702399]
[paragraph, [60.0, 343.0, 454.0, 18.0], shoonya_0sFIDVWPFI0T4Y, 5702399]
[paragraph, [60.0, 361.0, 454.0, 18.0], shoonya_0sFIDVWPFI0T4Y, 5702399]
[paragraph, [60.0, 379.0, 454.0, 18.0], shoonya_0sFIDVWPFI0T4Y, 5702399]
[paragraph, [60.0, 397.0, 454.0, 18.0], shoonya_0sFIDVWPFI0T4Y, 5702399]
[paragraph, [60.0, 415.0, 454.0, 18.0], shoonya_0sFIDVWPFI0T4Y, 5702399]
[paragraph, [60.0, 433.0, 454.0, 18.0], shoonya_0sFIDVWPFI0T4Y, 5702399]
[paragraph, [60.0, 451.0, 454.0, 18.0], shoonya_0sFIDVWPFI0T4Y, 5702399]
[paragraph, [60.0, 469.0, 454.0, 18.0], shoonya_0sFIDVWPFI0T4Y, 5702399]
[paragraph, [60.0, 487.0, 454.0, 18.0], shoonya_0sFIDVWPFI0T4Y, 5702399]
[paragraph, [60.0, 505.0, 454.0, 18.0], shoonya_0sFIDVWPFI0T4Y, 5702399]
[paragraph, [60.0, 523.0, 454.0, 18.0], shoonya_0sFIDVWPFI0T4Y, 5702399]
[paragraph, [60.0, 541.0, 454.0, 18.0], shoonya_0sFIDVWPFI0T4Y, 5702399]
[paragraph, [60.0, 559.0, 454.0, 18.0], shoonya_0sFIDVWPFI0T4Y, 5702399]
[paragraph, [60.0, 577.0, 454.0, 18.0], shoonya_0sFIDVWPFI0T4Y, 5702399]
[paragraph, [60.0, 595.0, 454.0, 18.0], shoonya_0sFIDVWPFI0T4Y, 5702399]
[paragraph, [60.0, 613.0, 454.0, 18.0], shoonya_0sFIDVWPFI0T4Y, 5702399]
[paragraph, [60.0, 631.0, 454.0, 18.0], shoonya_0sFIDVWPFI0T4Y, 5702399]
[paragraph, [60.0, 649.0, 454.0, 18.0], shoonya_0sFIDVWPFI0T4Y, 5702399]
[paragraph, [60.0, 667.0, 454.0, 18.0], shoonya_0sFIDVWPFI0T4Y, 5702399]
[paragraph, [60.0, 685.0, 454.0, 18.0], shoonya_0sFIDVWPFI0T4Y, 5702399]
