[792, 612]
[section-title, [167.0, 162.0, 138.0, 30.0], fF0bSsZe6t, 6517206]
[paragraph, [170.0, 217.0, 304.0, 18.0], -Z0jxvD7UA, 6517206]
[paragraph, [170.0, 235.0, 304.0, 18.0], -Z0jxvD7UA, 6517206]
[paragraph, [170.0, 253.0, 304.0, 18.0], -Z0jxvD7UA, 6517206]
[paragraph, [167.0, 286.0, 305.0, 18.0], CwVF0_NFmV, 6517206]
[paragraph, [167.0, 304.0, 305.0, 18.0], CwVF0_NFmV, 6517206]
[paragraph, [167.0, 322.0, 305.0, 18.0], CwVF0_NFmV, 6517206]
[paragraph, [167.0, 340.0, 305.0, 18.0], CwVF0_NFmV, 6517206]
[paragraph, [167.0, 358.0, 305.0, 18.0], CwVF0_NFmV, 6517206]
[paragraph, [175.0, 387.0, 294.0, 18.0], oL87m7fSI6, 6517206]
[paragraph, [175.0, 405.0, 294.0, 18.0], oL87m7fSI6, 6517206]
[paragraph, [175.0, 423.0, 294.0, 18.0], oL87m7fSI6, 6517206]
[paragraph, [175.0, 441.0, 294.0, 18.0], oL87m7fSI6, 6517206]
[paragraph, [175.0, 459.0, 294.0, 18.0], oL87m7fSI6, 6517206]
[paragraph, [175.0, 477.0, 294.0, 18.0], oL87m7fSI6, 6517206]
[paragraph, [175.0, 495.0, 294.0, 18.0], oL87m7fSI6, 6517206]
