[1601, 1128]
[paragraph, [73.0, 158.0, 467.0, 36.0], shoonya_1s1TQ29GLNKK26, 6472428]
[paragraph, [73.0, 194.0, 467.0, 36.0], shoonya_1s1TQ29GLNKK26, 6472428]
[paragraph, [73.0, 230.0, 467.0, 36.0], shoonya_1s1TQ29GLNKK26, 6472428]
[paragraph, [73.0, 266.0, 467.0, 36.0], shoonya_1s1TQ29GLNKK26, 6472428]
[paragraph, [73.0, 302.0, 467.0, 36.0], shoonya_1s1TQ29GLNKK26, 6472428]
[paragraph, [73.0, 338.0, 467.0, 36.0], shoonya_1s1TQ29GLNKK26, 6472428]
[paragraph, [73.0, 374.0, 467.0, 36.0], shoonya_1s1TQ29GLNKK26, 6472428]
[paragraph, [73.0, 410.0, 467.0, 36.0], shoonya_1s1TQ29GLNKK26, 6472428]
[paragraph, [73.0, 446.0, 467.0, 36.0], shoonya_1s1TQ29GLNKK26, 6472428]
[paragraph, [73.0, 482.0, 467.0, 36.0], shoonya_1s1TQ29GLNKK26, 6472428]
[paragraph, [73.0, 518.0, 467.0, 36.0], shoonya_1s1TQ29GLNKK26, 6472428]
[paragraph, [73.0, 554.0, 467.0, 36.0], shoonya_1s1TQ29GLNKK26, 6472428]
[paragraph, [73.0, 590.0, 467.0, 36.0], shoonya_1s1TQ29GLNKK26, 6472428]
[paragraph, [73.0, 626.0, 467.0, 36.0], shoonya_1s1TQ29GLNKK26, 6472428]
[paragraph, [568.0, 161.0, 473.0, 36.0], shoonya_4s88TQQCPEMASC, 6472428]
[paragraph, [568.0, 197.0, 473.0, 36.0], shoonya_4s88TQQCPEMASC, 6472428]
[paragraph, [568.0, 233.0, 473.0, 36.0], shoonya_4s88TQQCPEMASC, 6472428]
[paragraph, [568.0, 269.0, 473.0, 36.0], shoonya_4s88TQQCPEMASC, 6472428]
[paragraph, [568.0, 305.0, 473.0, 36.0], shoonya_4s88TQQCPEMASC, 6472428]
[paragraph, [568.0, 341.0, 473.0, 36.0], shoonya_4s88TQQCPEMASC, 6472428]
[paragraph, [568.0, 377.0, 473.0, 36.0], shoonya_4s88TQQCPEMASC, 6472428]
[paragraph, [568.0, 413.0, 473.0, 36.0], shoonya_4s88TQQCPEMASC, 6472428]
[paragraph, [567.0, 462.0, 471.0, 36.0], shoonya_2sJPU0TGLQ7UR5, 6472428]
[paragraph, [567.0, 498.0, 471.0, 36.0], shoonya_2sJPU0TGLQ7UR5, 6472428]
[paragraph, [567.0, 534.0, 471.0, 36.0], shoonya_2sJPU0TGLQ7UR5, 6472428]
[paragraph, [567.0, 570.0, 471.0, 36.0], shoonya_2sJPU0TGLQ7UR5, 6472428]
[paragraph, [567.0, 606.0, 471.0, 36.0], shoonya_2sJPU0TGLQ7UR5, 6472428]
[paragraph, [567.0, 642.0, 471.0, 36.0], shoonya_2sJPU0TGLQ7UR5, 6472428]
[paragraph, [567.0, 678.0, 471.0, 36.0], shoonya_2sJPU0TGLQ7UR5, 6472428]
[paragraph, [567.0, 714.0, 471.0, 36.0], shoonya_2sJPU0TGLQ7UR5, 6472428]
[paragraph, [567.0, 750.0, 471.0, 36.0], shoonya_2sJPU0TGLQ7UR5, 6472428]
[paragraph, [65.0, 683.0, 476.0, 36.0], shoonya_0sCPR1X2V2P94J, 6472428]
[paragraph, [65.0, 719.0, 476.0, 36.0], shoonya_0sCPR1X2V2P94J, 6472428]
[paragraph, [65.0, 755.0, 476.0, 36.0], shoonya_0sCPR1X2V2P94J, 6472428]
[paragraph, [65.0, 791.0, 476.0, 36.0], shoonya_0sCPR1X2V2P94J, 6472428]
[paragraph, [65.0, 827.0, 476.0, 36.0], shoonya_0sCPR1X2V2P94J, 6472428]
[paragraph, [65.0, 863.0, 476.0, 36.0], shoonya_0sCPR1X2V2P94J, 6472428]
[paragraph, [65.0, 899.0, 476.0, 36.0], shoonya_0sCPR1X2V2P94J, 6472428]
[paragraph, [568.0, 816.0, 469.0, 36.0], vsXockvXed, 6472428]
[paragraph, [568.0, 852.0, 469.0, 36.0], vsXockvXed, 6472428]
[paragraph, [568.0, 888.0, 469.0, 36.0], vsXockvXed, 6472428]
[paragraph, [568.0, 924.0, 469.0, 36.0], vsXockvXed, 6472428]
[paragraph, [71.0, 939.0, 469.0, 36.0], shoonya_3sCBGPSZMSO4FL, 6472428]
[paragraph, [71.0, 975.0, 469.0, 36.0], shoonya_3sCBGPSZMSO4FL, 6472428]
