[1578, 1028]
[paragraph, [139.0, 0.0, 869.0, 36.0], shoonya_3sXD8Y37RHF2HV, 5749292]
[paragraph, [139.0, 36.0, 869.0, 36.0], shoonya_3sXD8Y37RHF2HV, 5749292]
[paragraph, [139.0, 72.0, 869.0, 36.0], shoonya_3sXD8Y37RHF2HV, 5749292]
[paragraph, [139.0, 108.0, 869.0, 36.0], shoonya_3sXD8Y37RHF2HV, 5749292]
[paragraph, [139.0, 144.0, 869.0, 36.0], shoonya_3sXD8Y37RHF2HV, 5749292]
[paragraph, [138.0, 188.0, 871.0, 36.0], shoonya_0sDVEBQA5FRZFM, 5749292]
[paragraph, [138.0, 224.0, 871.0, 36.0], shoonya_0sDVEBQA5FRZFM, 5749292]
[paragraph, [138.0, 260.0, 871.0, 36.0], shoonya_0sDVEBQA5FRZFM, 5749292]
[paragraph, [138.0, 296.0, 871.0, 36.0], shoonya_0sDVEBQA5FRZFM, 5749292]
[paragraph, [138.0, 332.0, 871.0, 36.0], shoonya_0sDVEBQA5FRZFM, 5749292]
[paragraph, [138.0, 368.0, 871.0, 36.0], shoonya_0sDVEBQA5FRZFM, 5749292]
[paragraph, [138.0, 404.0, 871.0, 36.0], shoonya_0sDVEBQA5FRZFM, 5749292]
[paragraph, [138.0, 440.0, 871.0, 36.0], shoonya_0sDVEBQA5FRZFM, 5749292]
[paragraph, [138.0, 476.0, 871.0, 36.0], shoonya_0sDVEBQA5FRZFM, 5749292]
[paragraph, [138.0, 512.0, 871.0, 36.0], shoonya_0sDVEBQA5FRZFM, 5749292]
[paragraph, [138.0, 548.0, 871.0, 36.0], shoonya_0sDVEBQA5FRZFM, 5749292]
[paragraph, [138.0, 584.0, 871.0, 36.0], shoonya_0sDVEBQA5FRZFM, 5749292]
[paragraph, [138.0, 620.0, 871.0, 36.0], shoonya_0sDVEBQA5FRZFM, 5749292]
[paragraph, [138.0, 656.0, 871.0, 36.0], shoonya_0sDVEBQA5FRZFM, 5749292]
[paragraph, [138.0, 709.0, 869.0, 36.0], shoonya_2sWR9ROL1LOUCL, 5749292]
[paragraph, [138.0, 745.0, 869.0, 36.0], shoonya_2sWR9ROL1LOUCL, 5749292]
[paragraph, [138.0, 781.0, 869.0, 36.0], shoonya_2sWR9ROL1LOUCL, 5749292]
[paragraph, [138.0, 817.0, 869.0, 36.0], shoonya_2sWR9ROL1LOUCL, 5749292]
[paragraph, [138.0, 853.0, 869.0, 36.0], shoonya_2sWR9ROL1LOUCL, 5749292]
[paragraph, [138.0, 889.0, 869.0, 36.0], shoonya_2sWR9ROL1LOUCL, 5749292]
[paragraph, [138.0, 925.0, 869.0, 36.0], shoonya_2sWR9ROL1LOUCL, 5749292]
[paragraph, [135.0, 981.0, 870.0, 36.0], shoonya_1sRIXYNG1K350W, 5749292]
[paragraph, [135.0, 1017.0, 870.0, 36.0], shoonya_1sRIXYNG1K350W, 5749292]
[paragraph, [135.0, 1053.0, 870.0, 36.0], shoonya_1sRIXYNG1K350W, 5749292]
[paragraph, [135.0, 1089.0, 870.0, 36.0], shoonya_1sRIXYNG1K350W, 5749292]
[paragraph, [135.0, 1125.0, 870.0, 36.0], shoonya_1sRIXYNG1K350W, 5749292]
[paragraph, [135.0, 1161.0, 870.0, 36.0], shoonya_1sRIXYNG1K350W, 5749292]
[paragraph, [135.0, 1197.0, 870.0, 36.0], shoonya_1sRIXYNG1K350W, 5749292]
[paragraph, [135.0, 1233.0, 870.0, 36.0], shoonya_1sRIXYNG1K350W, 5749292]
[paragraph, [135.0, 1269.0, 870.0, 36.0], shoonya_1sRIXYNG1K350W, 5749292]
[paragraph, [135.0, 1305.0, 870.0, 36.0], shoonya_1sRIXYNG1K350W, 5749292]
[paragraph, [135.0, 1341.0, 870.0, 36.0], shoonya_1sRIXYNG1K350W, 5749292]
[paragraph, [135.0, 1377.0, 870.0, 36.0], shoonya_1sRIXYNG1K350W, 5749292]
