[1728, 1123]
[headline, [301.0, 294.0, 360.0, 37.5], shoonya_5sW5KQPRFFI4EK, 5752326]
[paragraph, [87.0, 375.0, 791.0, 36.0], shoonya_0sFTDA8K6RA2J0, 5752326]
[paragraph, [87.0, 411.0, 791.0, 36.0], shoonya_0sFTDA8K6RA2J0, 5752326]
[paragraph, [87.0, 447.0, 791.0, 36.0], shoonya_0sFTDA8K6RA2J0, 5752326]
[paragraph, [87.0, 483.0, 791.0, 36.0], shoonya_0sFTDA8K6RA2J0, 5752326]
[paragraph, [87.0, 519.0, 791.0, 36.0], shoonya_0sFTDA8K6RA2J0, 5752326]
[paragraph, [87.0, 555.0, 791.0, 36.0], shoonya_0sFTDA8K6RA2J0, 5752326]
[paragraph, [87.0, 591.0, 791.0, 36.0], shoonya_0sFTDA8K6RA2J0, 5752326]
[paragraph, [87.0, 627.0, 791.0, 36.0], shoonya_0sFTDA8K6RA2J0, 5752326]
[paragraph, [87.0, 663.0, 791.0, 36.0], shoonya_0sFTDA8K6RA2J0, 5752326]
[paragraph, [87.0, 699.0, 791.0, 36.0], shoonya_0sFTDA8K6RA2J0, 5752326]
[paragraph, [87.0, 735.0, 791.0, 36.0], shoonya_0sFTDA8K6RA2J0, 5752326]
[paragraph, [93.0, 786.0, 786.0, 36.0], shoonya_2sFOBOMI9F5B0I, 5752326]
[paragraph, [93.0, 822.0, 786.0, 36.0], shoonya_2sFOBOMI9F5B0I, 5752326]
[paragraph, [93.0, 858.0, 786.0, 36.0], shoonya_2sFOBOMI9F5B0I, 5752326]
[paragraph, [93.0, 894.0, 786.0, 36.0], shoonya_2sFOBOMI9F5B0I, 5752326]
[paragraph, [93.0, 930.0, 786.0, 36.0], shoonya_2sFOBOMI9F5B0I, 5752326]
[paragraph, [93.0, 966.0, 786.0, 36.0], shoonya_2sFOBOMI9F5B0I, 5752326]
[paragraph, [92.0, 1026.0, 786.0, 36.0], shoonya_1sVLA0CD2G1YKC, 5752326]
[paragraph, [92.0, 1062.0, 786.0, 36.0], shoonya_1sVLA0CD2G1YKC, 5752326]
[paragraph, [92.0, 1098.0, 786.0, 36.0], shoonya_1sVLA0CD2G1YKC, 5752326]
[paragraph, [92.0, 1134.0, 786.0, 36.0], shoonya_1sVLA0CD2G1YKC, 5752326]
[paragraph, [92.0, 1170.0, 786.0, 36.0], shoonya_1sVLA0CD2G1YKC, 5752326]
[paragraph, [92.0, 1206.0, 786.0, 36.0], shoonya_1sVLA0CD2G1YKC, 5752326]
[paragraph, [90.0, 1268.0, 783.0, 36.0], shoonya_3sBIFCWR4IHDJU, 5752326]
[paragraph, [90.0, 1304.0, 783.0, 36.0], shoonya_3sBIFCWR4IHDJU, 5752326]
[paragraph, [90.0, 1340.0, 783.0, 36.0], shoonya_3sBIFCWR4IHDJU, 5752326]
[paragraph, [90.0, 1376.0, 783.0, 36.0], shoonya_3sBIFCWR4IHDJU, 5752326]
[paragraph, [90.0, 1412.0, 783.0, 36.0], shoonya_3sBIFCWR4IHDJU, 5752326]
[paragraph, [90.0, 1448.0, 783.0, 36.0], shoonya_3sBIFCWR4IHDJU, 5752326]
[paragraph, [90.0, 1484.0, 783.0, 36.0], shoonya_3sBIFCWR4IHDJU, 5752326]
