[1650, 1275]
[section-title, [192.0, 143.0, 146.0, 49.5], qFV7hkWLYp, 5775182]
[paragraph, [146.0, 214.0, 964.0, 36.0], shoonya_11sJX52WAIRQ4H, 5775182]
[paragraph, [146.0, 250.0, 964.0, 36.0], shoonya_11sJX52WAIRQ4H, 5775182]
[paragraph, [138.0, 420.0, 886.0, 36.0], _o7DVAh9LI, 5775182]
[paragraph, [141.0, 481.0, 905.0, 36.0], giZjuqRsHD, 5775182]
[paragraph, [138.0, 543.0, 975.0, 36.0], goJqStHSlZ, 5775182]
[paragraph, [144.0, 599.0, 982.0, 36.0], shoonya_13sBB9RD0SFZFK, 5775182]
[paragraph, [144.0, 635.0, 982.0, 36.0], shoonya_13sBB9RD0SFZFK, 5775182]
[paragraph, [143.0, 754.0, 968.0, 36.0], COfdWAuwTP, 5775182]
[paragraph, [143.0, 790.0, 968.0, 36.0], COfdWAuwTP, 5775182]
[ordered-list, [122.0, 967.0, 1022.0, 36.0], x4pOb4IYdg, 5775182]
[ordered-list, [122.0, 1003.0, 1022.0, 36.0], x4pOb4IYdg, 5775182]
[ordered-list, [122.0, 1039.0, 1022.0, 36.0], x4pOb4IYdg, 5775182]
[ordered-list, [122.0, 1075.0, 1022.0, 36.0], x4pOb4IYdg, 5775182]
[ordered-list, [122.0, 1111.0, 1022.0, 36.0], x4pOb4IYdg, 5775182]
[ordered-list, [122.0, 1147.0, 1022.0, 36.0], x4pOb4IYdg, 5775182]
[ordered-list, [122.0, 1183.0, 1022.0, 36.0], x4pOb4IYdg, 5775182]
[ordered-list, [122.0, 1219.0, 1022.0, 36.0], x4pOb4IYdg, 5775182]
[ordered-list, [122.0, 1255.0, 1022.0, 36.0], x4pOb4IYdg, 5775182]
[ordered-list, [122.0, 1291.0, 1022.0, 36.0], x4pOb4IYdg, 5775182]
[ordered-list, [122.0, 1327.0, 1022.0, 36.0], x4pOb4IYdg, 5775182]
[ordered-list, [122.0, 1363.0, 1022.0, 36.0], x4pOb4IYdg, 5775182]
[ordered-list, [122.0, 1399.0, 1022.0, 36.0], x4pOb4IYdg, 5775182]
[ordered-list, [122.0, 1435.0, 1022.0, 36.0], x4pOb4IYdg, 5775182]
[ordered-list, [122.0, 1471.0, 1022.0, 36.0], x4pOb4IYdg, 5775182]
[sub-unordered-list, [158.0, 1018.0, 959.0, 18.0], shoonya_0sMK4C90NTFE7R, 5775182]
[sub-unordered-list, [158.0, 1036.0, 959.0, 18.0], shoonya_0sMK4C90NTFE7R, 5775182]
[sub-unordered-list, [158.0, 1054.0, 959.0, 18.0], shoonya_0sMK4C90NTFE7R, 5775182]
[sub-unordered-list, [158.0, 1072.0, 959.0, 18.0], shoonya_0sMK4C90NTFE7R, 5775182]
[sub-unordered-list, [158.0, 1090.0, 959.0, 18.0], shoonya_0sMK4C90NTFE7R, 5775182]
[sub-unordered-list, [158.0, 1108.0, 959.0, 18.0], shoonya_0sMK4C90NTFE7R, 5775182]
[sub-unordered-list, [158.0, 1126.0, 959.0, 18.0], shoonya_0sMK4C90NTFE7R, 5775182]
[sub-unordered-list, [158.0, 1144.0, 959.0, 18.0], shoonya_0sMK4C90NTFE7R, 5775182]
[sub-unordered-list, [161.0, 1225.0, 958.0, 18.0], shoonya_2sMFRVO8E1P7GZ, 5775182]
[sub-unordered-list, [161.0, 1243.0, 958.0, 18.0], shoonya_2sMFRVO8E1P7GZ, 5775182]
[sub-unordered-list, [161.0, 1261.0, 958.0, 18.0], shoonya_2sMFRVO8E1P7GZ, 5775182]
[sub-unordered-list, [161.0, 1279.0, 958.0, 18.0], shoonya_2sMFRVO8E1P7GZ, 5775182]
[sub-unordered-list, [161.0, 1297.0, 958.0, 18.0], shoonya_2sMFRVO8E1P7GZ, 5775182]
[sub-unordered-list, [161.0, 1315.0, 958.0, 18.0], shoonya_2sMFRVO8E1P7GZ, 5775182]
[sub-unordered-list, [161.0, 1390.0, 939.0, 18.0], shoonya_1sRENQUYVF70VL, 5775182]
[sub-unordered-list, [161.0, 1408.0, 939.0, 18.0], shoonya_1sRENQUYVF70VL, 5775182]
[sub-unordered-list, [161.0, 1426.0, 939.0, 18.0], shoonya_1sRENQUYVF70VL, 5775182]
[sub-unordered-list, [161.0, 1444.0, 939.0, 18.0], shoonya_1sRENQUYVF70VL, 5775182]
[sub-unordered-list, [161.0, 1462.0, 939.0, 18.0], shoonya_1sRENQUYVF70VL, 5775182]
[sub-unordered-list, [161.0, 1480.0, 939.0, 18.0], shoonya_1sRENQUYVF70VL, 5775182]
[website-link, [424.0, 1579.0, 237.0, 18.0], ghkQqL03yK, 5775182]
