[1818, 1374]
[folio, [564.0, 151.0, 214.0, 36.0], 3LO77P_Q7U, 5683329]
[paragraph, [99.0, 215.0, 564.0, 36.0], sCO8OK9ni5, 5683329]
[paragraph, [99.0, 251.0, 564.0, 36.0], sCO8OK9ni5, 5683329]
[paragraph, [99.0, 287.0, 564.0, 36.0], sCO8OK9ni5, 5683329]
[paragraph, [683.0, 215.0, 561.0, 36.0], P7nyPaRtxz, 5683329]
[paragraph, [683.0, 251.0, 561.0, 36.0], P7nyPaRtxz, 5683329]
[paragraph, [683.0, 301.0, 560.0, 36.0], BWCC9QyIuM, 5683329]
[paragraph, [683.0, 337.0, 560.0, 36.0], BWCC9QyIuM, 5683329]
[paragraph, [101.0, 341.0, 562.0, 36.0], 6ap-W-sEja, 5683329]
[paragraph, [101.0, 377.0, 562.0, 36.0], 6ap-W-sEja, 5683329]
[paragraph, [727.0, 385.0, 180.0, 36.0], 3Hm8wDS4YI, 5683329]
[paragraph, [145.0, 427.0, 185.0, 36.0], C81tO31zzp, 5683329]
[paragraph, [687.0, 427.0, 558.0, 36.0], D1PzRXyoNV, 5683329]
[paragraph, [687.0, 463.0, 558.0, 36.0], D1PzRXyoNV, 5683329]
[paragraph, [687.0, 499.0, 558.0, 36.0], D1PzRXyoNV, 5683329]
[paragraph, [687.0, 535.0, 558.0, 36.0], D1PzRXyoNV, 5683329]
[paragraph, [687.0, 571.0, 558.0, 36.0], D1PzRXyoNV, 5683329]
[paragraph, [687.0, 607.0, 558.0, 36.0], D1PzRXyoNV, 5683329]
[paragraph, [687.0, 643.0, 558.0, 36.0], D1PzRXyoNV, 5683329]
[paragraph, [687.0, 679.0, 558.0, 36.0], D1PzRXyoNV, 5683329]
[paragraph, [687.0, 715.0, 558.0, 36.0], D1PzRXyoNV, 5683329]
[paragraph, [687.0, 751.0, 558.0, 36.0], D1PzRXyoNV, 5683329]
[paragraph, [103.0, 468.0, 564.0, 36.0], o3yJJabdT5, 5683329]
[paragraph, [103.0, 504.0, 564.0, 36.0], o3yJJabdT5, 5683329]
[paragraph, [103.0, 540.0, 564.0, 36.0], o3yJJabdT5, 5683329]
[paragraph, [103.0, 576.0, 564.0, 36.0], o3yJJabdT5, 5683329]
[paragraph, [103.0, 612.0, 564.0, 36.0], o3yJJabdT5, 5683329]
[paragraph, [103.0, 648.0, 564.0, 36.0], o3yJJabdT5, 5683329]
[paragraph, [103.0, 684.0, 564.0, 36.0], o3yJJabdT5, 5683329]
[paragraph, [103.0, 720.0, 564.0, 36.0], o3yJJabdT5, 5683329]
[paragraph, [103.0, 756.0, 564.0, 36.0], o3yJJabdT5, 5683329]
[paragraph, [103.0, 792.0, 564.0, 36.0], o3yJJabdT5, 5683329]
[paragraph, [103.0, 828.0, 564.0, 36.0], o3yJJabdT5, 5683329]
[paragraph, [730.0, 844.0, 377.0, 36.0], lsdg-5BSgL, 5683329]
[paragraph, [109.0, 887.0, 563.0, 36.0], shoonya_0s50XKB9ZXOHGD, 5683329]
[paragraph, [109.0, 923.0, 563.0, 36.0], shoonya_0s50XKB9ZXOHGD, 5683329]
[paragraph, [109.0, 959.0, 563.0, 36.0], shoonya_0s50XKB9ZXOHGD, 5683329]
[paragraph, [109.0, 995.0, 563.0, 36.0], shoonya_0s50XKB9ZXOHGD, 5683329]
[paragraph, [109.0, 1031.0, 563.0, 36.0], shoonya_0s50XKB9ZXOHGD, 5683329]
[paragraph, [109.0, 1067.0, 563.0, 36.0], shoonya_0s50XKB9ZXOHGD, 5683329]
[paragraph, [109.0, 1103.0, 563.0, 36.0], shoonya_0s50XKB9ZXOHGD, 5683329]
[paragraph, [109.0, 1139.0, 563.0, 36.0], shoonya_0s50XKB9ZXOHGD, 5683329]
[paragraph, [109.0, 1175.0, 563.0, 36.0], shoonya_0s50XKB9ZXOHGD, 5683329]
[paragraph, [109.0, 1211.0, 563.0, 36.0], shoonya_0s50XKB9ZXOHGD, 5683329]
[paragraph, [109.0, 1247.0, 563.0, 36.0], shoonya_0s50XKB9ZXOHGD, 5683329]
[paragraph, [109.0, 1283.0, 563.0, 36.0], shoonya_0s50XKB9ZXOHGD, 5683329]
[paragraph, [728.0, 926.0, 158.0, 36.0], xRMV0FjZoA, 5683329]
[paragraph, [727.0, 967.0, 243.0, 36.0], I_gE5d-l-A, 5683329]
[paragraph, [727.0, 1009.0, 228.0, 36.0], jx7FvFDJPo, 5683329]
[paragraph, [692.0, 1049.0, 562.0, 36.0], vdKEUzrNBf, 5683329]
[paragraph, [692.0, 1085.0, 562.0, 36.0], vdKEUzrNBf, 5683329]
[paragraph, [732.0, 1135.0, 185.0, 36.0], -6B7zuewGF, 5683329]
[paragraph, [693.0, 1178.0, 563.0, 36.0], EYuYx50OWC, 5683329]
[paragraph, [693.0, 1214.0, 563.0, 36.0], EYuYx50OWC, 5683329]
[paragraph, [693.0, 1250.0, 563.0, 36.0], EYuYx50OWC, 5683329]
[paragraph, [693.0, 1286.0, 563.0, 36.0], EYuYx50OWC, 5683329]
[paragraph, [693.0, 1322.0, 563.0, 36.0], EYuYx50OWC, 5683329]
[paragraph, [693.0, 1358.0, 563.0, 36.0], EYuYx50OWC, 5683329]
[paragraph, [693.0, 1394.0, 563.0, 36.0], EYuYx50OWC, 5683329]
[paragraph, [109.0, 1462.0, 559.0, 36.0], shoonya_1sNYHODCUD6O91, 5683329]
[paragraph, [109.0, 1498.0, 559.0, 36.0], shoonya_1sNYHODCUD6O91, 5683329]
[paragraph, [109.0, 1534.0, 559.0, 36.0], shoonya_1sNYHODCUD6O91, 5683329]
[paragraph, [109.0, 1570.0, 559.0, 36.0], shoonya_1sNYHODCUD6O91, 5683329]
[paragraph, [109.0, 1606.0, 559.0, 36.0], shoonya_1sNYHODCUD6O91, 5683329]
[paragraph, [109.0, 1642.0, 559.0, 36.0], shoonya_1sNYHODCUD6O91, 5683329]
[paragraph, [109.0, 1678.0, 559.0, 36.0], shoonya_1sNYHODCUD6O91, 5683329]
[paragraph, [732.0, 1468.0, 380.0, 36.0], c9HdF1bkCs, 5683329]
[paragraph, [692.0, 1511.0, 572.0, 36.0], cGRf7yqQKJ, 5683329]
[paragraph, [692.0, 1547.0, 572.0, 36.0], cGRf7yqQKJ, 5683329]
[paragraph, [692.0, 1583.0, 572.0, 36.0], cGRf7yqQKJ, 5683329]
[paragraph, [692.0, 1619.0, 572.0, 36.0], cGRf7yqQKJ, 5683329]
[paragraph, [692.0, 1655.0, 572.0, 36.0], cGRf7yqQKJ, 5683329]
[paragraph, [692.0, 1691.0, 572.0, 36.0], cGRf7yqQKJ, 5683329]
