[595, 454]
[chapter-title, [252.0, 128.0, 152.0, 30.0], 74EDcmuwUp, 6460418]
[paragraph, [3.0, 188.0, 199.0, 18.0], sT8j76T17d, 6460418]
[paragraph, [3.0, 206.0, 199.0, 18.0], sT8j76T17d, 6460418]
[paragraph, [3.0, 224.0, 199.0, 18.0], sT8j76T17d, 6460418]
[paragraph, [3.0, 242.0, 199.0, 18.0], sT8j76T17d, 6460418]
[paragraph, [3.0, 260.0, 199.0, 18.0], sT8j76T17d, 6460418]
[paragraph, [3.0, 278.0, 199.0, 18.0], sT8j76T17d, 6460418]
[paragraph, [3.0, 296.0, 199.0, 18.0], sT8j76T17d, 6460418]
[paragraph, [203.0, 188.0, 203.0, 18.0], r6Tsn8kr9h, 6460418]
[paragraph, [203.0, 206.0, 203.0, 18.0], r6Tsn8kr9h, 6460418]
[paragraph, [203.0, 224.0, 203.0, 18.0], r6Tsn8kr9h, 6460418]
[paragraph, [203.0, 242.0, 203.0, 18.0], r6Tsn8kr9h, 6460418]
[paragraph, [203.0, 260.0, 203.0, 18.0], r6Tsn8kr9h, 6460418]
[paragraph, [203.0, 286.0, 205.0, 18.0], awDuHyqLt5, 6460418]
[paragraph, [203.0, 304.0, 205.0, 18.0], awDuHyqLt5, 6460418]
[paragraph, [203.0, 322.0, 205.0, 18.0], awDuHyqLt5, 6460418]
[paragraph, [203.0, 340.0, 205.0, 18.0], awDuHyqLt5, 6460418]
[paragraph, [203.0, 358.0, 205.0, 18.0], awDuHyqLt5, 6460418]
[paragraph, [203.0, 376.0, 205.0, 18.0], awDuHyqLt5, 6460418]
[paragraph, [203.0, 394.0, 205.0, 18.0], awDuHyqLt5, 6460418]
[paragraph, [3.0, 325.0, 199.0, 18.0], G0YpA4IoXG, 6460418]
[paragraph, [3.0, 343.0, 199.0, 18.0], G0YpA4IoXG, 6460418]
[paragraph, [3.0, 361.0, 199.0, 18.0], G0YpA4IoXG, 6460418]
[paragraph, [3.0, 379.0, 199.0, 18.0], G0YpA4IoXG, 6460418]
[paragraph, [3.0, 397.0, 199.0, 18.0], G0YpA4IoXG, 6460418]
[paragraph, [3.0, 415.0, 199.0, 18.0], G0YpA4IoXG, 6460418]
[paragraph, [3.0, 433.0, 199.0, 18.0], G0YpA4IoXG, 6460418]
[paragraph, [3.0, 451.0, 199.0, 18.0], G0YpA4IoXG, 6460418]
[paragraph, [204.0, 420.0, 205.0, 18.0], c6OAU_AKX5, 6460418]
[paragraph, [204.0, 438.0, 205.0, 18.0], c6OAU_AKX5, 6460418]
[paragraph, [204.0, 456.0, 205.0, 18.0], c6OAU_AKX5, 6460418]
[paragraph, [204.0, 474.0, 205.0, 18.0], c6OAU_AKX5, 6460418]
[paragraph, [204.0, 492.0, 205.0, 18.0], c6OAU_AKX5, 6460418]
[paragraph, [0.0, 476.0, 205.0, 18.0], qlGUGE9nKV, 6460418]
[paragraph, [0.0, 494.0, 205.0, 18.0], qlGUGE9nKV, 6460418]
