[1650, 934]
[folio, [391.0, 101.0, 143.0, 36.0], ylUd7RJiKd, 5766191]
[ordered-list, [52.0, 162.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
[ordered-list, [52.0, 198.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
[ordered-list, [52.0, 234.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
[ordered-list, [52.0, 270.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
[ordered-list, [52.0, 306.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
[ordered-list, [52.0, 342.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
[ordered-list, [52.0, 378.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
[ordered-list, [52.0, 414.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
[ordered-list, [52.0, 450.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
[ordered-list, [52.0, 486.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
[ordered-list, [52.0, 522.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
[ordered-list, [52.0, 558.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
[ordered-list, [52.0, 594.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
[ordered-list, [52.0, 630.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
[ordered-list, [52.0, 666.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
[ordered-list, [52.0, 702.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
[ordered-list, [52.0, 738.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
[ordered-list, [52.0, 774.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
[ordered-list, [52.0, 810.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
[ordered-list, [52.0, 846.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
[ordered-list, [52.0, 882.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
[ordered-list, [52.0, 918.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
[ordered-list, [52.0, 954.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
[ordered-list, [52.0, 990.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
[ordered-list, [52.0, 1026.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
[ordered-list, [52.0, 1062.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
[ordered-list, [52.0, 1098.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
[ordered-list, [52.0, 1134.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
[ordered-list, [52.0, 1170.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
[ordered-list, [52.0, 1206.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
[ordered-list, [52.0, 1242.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
[ordered-list, [52.0, 1278.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
[ordered-list, [52.0, 1314.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
[ordered-list, [52.0, 1350.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
[ordered-list, [52.0, 1386.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
[ordered-list, [52.0, 1422.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
[ordered-list, [52.0, 1458.0, 820.0, 36.0], 99ylR7vwPt, 5766191]
