[1492, 1000]
[folio, [416.0, 159.0, 202.0, 18.0], shoonya_1sKNQ6694GWWGI, 5720027]
[paragraph, [161.0, 207.0, 722.0, 18.0], shoonya_0sXNY75M1L654G, 5720027]
[paragraph, [161.0, 225.0, 722.0, 18.0], shoonya_0sXNY75M1L654G, 5720027]
[paragraph, [161.0, 243.0, 722.0, 18.0], shoonya_0sXNY75M1L654G, 5720027]
[paragraph, [161.0, 261.0, 722.0, 18.0], shoonya_0sXNY75M1L654G, 5720027]
[paragraph, [161.0, 279.0, 722.0, 18.0], shoonya_0sXNY75M1L654G, 5720027]
[paragraph, [161.0, 297.0, 722.0, 18.0], shoonya_0sXNY75M1L654G, 5720027]
[paragraph, [161.0, 315.0, 722.0, 18.0], shoonya_0sXNY75M1L654G, 5720027]
[paragraph, [161.0, 333.0, 722.0, 18.0], shoonya_0sXNY75M1L654G, 5720027]
[paragraph, [161.0, 351.0, 722.0, 18.0], shoonya_0sXNY75M1L654G, 5720027]
[paragraph, [161.0, 369.0, 722.0, 18.0], shoonya_0sXNY75M1L654G, 5720027]
[paragraph, [161.0, 387.0, 722.0, 18.0], shoonya_0sXNY75M1L654G, 5720027]
[paragraph, [152.0, 412.0, 733.0, 18.0], fAwMShAcKo, 5720027]
[paragraph, [152.0, 430.0, 733.0, 18.0], fAwMShAcKo, 5720027]
[paragraph, [152.0, 448.0, 733.0, 18.0], fAwMShAcKo, 5720027]
[paragraph, [152.0, 466.0, 733.0, 18.0], fAwMShAcKo, 5720027]
[paragraph, [152.0, 484.0, 733.0, 18.0], fAwMShAcKo, 5720027]
[paragraph, [152.0, 502.0, 733.0, 18.0], fAwMShAcKo, 5720027]
[paragraph, [152.0, 520.0, 733.0, 18.0], fAwMShAcKo, 5720027]
[paragraph, [152.0, 538.0, 733.0, 18.0], fAwMShAcKo, 5720027]
[paragraph, [152.0, 556.0, 733.0, 18.0], fAwMShAcKo, 5720027]
[paragraph, [152.0, 574.0, 733.0, 18.0], fAwMShAcKo, 5720027]
[paragraph, [152.0, 592.0, 733.0, 18.0], fAwMShAcKo, 5720027]
[paragraph, [152.0, 610.0, 733.0, 18.0], fAwMShAcKo, 5720027]
[paragraph, [152.0, 628.0, 733.0, 18.0], fAwMShAcKo, 5720027]
[paragraph, [152.0, 646.0, 733.0, 18.0], fAwMShAcKo, 5720027]
[paragraph, [152.0, 664.0, 733.0, 18.0], fAwMShAcKo, 5720027]
[paragraph, [152.0, 682.0, 733.0, 18.0], fAwMShAcKo, 5720027]
[paragraph, [152.0, 700.0, 733.0, 18.0], fAwMShAcKo, 5720027]
[paragraph, [152.0, 718.0, 733.0, 18.0], fAwMShAcKo, 5720027]
[paragraph, [152.0, 736.0, 733.0, 18.0], fAwMShAcKo, 5720027]
[paragraph, [152.0, 754.0, 733.0, 18.0], fAwMShAcKo, 5720027]
[paragraph, [152.0, 772.0, 733.0, 18.0], fAwMShAcKo, 5720027]
[paragraph, [152.0, 790.0, 733.0, 18.0], fAwMShAcKo, 5720027]
[paragraph, [152.0, 808.0, 733.0, 18.0], fAwMShAcKo, 5720027]
[paragraph, [152.0, 826.0, 733.0, 18.0], fAwMShAcKo, 5720027]
[paragraph, [152.0, 844.0, 733.0, 18.0], fAwMShAcKo, 5720027]
[paragraph, [152.0, 862.0, 733.0, 18.0], fAwMShAcKo, 5720027]
[paragraph, [152.0, 880.0, 733.0, 18.0], fAwMShAcKo, 5720027]
[paragraph, [152.0, 898.0, 733.0, 18.0], fAwMShAcKo, 5720027]
[paragraph, [152.0, 916.0, 733.0, 18.0], fAwMShAcKo, 5720027]
[paragraph, [152.0, 934.0, 733.0, 18.0], fAwMShAcKo, 5720027]
[paragraph, [152.0, 952.0, 733.0, 18.0], fAwMShAcKo, 5720027]
[paragraph, [152.0, 970.0, 733.0, 18.0], fAwMShAcKo, 5720027]
[paragraph, [152.0, 988.0, 733.0, 18.0], fAwMShAcKo, 5720027]
[paragraph, [152.0, 1006.0, 733.0, 18.0], fAwMShAcKo, 5720027]
[quote, [158.0, 1037.0, 722.0, 18.0], SF7pLMRA5E, 5720027]
[quote, [158.0, 1055.0, 722.0, 18.0], SF7pLMRA5E, 5720027]
[quote, [158.0, 1073.0, 722.0, 18.0], SF7pLMRA5E, 5720027]
[quote, [158.0, 1091.0, 722.0, 18.0], SF7pLMRA5E, 5720027]
[quote, [158.0, 1109.0, 722.0, 18.0], SF7pLMRA5E, 5720027]
[quote, [158.0, 1127.0, 722.0, 18.0], SF7pLMRA5E, 5720027]
[quote, [158.0, 1145.0, 722.0, 18.0], SF7pLMRA5E, 5720027]
[quote, [158.0, 1163.0, 722.0, 18.0], SF7pLMRA5E, 5720027]
[paragraph, [153.0, 1194.0, 721.0, 18.0], hOxyDc-QV1, 5720027]
[paragraph, [153.0, 1212.0, 721.0, 18.0], hOxyDc-QV1, 5720027]
[paragraph, [153.0, 1230.0, 721.0, 18.0], hOxyDc-QV1, 5720027]
[paragraph, [153.0, 1248.0, 721.0, 18.0], hOxyDc-QV1, 5720027]
[paragraph, [153.0, 1266.0, 721.0, 18.0], hOxyDc-QV1, 5720027]
[paragraph, [153.0, 1284.0, 721.0, 18.0], hOxyDc-QV1, 5720027]
