[1461, 1106]
[paragraph, [142.0, 124.0, 789.0, 18.0], gEQqjSyBl4, 5759251]
[paragraph, [142.0, 142.0, 789.0, 18.0], gEQqjSyBl4, 5759251]
[paragraph, [300.0, 171.0, 653.0, 18.0], 5wFOEwHa-5, 5759251]
[paragraph, [300.0, 189.0, 653.0, 18.0], 5wFOEwHa-5, 5759251]
[paragraph, [300.0, 207.0, 653.0, 18.0], 5wFOEwHa-5, 5759251]
[paragraph, [300.0, 225.0, 653.0, 18.0], 5wFOEwHa-5, 5759251]
[paragraph, [300.0, 243.0, 653.0, 18.0], 5wFOEwHa-5, 5759251]
[paragraph, [300.0, 261.0, 653.0, 18.0], 5wFOEwHa-5, 5759251]
[section-title, [153.0, 206.0, 128.0, 30.0], 1bL4zImvrq, 5759251]
[paragraph, [284.0, 356.0, 677.0, 18.0], m4K9RRdZOM, 5759251]
[paragraph, [284.0, 374.0, 677.0, 18.0], m4K9RRdZOM, 5759251]
[paragraph, [284.0, 392.0, 677.0, 18.0], m4K9RRdZOM, 5759251]
[paragraph, [284.0, 410.0, 677.0, 18.0], m4K9RRdZOM, 5759251]
[paragraph, [284.0, 428.0, 677.0, 18.0], m4K9RRdZOM, 5759251]
[paragraph, [284.0, 446.0, 677.0, 18.0], m4K9RRdZOM, 5759251]
[paragraph, [284.0, 464.0, 677.0, 18.0], m4K9RRdZOM, 5759251]
[paragraph, [284.0, 482.0, 677.0, 18.0], m4K9RRdZOM, 5759251]
[section-title, [149.0, 395.0, 125.0, 30.0], AFoeGQ5tLQ, 5759251]
[paragraph, [131.0, 522.0, 853.0, 18.0], kZT8BTT3EJ, 5759251]
[paragraph, [131.0, 540.0, 853.0, 18.0], kZT8BTT3EJ, 5759251]
[paragraph, [131.0, 558.0, 853.0, 18.0], kZT8BTT3EJ, 5759251]
[paragraph, [131.0, 576.0, 853.0, 18.0], kZT8BTT3EJ, 5759251]
[paragraph, [131.0, 594.0, 853.0, 18.0], kZT8BTT3EJ, 5759251]
[paragraph, [131.0, 612.0, 853.0, 18.0], kZT8BTT3EJ, 5759251]
[paragraph, [131.0, 630.0, 853.0, 18.0], kZT8BTT3EJ, 5759251]
[paragraph, [131.0, 648.0, 853.0, 18.0], kZT8BTT3EJ, 5759251]
[paragraph, [131.0, 666.0, 853.0, 18.0], kZT8BTT3EJ, 5759251]
[paragraph, [131.0, 684.0, 853.0, 18.0], kZT8BTT3EJ, 5759251]
[paragraph, [131.0, 702.0, 853.0, 18.0], kZT8BTT3EJ, 5759251]
[paragraph, [131.0, 720.0, 853.0, 18.0], kZT8BTT3EJ, 5759251]
[paragraph, [131.0, 738.0, 853.0, 18.0], kZT8BTT3EJ, 5759251]
[paragraph, [131.0, 756.0, 853.0, 18.0], kZT8BTT3EJ, 5759251]
[paragraph, [131.0, 774.0, 853.0, 18.0], kZT8BTT3EJ, 5759251]
[section-title, [161.0, 852.0, 122.0, 30.0], shoonya_2sAZGKKTZ2ILYB, 5759251]
[unordered-list, [160.0, 902.0, 812.0, 18.0], shoonya_1s9MMMFUXA6J7Y, 5759251]
[unordered-list, [160.0, 920.0, 812.0, 18.0], shoonya_1s9MMMFUXA6J7Y, 5759251]
[unordered-list, [160.0, 938.0, 812.0, 18.0], shoonya_1s9MMMFUXA6J7Y, 5759251]
[unordered-list, [160.0, 956.0, 812.0, 18.0], shoonya_1s9MMMFUXA6J7Y, 5759251]
[unordered-list, [160.0, 974.0, 812.0, 18.0], shoonya_1s9MMMFUXA6J7Y, 5759251]
[unordered-list, [160.0, 992.0, 812.0, 18.0], shoonya_1s9MMMFUXA6J7Y, 5759251]
[unordered-list, [160.0, 1010.0, 812.0, 18.0], shoonya_1s9MMMFUXA6J7Y, 5759251]
[unordered-list, [160.0, 1028.0, 812.0, 18.0], shoonya_1s9MMMFUXA6J7Y, 5759251]
[unordered-list, [160.0, 1046.0, 812.0, 18.0], shoonya_1s9MMMFUXA6J7Y, 5759251]
[unordered-list, [160.0, 1064.0, 812.0, 18.0], shoonya_1s9MMMFUXA6J7Y, 5759251]
[unordered-list, [160.0, 1082.0, 812.0, 18.0], shoonya_1s9MMMFUXA6J7Y, 5759251]
[unordered-list, [160.0, 1100.0, 812.0, 18.0], shoonya_1s9MMMFUXA6J7Y, 5759251]
[unordered-list, [160.0, 1118.0, 812.0, 18.0], shoonya_1s9MMMFUXA6J7Y, 5759251]
[unordered-list, [160.0, 1136.0, 812.0, 18.0], shoonya_1s9MMMFUXA6J7Y, 5759251]
[unordered-list, [160.0, 1154.0, 812.0, 18.0], shoonya_1s9MMMFUXA6J7Y, 5759251]
[folio, [194.0, 1342.0, 161.0, 18.0], ddI02wei9J, 5759251]
[folio, [194.0, 1360.0, 161.0, 18.0], ddI02wei9J, 5759251]
