[1200, 825]
[paragraph, [136.0, 103.0, 547.0, 18.0], shoonya_0s4GRMPOCZ6VQI, 5691117]
[paragraph, [136.0, 121.0, 547.0, 18.0], shoonya_0s4GRMPOCZ6VQI, 5691117]
[paragraph, [136.0, 139.0, 547.0, 18.0], shoonya_0s4GRMPOCZ6VQI, 5691117]
[paragraph, [136.0, 157.0, 547.0, 18.0], shoonya_0s4GRMPOCZ6VQI, 5691117]
[paragraph, [136.0, 175.0, 547.0, 18.0], shoonya_0s4GRMPOCZ6VQI, 5691117]
[paragraph, [136.0, 193.0, 547.0, 18.0], shoonya_0s4GRMPOCZ6VQI, 5691117]
[paragraph, [136.0, 211.0, 547.0, 18.0], shoonya_0s4GRMPOCZ6VQI, 5691117]
[paragraph, [136.0, 229.0, 547.0, 18.0], shoonya_0s4GRMPOCZ6VQI, 5691117]
[paragraph, [136.0, 261.0, 553.0, 18.0], 4eQUuntVZP, 5691117]
[paragraph, [136.0, 279.0, 553.0, 18.0], 4eQUuntVZP, 5691117]
[paragraph, [136.0, 297.0, 553.0, 18.0], 4eQUuntVZP, 5691117]
[paragraph, [136.0, 315.0, 553.0, 18.0], 4eQUuntVZP, 5691117]
[paragraph, [136.0, 333.0, 553.0, 18.0], 4eQUuntVZP, 5691117]
[paragraph, [136.0, 351.0, 553.0, 18.0], 4eQUuntVZP, 5691117]
[paragraph, [136.0, 369.0, 553.0, 18.0], 4eQUuntVZP, 5691117]
[paragraph, [136.0, 387.0, 553.0, 18.0], 4eQUuntVZP, 5691117]
[paragraph, [136.0, 405.0, 553.0, 18.0], 4eQUuntVZP, 5691117]
[paragraph, [136.0, 423.0, 553.0, 18.0], 4eQUuntVZP, 5691117]
[paragraph, [136.0, 441.0, 553.0, 18.0], 4eQUuntVZP, 5691117]
[paragraph, [136.0, 459.0, 553.0, 18.0], 4eQUuntVZP, 5691117]
[paragraph, [136.0, 477.0, 553.0, 18.0], 4eQUuntVZP, 5691117]
[paragraph, [136.0, 495.0, 553.0, 18.0], 4eQUuntVZP, 5691117]
[paragraph, [136.0, 513.0, 553.0, 18.0], 4eQUuntVZP, 5691117]
[paragraph, [136.0, 531.0, 553.0, 18.0], 4eQUuntVZP, 5691117]
[paragraph, [136.0, 549.0, 553.0, 18.0], 4eQUuntVZP, 5691117]
[paragraph, [136.0, 567.0, 553.0, 18.0], 4eQUuntVZP, 5691117]
[paragraph, [135.0, 594.0, 550.0, 18.0], AmwNDbyJ7y, 5691117]
[paragraph, [135.0, 612.0, 550.0, 18.0], AmwNDbyJ7y, 5691117]
[paragraph, [135.0, 630.0, 550.0, 18.0], AmwNDbyJ7y, 5691117]
[paragraph, [135.0, 648.0, 550.0, 18.0], AmwNDbyJ7y, 5691117]
[paragraph, [135.0, 666.0, 550.0, 18.0], AmwNDbyJ7y, 5691117]
[paragraph, [135.0, 684.0, 550.0, 18.0], AmwNDbyJ7y, 5691117]
[paragraph, [135.0, 702.0, 550.0, 18.0], AmwNDbyJ7y, 5691117]
[paragraph, [135.0, 720.0, 550.0, 18.0], AmwNDbyJ7y, 5691117]
[paragraph, [135.0, 738.0, 550.0, 18.0], AmwNDbyJ7y, 5691117]
[paragraph, [135.0, 756.0, 550.0, 18.0], AmwNDbyJ7y, 5691117]
[paragraph, [135.0, 774.0, 550.0, 18.0], AmwNDbyJ7y, 5691117]
[paragraph, [135.0, 792.0, 550.0, 18.0], AmwNDbyJ7y, 5691117]
[paragraph, [135.0, 810.0, 550.0, 18.0], AmwNDbyJ7y, 5691117]
[paragraph, [142.0, 905.0, 542.0, 18.0], Ub8Y20WZxv, 5691117]
[paragraph, [142.0, 923.0, 542.0, 18.0], Ub8Y20WZxv, 5691117]
[paragraph, [142.0, 941.0, 542.0, 18.0], Ub8Y20WZxv, 5691117]
[paragraph, [142.0, 959.0, 542.0, 18.0], Ub8Y20WZxv, 5691117]
[paragraph, [142.0, 977.0, 542.0, 18.0], Ub8Y20WZxv, 5691117]
[paragraph, [142.0, 995.0, 542.0, 18.0], Ub8Y20WZxv, 5691117]
[paragraph, [142.0, 1013.0, 542.0, 18.0], Ub8Y20WZxv, 5691117]
