[1795, 1184]
[chapter-title, [172.0, 349.0, 810.0, 58.5], shoonya_3sJTAVUKKZNSZ2, 5750168]
[paragraph, [141.0, 462.0, 870.0, 36.0], shoonya_0s72WX53MBXV3L, 5750168]
[paragraph, [141.0, 498.0, 870.0, 36.0], shoonya_0s72WX53MBXV3L, 5750168]
[paragraph, [141.0, 534.0, 870.0, 36.0], shoonya_0s72WX53MBXV3L, 5750168]
[paragraph, [141.0, 570.0, 870.0, 36.0], shoonya_0s72WX53MBXV3L, 5750168]
[paragraph, [141.0, 606.0, 870.0, 36.0], shoonya_0s72WX53MBXV3L, 5750168]
[paragraph, [141.0, 642.0, 870.0, 36.0], shoonya_0s72WX53MBXV3L, 5750168]
[paragraph, [141.0, 678.0, 870.0, 36.0], shoonya_0s72WX53MBXV3L, 5750168]
[paragraph, [141.0, 714.0, 870.0, 36.0], shoonya_0s72WX53MBXV3L, 5750168]
[paragraph, [141.0, 750.0, 870.0, 36.0], shoonya_0s72WX53MBXV3L, 5750168]
[paragraph, [141.0, 786.0, 870.0, 36.0], shoonya_0s72WX53MBXV3L, 5750168]
[paragraph, [141.0, 822.0, 870.0, 36.0], shoonya_0s72WX53MBXV3L, 5750168]
[paragraph, [141.0, 858.0, 870.0, 36.0], shoonya_0s72WX53MBXV3L, 5750168]
[paragraph, [141.0, 894.0, 870.0, 36.0], shoonya_0s72WX53MBXV3L, 5750168]
[paragraph, [141.0, 930.0, 870.0, 36.0], shoonya_0s72WX53MBXV3L, 5750168]
[paragraph, [141.0, 997.0, 870.0, 36.0], shoonya_4s1I77GHHO0CM8, 5750168]
[paragraph, [141.0, 1033.0, 870.0, 36.0], shoonya_4s1I77GHHO0CM8, 5750168]
[paragraph, [141.0, 1069.0, 870.0, 36.0], shoonya_4s1I77GHHO0CM8, 5750168]
[paragraph, [141.0, 1105.0, 870.0, 36.0], shoonya_4s1I77GHHO0CM8, 5750168]
[paragraph, [141.0, 1141.0, 870.0, 36.0], shoonya_4s1I77GHHO0CM8, 5750168]
[paragraph, [141.0, 1177.0, 870.0, 36.0], shoonya_4s1I77GHHO0CM8, 5750168]
[paragraph, [141.0, 1213.0, 870.0, 36.0], shoonya_4s1I77GHHO0CM8, 5750168]
[paragraph, [134.0, 1287.0, 881.0, 36.0], shoonya_2s8ASMBBTXBYC0, 5750168]
[paragraph, [134.0, 1323.0, 881.0, 36.0], shoonya_2s8ASMBBTXBYC0, 5750168]
[paragraph, [134.0, 1359.0, 881.0, 36.0], shoonya_2s8ASMBBTXBYC0, 5750168]
[paragraph, [134.0, 1395.0, 881.0, 36.0], shoonya_2s8ASMBBTXBYC0, 5750168]
[paragraph, [134.0, 1431.0, 881.0, 36.0], shoonya_2s8ASMBBTXBYC0, 5750168]
[paragraph, [134.0, 1467.0, 881.0, 36.0], shoonya_2s8ASMBBTXBYC0, 5750168]
