[3690, 2970]
[folio, [2138.0, 146.0, 588.0, 52.5], wc32G7f218, 5698276]
[ordered-list, [233.0, 271.0, 2498.0, 52.5], shoonya_2sLSZ3YEQDSHCD, 5698276]
[ordered-list, [233.0, 323.5, 2498.0, 52.5], shoonya_2sLSZ3YEQDSHCD, 5698276]
[ordered-list, [233.0, 376.0, 2498.0, 52.5], shoonya_2sLSZ3YEQDSHCD, 5698276]
[ordered-list, [233.0, 428.5, 2498.0, 52.5], shoonya_2sLSZ3YEQDSHCD, 5698276]
[ordered-list, [233.0, 481.0, 2498.0, 52.5], shoonya_2sLSZ3YEQDSHCD, 5698276]
[ordered-list, [233.0, 533.5, 2498.0, 52.5], shoonya_2sLSZ3YEQDSHCD, 5698276]
[ordered-list, [233.0, 586.0, 2498.0, 52.5], shoonya_2sLSZ3YEQDSHCD, 5698276]
[ordered-list, [233.0, 638.5, 2498.0, 52.5], shoonya_2sLSZ3YEQDSHCD, 5698276]
[ordered-list, [233.0, 691.0, 2498.0, 52.5], shoonya_2sLSZ3YEQDSHCD, 5698276]
[ordered-list, [233.0, 743.5, 2498.0, 52.5], shoonya_2sLSZ3YEQDSHCD, 5698276]
[ordered-list, [233.0, 796.0, 2498.0, 52.5], shoonya_2sLSZ3YEQDSHCD, 5698276]
[ordered-list, [233.0, 848.5, 2498.0, 52.5], shoonya_2sLSZ3YEQDSHCD, 5698276]
[ordered-list, [233.0, 901.0, 2498.0, 52.5], shoonya_2sLSZ3YEQDSHCD, 5698276]
[ordered-list, [233.0, 953.5, 2498.0, 52.5], shoonya_2sLSZ3YEQDSHCD, 5698276]
[ordered-list, [233.0, 1006.0, 2498.0, 52.5], shoonya_2sLSZ3YEQDSHCD, 5698276]
[ordered-list, [233.0, 1058.5, 2498.0, 52.5], shoonya_2sLSZ3YEQDSHCD, 5698276]
[ordered-list, [233.0, 1111.0, 2498.0, 52.5], shoonya_2sLSZ3YEQDSHCD, 5698276]
[ordered-list, [233.0, 1163.5, 2498.0, 52.5], shoonya_2sLSZ3YEQDSHCD, 5698276]
[ordered-list, [233.0, 1216.0, 2498.0, 52.5], shoonya_2sLSZ3YEQDSHCD, 5698276]
[ordered-list, [233.0, 1268.5, 2498.0, 52.5], shoonya_2sLSZ3YEQDSHCD, 5698276]
[ordered-list, [233.0, 1321.0, 2498.0, 52.5], shoonya_2sLSZ3YEQDSHCD, 5698276]
[ordered-list, [233.0, 1373.5, 2498.0, 52.5], shoonya_2sLSZ3YEQDSHCD, 5698276]
[ordered-list, [233.0, 1426.0, 2498.0, 52.5], shoonya_2sLSZ3YEQDSHCD, 5698276]
[ordered-list, [233.0, 1478.5, 2498.0, 52.5], shoonya_2sLSZ3YEQDSHCD, 5698276]
[ordered-list, [233.0, 1531.0, 2498.0, 52.5], shoonya_2sLSZ3YEQDSHCD, 5698276]
[ordered-list, [233.0, 1583.5, 2498.0, 52.5], shoonya_2sLSZ3YEQDSHCD, 5698276]
[ordered-list, [233.0, 1636.0, 2498.0, 52.5], shoonya_2sLSZ3YEQDSHCD, 5698276]
[ordered-list, [233.0, 1688.5, 2498.0, 52.5], shoonya_2sLSZ3YEQDSHCD, 5698276]
[ordered-list, [233.0, 1741.0, 2498.0, 52.5], shoonya_2sLSZ3YEQDSHCD, 5698276]
[ordered-list, [233.0, 1793.5, 2498.0, 52.5], shoonya_2sLSZ3YEQDSHCD, 5698276]
[ordered-list, [243.0, 2065.0, 1915.0, 52.5], shoonya_0sVXGCHCWTTS6P, 5698276]
[ordered-list, [243.0, 2117.5, 1915.0, 52.5], shoonya_0sVXGCHCWTTS6P, 5698276]
[ordered-list, [243.0, 2170.0, 1915.0, 52.5], shoonya_0sVXGCHCWTTS6P, 5698276]
[ordered-list, [243.0, 2222.5, 1915.0, 52.5], shoonya_0sVXGCHCWTTS6P, 5698276]
[ordered-list, [243.0, 2275.0, 1915.0, 52.5], shoonya_0sVXGCHCWTTS6P, 5698276]
[ordered-list, [243.0, 2327.5, 1915.0, 52.5], shoonya_0sVXGCHCWTTS6P, 5698276]
[ordered-list, [243.0, 2380.0, 1915.0, 52.5], shoonya_0sVXGCHCWTTS6P, 5698276]
[ordered-list, [243.0, 2432.5, 1915.0, 52.5], shoonya_0sVXGCHCWTTS6P, 5698276]
[ordered-list, [243.0, 2485.0, 1915.0, 52.5], shoonya_0sVXGCHCWTTS6P, 5698276]
[ordered-list, [243.0, 2537.5, 1915.0, 52.5], shoonya_0sVXGCHCWTTS6P, 5698276]
[ordered-list, [243.0, 2590.0, 1915.0, 52.5], shoonya_0sVXGCHCWTTS6P, 5698276]
[ordered-list, [243.0, 2642.5, 1915.0, 52.5], shoonya_0sVXGCHCWTTS6P, 5698276]
[ordered-list, [243.0, 2695.0, 1915.0, 52.5], shoonya_0sVXGCHCWTTS6P, 5698276]
[ordered-list, [243.0, 2747.5, 1915.0, 52.5], shoonya_0sVXGCHCWTTS6P, 5698276]
[ordered-list, [243.0, 2800.0, 1915.0, 52.5], shoonya_0sVXGCHCWTTS6P, 5698276]
