[2200, 1700]
[paragraph, [370.0, 114.0, 1134.0, 36.0], shoonya_2sWCXAGOFW0QDE, 5733891]
[paragraph, [370.0, 150.0, 1134.0, 36.0], shoonya_2sWCXAGOFW0QDE, 5733891]
[paragraph, [370.0, 186.0, 1134.0, 36.0], shoonya_2sWCXAGOFW0QDE, 5733891]
[paragraph, [370.0, 222.0, 1134.0, 36.0], shoonya_2sWCXAGOFW0QDE, 5733891]
[paragraph, [370.0, 258.0, 1134.0, 36.0], shoonya_2sWCXAGOFW0QDE, 5733891]
[paragraph, [370.0, 294.0, 1134.0, 36.0], shoonya_2sWCXAGOFW0QDE, 5733891]
[paragraph, [370.0, 330.0, 1134.0, 36.0], shoonya_2sWCXAGOFW0QDE, 5733891]
[paragraph, [370.0, 366.0, 1134.0, 36.0], shoonya_2sWCXAGOFW0QDE, 5733891]
[paragraph, [370.0, 402.0, 1134.0, 36.0], shoonya_2sWCXAGOFW0QDE, 5733891]
[paragraph, [370.0, 438.0, 1134.0, 36.0], shoonya_2sWCXAGOFW0QDE, 5733891]
[paragraph, [376.0, 532.0, 1138.0, 36.0], shoonya_1sUTAAAY3QGNK3, 5733891]
[paragraph, [376.0, 568.0, 1138.0, 36.0], shoonya_1sUTAAAY3QGNK3, 5733891]
[paragraph, [376.0, 604.0, 1138.0, 36.0], shoonya_1sUTAAAY3QGNK3, 5733891]
[paragraph, [376.0, 640.0, 1138.0, 36.0], shoonya_1sUTAAAY3QGNK3, 5733891]
[paragraph, [376.0, 676.0, 1138.0, 36.0], shoonya_1sUTAAAY3QGNK3, 5733891]
[paragraph, [376.0, 712.0, 1138.0, 36.0], shoonya_1sUTAAAY3QGNK3, 5733891]
[paragraph, [376.0, 748.0, 1138.0, 36.0], shoonya_1sUTAAAY3QGNK3, 5733891]
[paragraph, [376.0, 784.0, 1138.0, 36.0], shoonya_1sUTAAAY3QGNK3, 5733891]
[paragraph, [376.0, 820.0, 1138.0, 36.0], shoonya_1sUTAAAY3QGNK3, 5733891]
[paragraph, [376.0, 856.0, 1138.0, 36.0], shoonya_1sUTAAAY3QGNK3, 5733891]
[paragraph, [376.0, 892.0, 1138.0, 36.0], shoonya_1sUTAAAY3QGNK3, 5733891]
[paragraph, [376.0, 928.0, 1138.0, 36.0], shoonya_1sUTAAAY3QGNK3, 5733891]
[paragraph, [376.0, 964.0, 1138.0, 36.0], shoonya_1sUTAAAY3QGNK3, 5733891]
[paragraph, [376.0, 1000.0, 1138.0, 36.0], shoonya_1sUTAAAY3QGNK3, 5733891]
[paragraph, [376.0, 1036.0, 1138.0, 36.0], shoonya_1sUTAAAY3QGNK3, 5733891]
[paragraph, [376.0, 1072.0, 1138.0, 36.0], shoonya_1sUTAAAY3QGNK3, 5733891]
[paragraph, [376.0, 1108.0, 1138.0, 36.0], shoonya_1sUTAAAY3QGNK3, 5733891]
[paragraph, [376.0, 1144.0, 1138.0, 36.0], shoonya_1sUTAAAY3QGNK3, 5733891]
[paragraph, [376.0, 1180.0, 1138.0, 36.0], shoonya_1sUTAAAY3QGNK3, 5733891]
[paragraph, [376.0, 1216.0, 1138.0, 36.0], shoonya_1sUTAAAY3QGNK3, 5733891]
[paragraph, [376.0, 1252.0, 1138.0, 36.0], shoonya_1sUTAAAY3QGNK3, 5733891]
[paragraph, [376.0, 1288.0, 1138.0, 36.0], shoonya_1sUTAAAY3QGNK3, 5733891]
[paragraph, [376.0, 1324.0, 1138.0, 36.0], shoonya_1sUTAAAY3QGNK3, 5733891]
[paragraph, [376.0, 1360.0, 1138.0, 36.0], shoonya_1sUTAAAY3QGNK3, 5733891]
[paragraph, [371.0, 1436.0, 1134.0, 36.0], shoonya_0sTH8UEWRWCZ57, 5733891]
[paragraph, [371.0, 1472.0, 1134.0, 36.0], shoonya_0sTH8UEWRWCZ57, 5733891]
[paragraph, [371.0, 1508.0, 1134.0, 36.0], shoonya_0sTH8UEWRWCZ57, 5733891]
[paragraph, [371.0, 1544.0, 1134.0, 36.0], shoonya_0sTH8UEWRWCZ57, 5733891]
[paragraph, [371.0, 1580.0, 1134.0, 36.0], shoonya_0sTH8UEWRWCZ57, 5733891]
[paragraph, [371.0, 1616.0, 1134.0, 36.0], shoonya_0sTH8UEWRWCZ57, 5733891]
[paragraph, [371.0, 1652.0, 1134.0, 36.0], shoonya_0sTH8UEWRWCZ57, 5733891]
[paragraph, [371.0, 1688.0, 1134.0, 36.0], shoonya_0sTH8UEWRWCZ57, 5733891]
[paragraph, [371.0, 1724.0, 1134.0, 36.0], shoonya_0sTH8UEWRWCZ57, 5733891]
[paragraph, [371.0, 1760.0, 1134.0, 36.0], shoonya_0sTH8UEWRWCZ57, 5733891]
[paragraph, [371.0, 1796.0, 1134.0, 36.0], shoonya_0sTH8UEWRWCZ57, 5733891]
[paragraph, [371.0, 1832.0, 1134.0, 36.0], shoonya_0sTH8UEWRWCZ57, 5733891]
[paragraph, [371.0, 1868.0, 1134.0, 36.0], shoonya_0sTH8UEWRWCZ57, 5733891]
[paragraph, [366.0, 1962.0, 1139.0, 36.0], shoonya_3sKSMLNF3DEACR, 5733891]
[paragraph, [366.0, 1998.0, 1139.0, 36.0], shoonya_3sKSMLNF3DEACR, 5733891]
[paragraph, [366.0, 2034.0, 1139.0, 36.0], shoonya_3sKSMLNF3DEACR, 5733891]
[folio, [867.0, 2143.0, 596.0, 36.0], shoonya_4sS8R3MRQIGEF6, 5733891]
