[2200, 1700]
[paragraph, [319.0, 58.0, 1086.0, 36.0], shoonya_4sJ7IUWZWWMKUJ, 5731122]
[paragraph, [319.0, 94.0, 1086.0, 36.0], shoonya_4sJ7IUWZWWMKUJ, 5731122]
[paragraph, [319.0, 130.0, 1086.0, 36.0], shoonya_4sJ7IUWZWWMKUJ, 5731122]
[paragraph, [319.0, 166.0, 1086.0, 36.0], shoonya_4sJ7IUWZWWMKUJ, 5731122]
[paragraph, [319.0, 202.0, 1086.0, 36.0], shoonya_4sJ7IUWZWWMKUJ, 5731122]
[paragraph, [319.0, 238.0, 1086.0, 36.0], shoonya_4sJ7IUWZWWMKUJ, 5731122]
[paragraph, [322.0, 298.0, 1077.0, 36.0], shoonya_3sSTIBD1ENMKT6, 5731122]
[paragraph, [322.0, 334.0, 1077.0, 36.0], shoonya_3sSTIBD1ENMKT6, 5731122]
[paragraph, [322.0, 370.0, 1077.0, 36.0], shoonya_3sSTIBD1ENMKT6, 5731122]
[paragraph, [322.0, 406.0, 1077.0, 36.0], shoonya_3sSTIBD1ENMKT6, 5731122]
[paragraph, [322.0, 442.0, 1077.0, 36.0], shoonya_3sSTIBD1ENMKT6, 5731122]
[paragraph, [322.0, 478.0, 1077.0, 36.0], shoonya_3sSTIBD1ENMKT6, 5731122]
[paragraph, [322.0, 514.0, 1077.0, 36.0], shoonya_3sSTIBD1ENMKT6, 5731122]
[paragraph, [322.0, 550.0, 1077.0, 36.0], shoonya_3sSTIBD1ENMKT6, 5731122]
[paragraph, [322.0, 586.0, 1077.0, 36.0], shoonya_3sSTIBD1ENMKT6, 5731122]
[paragraph, [322.0, 622.0, 1077.0, 36.0], shoonya_3sSTIBD1ENMKT6, 5731122]
[paragraph, [322.0, 658.0, 1077.0, 36.0], shoonya_3sSTIBD1ENMKT6, 5731122]
[paragraph, [322.0, 694.0, 1077.0, 36.0], shoonya_3sSTIBD1ENMKT6, 5731122]
[paragraph, [316.0, 754.0, 1101.0, 36.0], shoonya_0sMUYW0NEXU7J7, 5731122]
[paragraph, [316.0, 790.0, 1101.0, 36.0], shoonya_0sMUYW0NEXU7J7, 5731122]
[paragraph, [316.0, 826.0, 1101.0, 36.0], shoonya_0sMUYW0NEXU7J7, 5731122]
[paragraph, [316.0, 862.0, 1101.0, 36.0], shoonya_0sMUYW0NEXU7J7, 5731122]
[paragraph, [316.0, 898.0, 1101.0, 36.0], shoonya_0sMUYW0NEXU7J7, 5731122]
[paragraph, [316.0, 934.0, 1101.0, 36.0], shoonya_0sMUYW0NEXU7J7, 5731122]
[paragraph, [316.0, 970.0, 1101.0, 36.0], shoonya_0sMUYW0NEXU7J7, 5731122]
[paragraph, [316.0, 1006.0, 1101.0, 36.0], shoonya_0sMUYW0NEXU7J7, 5731122]
[paragraph, [316.0, 1042.0, 1101.0, 36.0], shoonya_0sMUYW0NEXU7J7, 5731122]
[paragraph, [316.0, 1078.0, 1101.0, 36.0], shoonya_0sMUYW0NEXU7J7, 5731122]
[paragraph, [316.0, 1114.0, 1101.0, 36.0], shoonya_0sMUYW0NEXU7J7, 5731122]
[paragraph, [316.0, 1150.0, 1101.0, 36.0], shoonya_0sMUYW0NEXU7J7, 5731122]
[paragraph, [316.0, 1186.0, 1101.0, 36.0], shoonya_0sMUYW0NEXU7J7, 5731122]
[paragraph, [316.0, 1222.0, 1101.0, 36.0], shoonya_0sMUYW0NEXU7J7, 5731122]
[paragraph, [316.0, 1258.0, 1101.0, 36.0], shoonya_0sMUYW0NEXU7J7, 5731122]
[paragraph, [316.0, 1294.0, 1101.0, 36.0], shoonya_0sMUYW0NEXU7J7, 5731122]
[paragraph, [316.0, 1330.0, 1101.0, 36.0], shoonya_0sMUYW0NEXU7J7, 5731122]
[paragraph, [316.0, 1366.0, 1101.0, 36.0], shoonya_0sMUYW0NEXU7J7, 5731122]
[paragraph, [316.0, 1402.0, 1101.0, 36.0], shoonya_0sMUYW0NEXU7J7, 5731122]
[paragraph, [316.0, 1438.0, 1101.0, 36.0], shoonya_0sMUYW0NEXU7J7, 5731122]
[paragraph, [316.0, 1474.0, 1101.0, 36.0], shoonya_0sMUYW0NEXU7J7, 5731122]
[paragraph, [316.0, 1510.0, 1101.0, 36.0], shoonya_0sMUYW0NEXU7J7, 5731122]
[paragraph, [316.0, 1546.0, 1101.0, 36.0], shoonya_0sMUYW0NEXU7J7, 5731122]
[paragraph, [316.0, 1582.0, 1101.0, 36.0], shoonya_0sMUYW0NEXU7J7, 5731122]
[paragraph, [316.0, 1618.0, 1101.0, 36.0], shoonya_0sMUYW0NEXU7J7, 5731122]
[paragraph, [316.0, 1654.0, 1101.0, 36.0], shoonya_0sMUYW0NEXU7J7, 5731122]
[paragraph, [316.0, 1690.0, 1101.0, 36.0], shoonya_0sMUYW0NEXU7J7, 5731122]
[paragraph, [316.0, 1726.0, 1101.0, 36.0], shoonya_0sMUYW0NEXU7J7, 5731122]
[paragraph, [316.0, 1762.0, 1101.0, 36.0], shoonya_0sMUYW0NEXU7J7, 5731122]
[paragraph, [316.0, 1798.0, 1101.0, 36.0], shoonya_0sMUYW0NEXU7J7, 5731122]
[paragraph, [316.0, 1834.0, 1101.0, 36.0], shoonya_0sMUYW0NEXU7J7, 5731122]
[paragraph, [316.0, 1870.0, 1101.0, 36.0], shoonya_0sMUYW0NEXU7J7, 5731122]
[paragraph, [316.0, 1906.0, 1101.0, 36.0], shoonya_0sMUYW0NEXU7J7, 5731122]
[folio, [972.0, 2008.0, 371.0, 36.0], _20aEeSmXN, 5731122]
