[1241, 827]
[folio, [373.0, 51.0, 312.0, 18.0], CgL4MED6UL, 6477874]
[paragraph, [106.0, 130.0, 641.0, 18.0], qbiAnRMU7Y, 6477874]
[paragraph, [106.0, 148.0, 641.0, 18.0], qbiAnRMU7Y, 6477874]
[paragraph, [106.0, 166.0, 641.0, 18.0], qbiAnRMU7Y, 6477874]
[paragraph, [106.0, 184.0, 641.0, 18.0], qbiAnRMU7Y, 6477874]
[section-title, [110.0, 223.0, 328.0, 30.0], Mk5ApKtMSj, 6477874]
[paragraph, [101.0, 259.0, 700.0, 18.0], ktxE-CbiqP, 6477874]
[paragraph, [101.0, 277.0, 700.0, 18.0], ktxE-CbiqP, 6477874]
[paragraph, [101.0, 295.0, 700.0, 18.0], ktxE-CbiqP, 6477874]
[paragraph, [101.0, 313.0, 700.0, 18.0], ktxE-CbiqP, 6477874]
[paragraph, [101.0, 331.0, 700.0, 18.0], ktxE-CbiqP, 6477874]
[paragraph, [101.0, 349.0, 700.0, 18.0], ktxE-CbiqP, 6477874]
[paragraph, [101.0, 367.0, 700.0, 18.0], ktxE-CbiqP, 6477874]
[paragraph, [101.0, 385.0, 700.0, 18.0], ktxE-CbiqP, 6477874]
[paragraph, [101.0, 403.0, 700.0, 18.0], ktxE-CbiqP, 6477874]
[paragraph, [101.0, 421.0, 700.0, 18.0], ktxE-CbiqP, 6477874]
[paragraph, [107.0, 462.0, 650.0, 18.0], shoonya_0sYMJSRBJCWCK5, 6477874]
[paragraph, [107.0, 480.0, 650.0, 18.0], shoonya_0sYMJSRBJCWCK5, 6477874]
[paragraph, [107.0, 498.0, 650.0, 18.0], shoonya_0sYMJSRBJCWCK5, 6477874]
[paragraph, [107.0, 516.0, 650.0, 18.0], shoonya_0sYMJSRBJCWCK5, 6477874]
[paragraph, [107.0, 534.0, 650.0, 18.0], shoonya_0sYMJSRBJCWCK5, 6477874]
[paragraph, [107.0, 552.0, 650.0, 18.0], shoonya_0sYMJSRBJCWCK5, 6477874]
[paragraph, [107.0, 570.0, 650.0, 18.0], shoonya_0sYMJSRBJCWCK5, 6477874]
[paragraph, [107.0, 588.0, 650.0, 18.0], shoonya_0sYMJSRBJCWCK5, 6477874]
[paragraph, [107.0, 606.0, 650.0, 18.0], shoonya_0sYMJSRBJCWCK5, 6477874]
[paragraph, [107.0, 624.0, 650.0, 18.0], shoonya_0sYMJSRBJCWCK5, 6477874]
[paragraph, [107.0, 642.0, 650.0, 18.0], shoonya_0sYMJSRBJCWCK5, 6477874]
[paragraph, [107.0, 660.0, 650.0, 18.0], shoonya_0sYMJSRBJCWCK5, 6477874]
[paragraph, [107.0, 678.0, 650.0, 18.0], shoonya_0sYMJSRBJCWCK5, 6477874]
[paragraph, [107.0, 696.0, 650.0, 18.0], shoonya_0sYMJSRBJCWCK5, 6477874]
[paragraph, [107.0, 714.0, 650.0, 18.0], shoonya_0sYMJSRBJCWCK5, 6477874]
[paragraph, [107.0, 732.0, 650.0, 18.0], shoonya_0sYMJSRBJCWCK5, 6477874]
[paragraph, [102.0, 764.0, 650.0, 18.0], gnd7FTTLJl, 6477874]
[paragraph, [102.0, 782.0, 650.0, 18.0], gnd7FTTLJl, 6477874]
[paragraph, [102.0, 800.0, 650.0, 18.0], gnd7FTTLJl, 6477874]
[paragraph, [102.0, 818.0, 650.0, 18.0], gnd7FTTLJl, 6477874]
[paragraph, [102.0, 836.0, 650.0, 18.0], gnd7FTTLJl, 6477874]
[paragraph, [102.0, 854.0, 650.0, 18.0], gnd7FTTLJl, 6477874]
[paragraph, [102.0, 872.0, 650.0, 18.0], gnd7FTTLJl, 6477874]
[paragraph, [102.0, 890.0, 650.0, 18.0], gnd7FTTLJl, 6477874]
[paragraph, [102.0, 908.0, 650.0, 18.0], gnd7FTTLJl, 6477874]
[paragraph, [102.0, 926.0, 650.0, 18.0], gnd7FTTLJl, 6477874]
[paragraph, [109.0, 968.0, 641.0, 18.0], nzJeBRQIvJ, 6477874]
[paragraph, [109.0, 986.0, 641.0, 18.0], nzJeBRQIvJ, 6477874]
[paragraph, [109.0, 1004.0, 641.0, 18.0], nzJeBRQIvJ, 6477874]
[paragraph, [109.0, 1022.0, 641.0, 18.0], nzJeBRQIvJ, 6477874]
[paragraph, [109.0, 1040.0, 641.0, 18.0], nzJeBRQIvJ, 6477874]
[paragraph, [109.0, 1058.0, 641.0, 18.0], nzJeBRQIvJ, 6477874]
[paragraph, [109.0, 1076.0, 641.0, 18.0], nzJeBRQIvJ, 6477874]
[paragraph, [109.0, 1094.0, 641.0, 18.0], nzJeBRQIvJ, 6477874]
[paragraph, [109.0, 1112.0, 641.0, 18.0], nzJeBRQIvJ, 6477874]
[paragraph, [109.0, 1130.0, 641.0, 18.0], nzJeBRQIvJ, 6477874]
[paragraph, [109.0, 1148.0, 641.0, 18.0], nzJeBRQIvJ, 6477874]
[paragraph, [109.0, 1166.0, 641.0, 18.0], nzJeBRQIvJ, 6477874]
