[674, 487]
[quote, [33.0, 32.0, 211.0, 18.0], 79g_qrsrLj, 6534407]
[quote, [46.0, 47.0, 130.0, 18.0], LBcchzZd6C, 6534407]
[quote, [46.0, 65.0, 130.0, 18.0], LBcchzZd6C, 6534407]
[quote, [219.0, 47.0, 238.0, 18.0], AL9NinQxAw, 6534407]
[quote, [219.0, 65.0, 238.0, 18.0], AL9NinQxAw, 6534407]
[quote, [219.0, 83.0, 238.0, 18.0], AL9NinQxAw, 6534407]
[quote, [301.0, 279.0, 146.0, 18.0], t7B5ad6SiR, 6534407]
[quote, [301.0, 297.0, 146.0, 18.0], t7B5ad6SiR, 6534407]
[quote, [301.0, 315.0, 146.0, 18.0], t7B5ad6SiR, 6534407]
[quote, [42.0, 307.0, 137.0, 18.0], 7nRq6phO0B, 6534407]
[quote, [42.0, 325.0, 137.0, 18.0], 7nRq6phO0B, 6534407]
[quote, [39.0, 357.0, 122.0, 18.0], aeBCsshmN-, 6534407]
[quote, [39.0, 375.0, 122.0, 18.0], aeBCsshmN-, 6534407]
[quote, [284.0, 410.0, 65.0, 18.0], IPhiU00pyi, 6534407]
[quote, [284.0, 428.0, 65.0, 18.0], IPhiU00pyi, 6534407]
[quote, [284.0, 446.0, 65.0, 18.0], IPhiU00pyi, 6534407]
[quote, [67.0, 441.0, 114.0, 18.0], 2kOgCafSko, 6534407]
[quote, [67.0, 459.0, 114.0, 18.0], 2kOgCafSko, 6534407]
[quote, [67.0, 477.0, 114.0, 18.0], 2kOgCafSko, 6534407]
[quote, [333.0, 578.0, 114.0, 18.0], tf_svlKrRf, 6534407]
[quote, [333.0, 596.0, 114.0, 18.0], tf_svlKrRf, 6534407]
[quote, [333.0, 614.0, 114.0, 18.0], tf_svlKrRf, 6534407]
[quote, [105.0, 591.0, 168.0, 18.0], hjuDTW_-OI, 6534407]
[quote, [105.0, 609.0, 168.0, 18.0], hjuDTW_-OI, 6534407]
