[1518, 1075]
[folio, [365.0, 83.0, 324.0, 36.0], shoonya_8sYN64S6Y47W69, 5722554]
[author, [397.0, 187.0, 260.0, 36.0], shoonya_7s51LS8VJHDWWI, 5722554]
[headline, [399.0, 251.0, 253.0, 37.5], shoonya_6sN9854YUFB47N, 5722554]
[paragraph, [106.0, 376.0, 365.0, 36.0], Kcx5kfv2fF, 5722554]
[paragraph, [533.0, 396.0, 429.0, 36.0], shoonya_2s8U8G63L9W4OY, 5722554]
[paragraph, [533.0, 432.0, 429.0, 36.0], shoonya_2s8U8G63L9W4OY, 5722554]
[paragraph, [533.0, 468.0, 429.0, 36.0], shoonya_2s8U8G63L9W4OY, 5722554]
[paragraph, [533.0, 504.0, 429.0, 36.0], shoonya_2s8U8G63L9W4OY, 5722554]
[paragraph, [533.0, 540.0, 429.0, 36.0], shoonya_2s8U8G63L9W4OY, 5722554]
[paragraph, [533.0, 576.0, 429.0, 36.0], shoonya_2s8U8G63L9W4OY, 5722554]
[paragraph, [85.0, 428.0, 438.0, 36.0], shoonya_0sQH4PAR27ME83, 5722554]
[paragraph, [85.0, 464.0, 438.0, 36.0], shoonya_0sQH4PAR27ME83, 5722554]
[paragraph, [85.0, 500.0, 438.0, 36.0], shoonya_0sQH4PAR27ME83, 5722554]
[paragraph, [85.0, 536.0, 438.0, 36.0], shoonya_0sQH4PAR27ME83, 5722554]
[paragraph, [85.0, 572.0, 438.0, 36.0], shoonya_0sQH4PAR27ME83, 5722554]
[paragraph, [85.0, 608.0, 438.0, 36.0], shoonya_0sQH4PAR27ME83, 5722554]
[paragraph, [85.0, 644.0, 438.0, 36.0], shoonya_0sQH4PAR27ME83, 5722554]
[paragraph, [85.0, 680.0, 438.0, 36.0], shoonya_0sQH4PAR27ME83, 5722554]
[paragraph, [85.0, 716.0, 438.0, 36.0], shoonya_0sQH4PAR27ME83, 5722554]
[paragraph, [85.0, 752.0, 438.0, 36.0], shoonya_0sQH4PAR27ME83, 5722554]
[paragraph, [85.0, 788.0, 438.0, 36.0], shoonya_0sQH4PAR27ME83, 5722554]
[paragraph, [85.0, 824.0, 438.0, 36.0], shoonya_0sQH4PAR27ME83, 5722554]
[paragraph, [85.0, 860.0, 438.0, 36.0], shoonya_0sQH4PAR27ME83, 5722554]
[paragraph, [85.0, 896.0, 438.0, 36.0], shoonya_0sQH4PAR27ME83, 5722554]
[paragraph, [85.0, 932.0, 438.0, 36.0], shoonya_0sQH4PAR27ME83, 5722554]
[paragraph, [531.0, 644.0, 435.0, 36.0], shoonya_1sKLDCGIBP527O, 5722554]
[paragraph, [531.0, 680.0, 435.0, 36.0], shoonya_1sKLDCGIBP527O, 5722554]
[paragraph, [531.0, 716.0, 435.0, 36.0], shoonya_1sKLDCGIBP527O, 5722554]
[paragraph, [531.0, 752.0, 435.0, 36.0], shoonya_1sKLDCGIBP527O, 5722554]
[paragraph, [531.0, 788.0, 435.0, 36.0], shoonya_1sKLDCGIBP527O, 5722554]
[paragraph, [531.0, 824.0, 435.0, 36.0], shoonya_1sKLDCGIBP527O, 5722554]
[paragraph, [529.0, 892.0, 437.0, 36.0], shoonya_5sWFGWODD5J8VA, 5722554]
[paragraph, [529.0, 928.0, 437.0, 36.0], shoonya_5sWFGWODD5J8VA, 5722554]
[paragraph, [85.0, 1000.0, 882.0, 36.0], shoonya_3s25WKDJ6NKCJ5, 5722554]
[paragraph, [85.0, 1036.0, 882.0, 36.0], shoonya_3s25WKDJ6NKCJ5, 5722554]
[paragraph, [85.0, 1072.0, 882.0, 36.0], shoonya_3s25WKDJ6NKCJ5, 5722554]
[paragraph, [85.0, 1108.0, 882.0, 36.0], shoonya_3s25WKDJ6NKCJ5, 5722554]
[paragraph, [85.0, 1144.0, 882.0, 36.0], shoonya_3s25WKDJ6NKCJ5, 5722554]
[paragraph, [85.0, 1180.0, 882.0, 36.0], shoonya_3s25WKDJ6NKCJ5, 5722554]
[paragraph, [85.0, 1216.0, 882.0, 36.0], shoonya_3s25WKDJ6NKCJ5, 5722554]
[paragraph, [85.0, 1252.0, 882.0, 36.0], shoonya_3s25WKDJ6NKCJ5, 5722554]
[paragraph, [85.0, 1288.0, 882.0, 36.0], shoonya_3s25WKDJ6NKCJ5, 5722554]
[folio, [670.0, 1385.0, 208.0, 36.0], KSOt-7gb9d, 5722554]
