[839, 612]
[headline, [79.0, 88.0, 462.0, 25.5], HM4jwJMWK0, 6460825]
[headline, [79.0, 113.5, 462.0, 25.5], HM4jwJMWK0, 6460825]
[paragraph, [117.0, 155.0, 416.0, 18.0], shoonya_0sW66DAX7EOF5B, 6460825]
[paragraph, [117.0, 173.0, 416.0, 18.0], shoonya_0sW66DAX7EOF5B, 6460825]
[paragraph, [117.0, 191.0, 416.0, 18.0], shoonya_0sW66DAX7EOF5B, 6460825]
[paragraph, [117.0, 209.0, 416.0, 18.0], shoonya_0sW66DAX7EOF5B, 6460825]
[paragraph, [117.0, 227.0, 416.0, 18.0], shoonya_0sW66DAX7EOF5B, 6460825]
[paragraph, [117.0, 245.0, 416.0, 18.0], shoonya_0sW66DAX7EOF5B, 6460825]
[paragraph, [117.0, 263.0, 416.0, 18.0], shoonya_0sW66DAX7EOF5B, 6460825]
[paragraph, [117.0, 281.0, 416.0, 18.0], shoonya_0sW66DAX7EOF5B, 6460825]
[paragraph, [117.0, 299.0, 416.0, 18.0], shoonya_0sW66DAX7EOF5B, 6460825]
[paragraph, [117.0, 317.0, 416.0, 18.0], shoonya_0sW66DAX7EOF5B, 6460825]
[paragraph, [117.0, 335.0, 416.0, 18.0], shoonya_0sW66DAX7EOF5B, 6460825]
[paragraph, [117.0, 353.0, 416.0, 18.0], shoonya_0sW66DAX7EOF5B, 6460825]
[paragraph, [117.0, 371.0, 416.0, 18.0], shoonya_0sW66DAX7EOF5B, 6460825]
[paragraph, [117.0, 389.0, 416.0, 18.0], shoonya_0sW66DAX7EOF5B, 6460825]
[paragraph, [117.0, 407.0, 416.0, 18.0], shoonya_0sW66DAX7EOF5B, 6460825]
[paragraph, [117.0, 425.0, 416.0, 18.0], shoonya_0sW66DAX7EOF5B, 6460825]
[paragraph, [117.0, 443.0, 416.0, 18.0], shoonya_0sW66DAX7EOF5B, 6460825]
[paragraph, [117.0, 461.0, 416.0, 18.0], shoonya_0sW66DAX7EOF5B, 6460825]
[paragraph, [117.0, 479.0, 416.0, 18.0], shoonya_0sW66DAX7EOF5B, 6460825]
[paragraph, [117.0, 497.0, 416.0, 18.0], shoonya_0sW66DAX7EOF5B, 6460825]
[paragraph, [117.0, 515.0, 416.0, 18.0], shoonya_0sW66DAX7EOF5B, 6460825]
[paragraph, [117.0, 533.0, 416.0, 18.0], shoonya_0sW66DAX7EOF5B, 6460825]
[paragraph, [117.0, 551.0, 416.0, 18.0], shoonya_0sW66DAX7EOF5B, 6460825]
[paragraph, [117.0, 569.0, 416.0, 18.0], shoonya_0sW66DAX7EOF5B, 6460825]
[paragraph, [117.0, 587.0, 416.0, 18.0], shoonya_0sW66DAX7EOF5B, 6460825]
[paragraph, [117.0, 605.0, 416.0, 18.0], shoonya_0sW66DAX7EOF5B, 6460825]
[paragraph, [117.0, 623.0, 416.0, 18.0], shoonya_0sW66DAX7EOF5B, 6460825]
[paragraph, [117.0, 641.0, 416.0, 18.0], shoonya_0sW66DAX7EOF5B, 6460825]
[paragraph, [117.0, 659.0, 416.0, 18.0], shoonya_0sW66DAX7EOF5B, 6460825]
[paragraph, [117.0, 677.0, 416.0, 18.0], shoonya_0sW66DAX7EOF5B, 6460825]
[paragraph, [117.0, 695.0, 416.0, 18.0], shoonya_0sW66DAX7EOF5B, 6460825]
[author, [355.0, 720.0, 159.0, 18.0], HHvVDEIcLj, 6460825]
[author, [355.0, 738.0, 159.0, 18.0], HHvVDEIcLj, 6460825]
[author, [355.0, 756.0, 159.0, 18.0], HHvVDEIcLj, 6460825]
