[2339, 1653]
[paragraph, [388.0, 193.0, 1073.0, 36.0], shoonya_1sQYUO1E4G9U46, 5733786]
[paragraph, [388.0, 229.0, 1073.0, 36.0], shoonya_1sQYUO1E4G9U46, 5733786]
[paragraph, [388.0, 265.0, 1073.0, 36.0], shoonya_1sQYUO1E4G9U46, 5733786]
[paragraph, [388.0, 301.0, 1073.0, 36.0], shoonya_1sQYUO1E4G9U46, 5733786]
[paragraph, [388.0, 337.0, 1073.0, 36.0], shoonya_1sQYUO1E4G9U46, 5733786]
[paragraph, [388.0, 373.0, 1073.0, 36.0], shoonya_1sQYUO1E4G9U46, 5733786]
[paragraph, [388.0, 409.0, 1073.0, 36.0], shoonya_1sQYUO1E4G9U46, 5733786]
[paragraph, [388.0, 445.0, 1073.0, 36.0], shoonya_1sQYUO1E4G9U46, 5733786]
[paragraph, [388.0, 481.0, 1073.0, 36.0], shoonya_1sQYUO1E4G9U46, 5733786]
[paragraph, [388.0, 517.0, 1073.0, 36.0], shoonya_1sQYUO1E4G9U46, 5733786]
[paragraph, [388.0, 553.0, 1073.0, 36.0], shoonya_1sQYUO1E4G9U46, 5733786]
[paragraph, [388.0, 589.0, 1073.0, 36.0], shoonya_1sQYUO1E4G9U46, 5733786]
[paragraph, [388.0, 625.0, 1073.0, 36.0], shoonya_1sQYUO1E4G9U46, 5733786]
[paragraph, [388.0, 661.0, 1073.0, 36.0], shoonya_1sQYUO1E4G9U46, 5733786]
[paragraph, [388.0, 697.0, 1073.0, 36.0], shoonya_1sQYUO1E4G9U46, 5733786]
[paragraph, [388.0, 733.0, 1073.0, 36.0], shoonya_1sQYUO1E4G9U46, 5733786]
[paragraph, [388.0, 769.0, 1073.0, 36.0], shoonya_1sQYUO1E4G9U46, 5733786]
[paragraph, [388.0, 805.0, 1073.0, 36.0], shoonya_1sQYUO1E4G9U46, 5733786]
[paragraph, [388.0, 841.0, 1073.0, 36.0], shoonya_1sQYUO1E4G9U46, 5733786]
[paragraph, [388.0, 877.0, 1073.0, 36.0], shoonya_1sQYUO1E4G9U46, 5733786]
[paragraph, [388.0, 913.0, 1073.0, 36.0], shoonya_1sQYUO1E4G9U46, 5733786]
[paragraph, [388.0, 949.0, 1073.0, 36.0], shoonya_1sQYUO1E4G9U46, 5733786]
[paragraph, [388.0, 985.0, 1073.0, 36.0], shoonya_1sQYUO1E4G9U46, 5733786]
[paragraph, [388.0, 1021.0, 1073.0, 36.0], shoonya_1sQYUO1E4G9U46, 5733786]
[paragraph, [390.0, 1075.0, 1072.0, 36.0], shoonya_2sGHMB6KDTERJK, 5733786]
[paragraph, [390.0, 1111.0, 1072.0, 36.0], shoonya_2sGHMB6KDTERJK, 5733786]
[paragraph, [390.0, 1147.0, 1072.0, 36.0], shoonya_2sGHMB6KDTERJK, 5733786]
[paragraph, [390.0, 1183.0, 1072.0, 36.0], shoonya_2sGHMB6KDTERJK, 5733786]
[paragraph, [387.0, 1246.0, 1072.0, 36.0], shoonya_0s8YFOAB09JRZF, 5733786]
[paragraph, [387.0, 1282.0, 1072.0, 36.0], shoonya_0s8YFOAB09JRZF, 5733786]
[paragraph, [387.0, 1318.0, 1072.0, 36.0], shoonya_0s8YFOAB09JRZF, 5733786]
[paragraph, [387.0, 1354.0, 1072.0, 36.0], shoonya_0s8YFOAB09JRZF, 5733786]
[paragraph, [387.0, 1390.0, 1072.0, 36.0], shoonya_0s8YFOAB09JRZF, 5733786]
[paragraph, [387.0, 1426.0, 1072.0, 36.0], shoonya_0s8YFOAB09JRZF, 5733786]
[paragraph, [387.0, 1462.0, 1072.0, 36.0], shoonya_0s8YFOAB09JRZF, 5733786]
[paragraph, [387.0, 1498.0, 1072.0, 36.0], shoonya_0s8YFOAB09JRZF, 5733786]
[paragraph, [387.0, 1534.0, 1072.0, 36.0], shoonya_0s8YFOAB09JRZF, 5733786]
[paragraph, [387.0, 1570.0, 1072.0, 36.0], shoonya_0s8YFOAB09JRZF, 5733786]
[paragraph, [387.0, 1606.0, 1072.0, 36.0], shoonya_0s8YFOAB09JRZF, 5733786]
[paragraph, [387.0, 1642.0, 1072.0, 36.0], shoonya_0s8YFOAB09JRZF, 5733786]
[paragraph, [387.0, 1678.0, 1072.0, 36.0], shoonya_0s8YFOAB09JRZF, 5733786]
[paragraph, [387.0, 1714.0, 1072.0, 36.0], shoonya_0s8YFOAB09JRZF, 5733786]
[paragraph, [387.0, 1750.0, 1072.0, 36.0], shoonya_0s8YFOAB09JRZF, 5733786]
[paragraph, [387.0, 1786.0, 1072.0, 36.0], shoonya_0s8YFOAB09JRZF, 5733786]
[paragraph, [387.0, 1822.0, 1072.0, 36.0], shoonya_0s8YFOAB09JRZF, 5733786]
[paragraph, [387.0, 1858.0, 1072.0, 36.0], shoonya_0s8YFOAB09JRZF, 5733786]
[paragraph, [387.0, 1894.0, 1072.0, 36.0], shoonya_0s8YFOAB09JRZF, 5733786]
[paragraph, [387.0, 1930.0, 1072.0, 36.0], shoonya_0s8YFOAB09JRZF, 5733786]
[paragraph, [387.0, 1966.0, 1072.0, 36.0], shoonya_0s8YFOAB09JRZF, 5733786]
[paragraph, [387.0, 2002.0, 1072.0, 36.0], shoonya_0s8YFOAB09JRZF, 5733786]
[paragraph, [387.0, 2038.0, 1072.0, 36.0], shoonya_0s8YFOAB09JRZF, 5733786]
[paragraph, [387.0, 2074.0, 1072.0, 36.0], shoonya_0s8YFOAB09JRZF, 5733786]
[folio, [1051.0, 2178.0, 333.0, 36.0], shoonya_4sIUM55BXDHNPO, 5733786]
