[1754, 1241]
[ordered-list, [176.0, 161.0, 954.0, 36.0], rhOMVMklow, 5708453]
[ordered-list, [176.0, 197.0, 954.0, 36.0], rhOMVMklow, 5708453]
[ordered-list, [176.0, 233.0, 954.0, 36.0], rhOMVMklow, 5708453]
[ordered-list, [176.0, 269.0, 954.0, 36.0], rhOMVMklow, 5708453]
[ordered-list, [176.0, 305.0, 954.0, 36.0], rhOMVMklow, 5708453]
[ordered-list, [176.0, 341.0, 954.0, 36.0], rhOMVMklow, 5708453]
[ordered-list, [176.0, 377.0, 954.0, 36.0], rhOMVMklow, 5708453]
[ordered-list, [176.0, 413.0, 954.0, 36.0], rhOMVMklow, 5708453]
[ordered-list, [176.0, 449.0, 954.0, 36.0], rhOMVMklow, 5708453]
[ordered-list, [176.0, 485.0, 954.0, 36.0], rhOMVMklow, 5708453]
[sub-ordered-list, [182.0, 221.0, 948.0, 36.0], 5_ehryupAg, 5708453]
[sub-ordered-list, [182.0, 257.0, 948.0, 36.0], 5_ehryupAg, 5708453]
[sub-ordered-list, [182.0, 293.0, 948.0, 36.0], 5_ehryupAg, 5708453]
[sub-ordered-list, [182.0, 329.0, 948.0, 36.0], 5_ehryupAg, 5708453]
[sub-ordered-list, [182.0, 365.0, 948.0, 36.0], 5_ehryupAg, 5708453]
[sub-ordered-list, [182.0, 401.0, 948.0, 36.0], 5_ehryupAg, 5708453]
[sub-ordered-list, [182.0, 437.0, 948.0, 36.0], 5_ehryupAg, 5708453]
[sub-ordered-list, [182.0, 473.0, 948.0, 36.0], 5_ehryupAg, 5708453]
[sub-ordered-list, [182.0, 509.0, 948.0, 36.0], 5_ehryupAg, 5708453]
