[1754, 1241]
[paragraph, [207.0, 147.0, 890.0, 36.0], O02OVZJQtG, 6470962]
[paragraph, [207.0, 183.0, 890.0, 36.0], O02OVZJQtG, 6470962]
[paragraph, [207.0, 219.0, 890.0, 36.0], O02OVZJQtG, 6470962]
[ordered-list, [215.0, 294.0, 887.0, 36.0], r90kZG6QBo, 6470962]
[ordered-list, [215.0, 330.0, 887.0, 36.0], r90kZG6QBo, 6470962]
[ordered-list, [215.0, 366.0, 887.0, 36.0], r90kZG6QBo, 6470962]
[ordered-list, [215.0, 402.0, 887.0, 36.0], r90kZG6QBo, 6470962]
[ordered-list, [215.0, 438.0, 887.0, 36.0], r90kZG6QBo, 6470962]
[ordered-list, [215.0, 474.0, 887.0, 36.0], r90kZG6QBo, 6470962]
[ordered-list, [215.0, 510.0, 887.0, 36.0], r90kZG6QBo, 6470962]
[ordered-list, [215.0, 546.0, 887.0, 36.0], r90kZG6QBo, 6470962]
[ordered-list, [215.0, 582.0, 887.0, 36.0], r90kZG6QBo, 6470962]
[ordered-list, [215.0, 618.0, 887.0, 36.0], r90kZG6QBo, 6470962]
[ordered-list, [215.0, 654.0, 887.0, 36.0], r90kZG6QBo, 6470962]
[ordered-list, [215.0, 690.0, 887.0, 36.0], r90kZG6QBo, 6470962]
[ordered-list, [215.0, 726.0, 887.0, 36.0], r90kZG6QBo, 6470962]
[ordered-list, [215.0, 762.0, 887.0, 36.0], r90kZG6QBo, 6470962]
[ordered-list, [215.0, 798.0, 887.0, 36.0], r90kZG6QBo, 6470962]
[ordered-list, [215.0, 834.0, 887.0, 36.0], r90kZG6QBo, 6470962]
[ordered-list, [215.0, 870.0, 887.0, 36.0], r90kZG6QBo, 6470962]
[ordered-list, [215.0, 906.0, 887.0, 36.0], r90kZG6QBo, 6470962]
[paragraph, [207.0, 1010.0, 890.0, 36.0], 2X9YHdqu3R, 6470962]
[paragraph, [207.0, 1046.0, 890.0, 36.0], 2X9YHdqu3R, 6470962]
[paragraph, [207.0, 1082.0, 890.0, 36.0], 2X9YHdqu3R, 6470962]
[paragraph, [207.0, 1118.0, 890.0, 36.0], 2X9YHdqu3R, 6470962]
[paragraph, [207.0, 1154.0, 890.0, 36.0], 2X9YHdqu3R, 6470962]
[paragraph, [207.0, 1190.0, 890.0, 36.0], 2X9YHdqu3R, 6470962]
[footnote, [212.0, 1568.0, 515.0, 36.0], dtsUdcbrBP, 6470962]
