[3509, 2480]
[paragraph, [351.0, 388.0, 1784.0, 52.5], shoonya_0s2EJ332KXA2UA, 5723926]
[paragraph, [351.0, 440.5, 1784.0, 52.5], shoonya_0s2EJ332KXA2UA, 5723926]
[paragraph, [351.0, 493.0, 1784.0, 52.5], shoonya_0s2EJ332KXA2UA, 5723926]
[paragraph, [351.0, 545.5, 1784.0, 52.5], shoonya_0s2EJ332KXA2UA, 5723926]
[paragraph, [351.0, 598.0, 1784.0, 52.5], shoonya_0s2EJ332KXA2UA, 5723926]
[paragraph, [351.0, 650.5, 1784.0, 52.5], shoonya_0s2EJ332KXA2UA, 5723926]
[paragraph, [371.0, 742.0, 1748.0, 52.5], PyqBiC4Rv2, 5723926]
[paragraph, [371.0, 794.5, 1748.0, 52.5], PyqBiC4Rv2, 5723926]
[paragraph, [371.0, 847.0, 1748.0, 52.5], PyqBiC4Rv2, 5723926]
[paragraph, [371.0, 899.5, 1748.0, 52.5], PyqBiC4Rv2, 5723926]
[paragraph, [371.0, 952.0, 1748.0, 52.5], PyqBiC4Rv2, 5723926]
[paragraph, [371.0, 1004.5, 1748.0, 52.5], PyqBiC4Rv2, 5723926]
[paragraph, [371.0, 1057.0, 1748.0, 52.5], PyqBiC4Rv2, 5723926]
[paragraph, [371.0, 1109.5, 1748.0, 52.5], PyqBiC4Rv2, 5723926]
[paragraph, [371.0, 1162.0, 1748.0, 52.5], PyqBiC4Rv2, 5723926]
[paragraph, [371.0, 1214.5, 1748.0, 52.5], PyqBiC4Rv2, 5723926]
[paragraph, [371.0, 1267.0, 1748.0, 52.5], PyqBiC4Rv2, 5723926]
[paragraph, [371.0, 1319.5, 1748.0, 52.5], PyqBiC4Rv2, 5723926]
[paragraph, [371.0, 1372.0, 1748.0, 52.5], PyqBiC4Rv2, 5723926]
[paragraph, [371.0, 1424.5, 1748.0, 52.5], PyqBiC4Rv2, 5723926]
[paragraph, [371.0, 1477.0, 1748.0, 52.5], PyqBiC4Rv2, 5723926]
[paragraph, [371.0, 1529.5, 1748.0, 52.5], PyqBiC4Rv2, 5723926]
[paragraph, [371.0, 1582.0, 1748.0, 52.5], PyqBiC4Rv2, 5723926]
[paragraph, [371.0, 1634.5, 1748.0, 52.5], PyqBiC4Rv2, 5723926]
[paragraph, [371.0, 1687.0, 1748.0, 52.5], PyqBiC4Rv2, 5723926]
[paragraph, [371.0, 1739.5, 1748.0, 52.5], PyqBiC4Rv2, 5723926]
[paragraph, [371.0, 1792.0, 1748.0, 52.5], PyqBiC4Rv2, 5723926]
[paragraph, [371.0, 1844.5, 1748.0, 52.5], PyqBiC4Rv2, 5723926]
[paragraph, [371.0, 1897.0, 1748.0, 52.5], PyqBiC4Rv2, 5723926]
[paragraph, [371.0, 1949.5, 1748.0, 52.5], PyqBiC4Rv2, 5723926]
[paragraph, [362.0, 2066.0, 1773.0, 52.5], pBQqD5bWHr, 5723926]
[paragraph, [362.0, 2118.5, 1773.0, 52.5], pBQqD5bWHr, 5723926]
[paragraph, [362.0, 2171.0, 1773.0, 52.5], pBQqD5bWHr, 5723926]
[paragraph, [362.0, 2223.5, 1773.0, 52.5], pBQqD5bWHr, 5723926]
[paragraph, [362.0, 2276.0, 1773.0, 52.5], pBQqD5bWHr, 5723926]
[paragraph, [362.0, 2328.5, 1773.0, 52.5], pBQqD5bWHr, 5723926]
[paragraph, [362.0, 2381.0, 1773.0, 52.5], pBQqD5bWHr, 5723926]
[paragraph, [362.0, 2433.5, 1773.0, 52.5], pBQqD5bWHr, 5723926]
[paragraph, [362.0, 2486.0, 1773.0, 52.5], pBQqD5bWHr, 5723926]
[paragraph, [362.0, 2538.5, 1773.0, 52.5], pBQqD5bWHr, 5723926]
[paragraph, [362.0, 2591.0, 1773.0, 52.5], pBQqD5bWHr, 5723926]
[paragraph, [362.0, 2643.5, 1773.0, 52.5], pBQqD5bWHr, 5723926]
[paragraph, [362.0, 2696.0, 1773.0, 52.5], pBQqD5bWHr, 5723926]
[paragraph, [362.0, 2748.5, 1773.0, 52.5], pBQqD5bWHr, 5723926]
[paragraph, [362.0, 2801.0, 1773.0, 52.5], pBQqD5bWHr, 5723926]
[paragraph, [362.0, 2853.5, 1773.0, 52.5], pBQqD5bWHr, 5723926]
[paragraph, [362.0, 2906.0, 1773.0, 52.5], pBQqD5bWHr, 5723926]
[paragraph, [362.0, 2958.5, 1773.0, 52.5], pBQqD5bWHr, 5723926]
[paragraph, [362.0, 3011.0, 1773.0, 52.5], pBQqD5bWHr, 5723926]
[paragraph, [362.0, 3063.5, 1773.0, 52.5], pBQqD5bWHr, 5723926]
