[1468, 909]
[headline, [288.0, 79.0, 409.0, 25.5], un0QUzgmFI, 5769882]
[paragraph, [86.0, 142.0, 371.0, 18.0], 6d5rIGao3H, 5769882]
[paragraph, [86.0, 160.0, 371.0, 18.0], 6d5rIGao3H, 5769882]
[paragraph, [86.0, 178.0, 371.0, 18.0], 6d5rIGao3H, 5769882]
[paragraph, [462.0, 144.0, 367.0, 18.0], 9nlvzJp72B, 5769882]
[paragraph, [462.0, 162.0, 367.0, 18.0], 9nlvzJp72B, 5769882]
[paragraph, [462.0, 180.0, 367.0, 18.0], 9nlvzJp72B, 5769882]
[paragraph, [462.0, 198.0, 367.0, 18.0], 9nlvzJp72B, 5769882]
[paragraph, [462.0, 216.0, 367.0, 18.0], 9nlvzJp72B, 5769882]
[paragraph, [462.0, 234.0, 367.0, 18.0], 9nlvzJp72B, 5769882]
[paragraph, [462.0, 252.0, 367.0, 18.0], 9nlvzJp72B, 5769882]
[paragraph, [462.0, 270.0, 367.0, 18.0], 9nlvzJp72B, 5769882]
[paragraph, [462.0, 288.0, 367.0, 18.0], 9nlvzJp72B, 5769882]
[paragraph, [462.0, 306.0, 367.0, 18.0], 9nlvzJp72B, 5769882]
[paragraph, [462.0, 324.0, 367.0, 18.0], 9nlvzJp72B, 5769882]
[paragraph, [462.0, 342.0, 367.0, 18.0], 9nlvzJp72B, 5769882]
[paragraph, [462.0, 360.0, 367.0, 18.0], 9nlvzJp72B, 5769882]
[paragraph, [462.0, 378.0, 367.0, 18.0], 9nlvzJp72B, 5769882]
[paragraph, [462.0, 396.0, 367.0, 18.0], 9nlvzJp72B, 5769882]
[paragraph, [462.0, 414.0, 367.0, 18.0], 9nlvzJp72B, 5769882]
[paragraph, [462.0, 432.0, 367.0, 18.0], 9nlvzJp72B, 5769882]
[paragraph, [90.0, 207.0, 364.0, 18.0], oehm1KkGib, 5769882]
[paragraph, [90.0, 225.0, 364.0, 18.0], oehm1KkGib, 5769882]
[paragraph, [90.0, 243.0, 364.0, 18.0], oehm1KkGib, 5769882]
[paragraph, [90.0, 261.0, 364.0, 18.0], oehm1KkGib, 5769882]
[paragraph, [90.0, 279.0, 364.0, 18.0], oehm1KkGib, 5769882]
[paragraph, [90.0, 297.0, 364.0, 18.0], oehm1KkGib, 5769882]
[paragraph, [90.0, 315.0, 364.0, 18.0], oehm1KkGib, 5769882]
