[1763, 1275]
[paragraph, [45.0, 42.0, 590.0, 36.0], shoonya_1sUFN119ZLFHG9, 5712362]
[paragraph, [45.0, 78.0, 590.0, 36.0], shoonya_1sUFN119ZLFHG9, 5712362]
[paragraph, [45.0, 114.0, 590.0, 36.0], shoonya_1sUFN119ZLFHG9, 5712362]
[paragraph, [45.0, 150.0, 590.0, 36.0], shoonya_1sUFN119ZLFHG9, 5712362]
[paragraph, [45.0, 186.0, 590.0, 36.0], shoonya_1sUFN119ZLFHG9, 5712362]
[paragraph, [45.0, 222.0, 590.0, 36.0], shoonya_1sUFN119ZLFHG9, 5712362]
[paragraph, [45.0, 258.0, 590.0, 36.0], shoonya_1sUFN119ZLFHG9, 5712362]
[paragraph, [45.0, 294.0, 590.0, 36.0], shoonya_1sUFN119ZLFHG9, 5712362]
[paragraph, [45.0, 330.0, 590.0, 36.0], shoonya_1sUFN119ZLFHG9, 5712362]
[paragraph, [45.0, 366.0, 590.0, 36.0], shoonya_1sUFN119ZLFHG9, 5712362]
[paragraph, [45.0, 402.0, 590.0, 36.0], shoonya_1sUFN119ZLFHG9, 5712362]
[paragraph, [45.0, 438.0, 590.0, 36.0], shoonya_1sUFN119ZLFHG9, 5712362]
[paragraph, [45.0, 474.0, 590.0, 36.0], shoonya_1sUFN119ZLFHG9, 5712362]
[paragraph, [45.0, 510.0, 590.0, 36.0], shoonya_1sUFN119ZLFHG9, 5712362]
[paragraph, [45.0, 546.0, 590.0, 36.0], shoonya_1sUFN119ZLFHG9, 5712362]
[paragraph, [45.0, 582.0, 590.0, 36.0], shoonya_1sUFN119ZLFHG9, 5712362]
[paragraph, [656.0, 53.0, 352.0, 36.0], shoonya_10s56OKG692R1U, 5712362]
[paragraph, [656.0, 89.0, 352.0, 36.0], shoonya_10s56OKG692R1U, 5712362]
[paragraph, [656.0, 125.0, 352.0, 36.0], shoonya_10s56OKG692R1U, 5712362]
[paragraph, [656.0, 161.0, 352.0, 36.0], shoonya_10s56OKG692R1U, 5712362]
[paragraph, [657.0, 218.0, 350.0, 36.0], shoonya_11s60IPSQG5AGO, 5712362]
[paragraph, [657.0, 254.0, 350.0, 36.0], shoonya_11s60IPSQG5AGO, 5712362]
[paragraph, [657.0, 290.0, 350.0, 36.0], shoonya_11s60IPSQG5AGO, 5712362]
[paragraph, [657.0, 326.0, 350.0, 36.0], shoonya_11s60IPSQG5AGO, 5712362]
[paragraph, [657.0, 362.0, 350.0, 36.0], shoonya_11s60IPSQG5AGO, 5712362]
[paragraph, [657.0, 398.0, 350.0, 36.0], shoonya_11s60IPSQG5AGO, 5712362]
[paragraph, [657.0, 434.0, 350.0, 36.0], shoonya_11s60IPSQG5AGO, 5712362]
