[827, 532]
[folio, [211.0, 44.0, 117.0, 18.0], shoonya_0s4ZDHV84GD21X, 5740986]
[folio, [211.0, 62.0, 117.0, 18.0], shoonya_0s4ZDHV84GD21X, 5740986]
[paragraph, [90.0, 93.0, 193.0, 18.0], 6AlqY0ujZj, 5740986]
[paragraph, [50.0, 124.0, 430.0, 18.0], mEHim2dPrQ, 5740986]
[paragraph, [50.0, 142.0, 430.0, 18.0], mEHim2dPrQ, 5740986]
[paragraph, [50.0, 160.0, 430.0, 18.0], mEHim2dPrQ, 5740986]
[paragraph, [50.0, 178.0, 430.0, 18.0], mEHim2dPrQ, 5740986]
[paragraph, [44.0, 216.0, 442.0, 18.0], Im5wLmmYaD, 5740986]
[paragraph, [44.0, 234.0, 442.0, 18.0], Im5wLmmYaD, 5740986]
[paragraph, [44.0, 252.0, 442.0, 18.0], Im5wLmmYaD, 5740986]
[paragraph, [44.0, 270.0, 442.0, 18.0], Im5wLmmYaD, 5740986]
[paragraph, [44.0, 288.0, 442.0, 18.0], Im5wLmmYaD, 5740986]
[paragraph, [44.0, 306.0, 442.0, 18.0], Im5wLmmYaD, 5740986]
[paragraph, [44.0, 324.0, 442.0, 18.0], Im5wLmmYaD, 5740986]
[paragraph, [44.0, 342.0, 442.0, 18.0], Im5wLmmYaD, 5740986]
[paragraph, [44.0, 360.0, 442.0, 18.0], Im5wLmmYaD, 5740986]
[paragraph, [44.0, 378.0, 442.0, 18.0], Im5wLmmYaD, 5740986]
[paragraph, [44.0, 396.0, 442.0, 18.0], Im5wLmmYaD, 5740986]
[paragraph, [44.0, 414.0, 442.0, 18.0], Im5wLmmYaD, 5740986]
[paragraph, [44.0, 432.0, 442.0, 18.0], Im5wLmmYaD, 5740986]
[paragraph, [44.0, 450.0, 442.0, 18.0], Im5wLmmYaD, 5740986]
[paragraph, [44.0, 468.0, 442.0, 18.0], Im5wLmmYaD, 5740986]
[paragraph, [50.0, 507.0, 439.0, 18.0], R9oEReHj1J, 5740986]
[paragraph, [50.0, 525.0, 439.0, 18.0], R9oEReHj1J, 5740986]
[paragraph, [50.0, 543.0, 439.0, 18.0], R9oEReHj1J, 5740986]
[paragraph, [48.0, 580.0, 442.0, 18.0], e5cylmMMb-, 5740986]
[paragraph, [48.0, 598.0, 442.0, 18.0], e5cylmMMb-, 5740986]
[paragraph, [48.0, 616.0, 442.0, 18.0], e5cylmMMb-, 5740986]
[paragraph, [48.0, 634.0, 442.0, 18.0], e5cylmMMb-, 5740986]
[paragraph, [48.0, 652.0, 442.0, 18.0], e5cylmMMb-, 5740986]
[paragraph, [48.0, 670.0, 442.0, 18.0], e5cylmMMb-, 5740986]
[paragraph, [48.0, 688.0, 442.0, 18.0], e5cylmMMb-, 5740986]
[paragraph, [48.0, 706.0, 442.0, 18.0], e5cylmMMb-, 5740986]
[paragraph, [48.0, 724.0, 442.0, 18.0], e5cylmMMb-, 5740986]
[paragraph, [48.0, 742.0, 442.0, 18.0], e5cylmMMb-, 5740986]
[paragraph, [48.0, 760.0, 442.0, 18.0], e5cylmMMb-, 5740986]
[footnote, [215.0, 784.0, 266.0, 18.0], izfmpnDeSk, 5740986]
