[674, 464]
[folio, [229.0, 65.0, 76.0, 18.0], vrfqHLajui, 6464205]
[paragraph, [100.0, 99.0, 324.0, 18.0], shoonya_0sLEV1H0Y4LNA9, 6464205]
[paragraph, [100.0, 117.0, 324.0, 18.0], shoonya_0sLEV1H0Y4LNA9, 6464205]
[paragraph, [100.0, 135.0, 324.0, 18.0], shoonya_0sLEV1H0Y4LNA9, 6464205]
[paragraph, [100.0, 153.0, 324.0, 18.0], shoonya_0sLEV1H0Y4LNA9, 6464205]
[paragraph, [100.0, 171.0, 324.0, 18.0], shoonya_0sLEV1H0Y4LNA9, 6464205]
[paragraph, [100.0, 189.0, 324.0, 18.0], shoonya_0sLEV1H0Y4LNA9, 6464205]
[paragraph, [100.0, 207.0, 324.0, 18.0], shoonya_0sLEV1H0Y4LNA9, 6464205]
[paragraph, [100.0, 225.0, 324.0, 18.0], shoonya_0sLEV1H0Y4LNA9, 6464205]
[paragraph, [100.0, 243.0, 324.0, 18.0], shoonya_0sLEV1H0Y4LNA9, 6464205]
[paragraph, [100.0, 261.0, 324.0, 18.0], shoonya_0sLEV1H0Y4LNA9, 6464205]
[paragraph, [100.0, 279.0, 324.0, 18.0], shoonya_0sLEV1H0Y4LNA9, 6464205]
[paragraph, [100.0, 297.0, 324.0, 18.0], shoonya_0sLEV1H0Y4LNA9, 6464205]
[paragraph, [100.0, 315.0, 324.0, 18.0], shoonya_0sLEV1H0Y4LNA9, 6464205]
[paragraph, [100.0, 333.0, 324.0, 18.0], shoonya_0sLEV1H0Y4LNA9, 6464205]
[paragraph, [100.0, 351.0, 324.0, 18.0], shoonya_0sLEV1H0Y4LNA9, 6464205]
[paragraph, [100.0, 369.0, 324.0, 18.0], shoonya_0sLEV1H0Y4LNA9, 6464205]
[paragraph, [100.0, 387.0, 324.0, 18.0], shoonya_0sLEV1H0Y4LNA9, 6464205]
[paragraph, [100.0, 405.0, 324.0, 18.0], shoonya_0sLEV1H0Y4LNA9, 6464205]
[paragraph, [100.0, 423.0, 324.0, 18.0], shoonya_0sLEV1H0Y4LNA9, 6464205]
[paragraph, [100.0, 441.0, 324.0, 18.0], shoonya_0sLEV1H0Y4LNA9, 6464205]
[paragraph, [100.0, 459.0, 324.0, 18.0], shoonya_0sLEV1H0Y4LNA9, 6464205]
[paragraph, [100.0, 477.0, 324.0, 18.0], shoonya_0sLEV1H0Y4LNA9, 6464205]
[paragraph, [100.0, 495.0, 324.0, 18.0], shoonya_0sLEV1H0Y4LNA9, 6464205]
[paragraph, [100.0, 513.0, 324.0, 18.0], shoonya_0sLEV1H0Y4LNA9, 6464205]
[paragraph, [100.0, 531.0, 324.0, 18.0], shoonya_0sLEV1H0Y4LNA9, 6464205]
[paragraph, [100.0, 549.0, 324.0, 18.0], shoonya_0sLEV1H0Y4LNA9, 6464205]
[paragraph, [100.0, 567.0, 324.0, 18.0], shoonya_0sLEV1H0Y4LNA9, 6464205]
[footnote, [108.0, 640.0, 247.0, 18.0], dNrtgDmyVP, 6464205]
