[2481, 1654]
[folio, [1186.0, 95.0, 128.0, 36.0], 4CyVNpjbvO, 5721270]
[folio, [1186.0, 131.0, 128.0, 36.0], 4CyVNpjbvO, 5721270]
[paragraph, [151.0, 215.0, 1309.0, 36.0], shoonya_0sTU1YP7E2N8KN, 5721270]
[paragraph, [151.0, 251.0, 1309.0, 36.0], shoonya_0sTU1YP7E2N8KN, 5721270]
[paragraph, [151.0, 287.0, 1309.0, 36.0], shoonya_0sTU1YP7E2N8KN, 5721270]
[paragraph, [151.0, 323.0, 1309.0, 36.0], shoonya_0sTU1YP7E2N8KN, 5721270]
[paragraph, [151.0, 359.0, 1309.0, 36.0], shoonya_0sTU1YP7E2N8KN, 5721270]
[paragraph, [151.0, 395.0, 1309.0, 36.0], shoonya_0sTU1YP7E2N8KN, 5721270]
[paragraph, [151.0, 431.0, 1309.0, 36.0], shoonya_0sTU1YP7E2N8KN, 5721270]
[paragraph, [148.0, 481.0, 1308.0, 36.0], 6x83l440BQ, 5721270]
[paragraph, [148.0, 517.0, 1308.0, 36.0], 6x83l440BQ, 5721270]
[paragraph, [148.0, 553.0, 1308.0, 36.0], 6x83l440BQ, 5721270]
[paragraph, [148.0, 589.0, 1308.0, 36.0], 6x83l440BQ, 5721270]
[paragraph, [148.0, 625.0, 1308.0, 36.0], 6x83l440BQ, 5721270]
[paragraph, [148.0, 661.0, 1308.0, 36.0], 6x83l440BQ, 5721270]
[paragraph, [148.0, 697.0, 1308.0, 36.0], 6x83l440BQ, 5721270]
[paragraph, [225.0, 741.0, 547.0, 36.0], 2wChY89Lzk, 5721270]
[paragraph, [150.0, 791.0, 1300.0, 36.0], l8JrKz1-a_, 5721270]
[paragraph, [150.0, 827.0, 1300.0, 36.0], l8JrKz1-a_, 5721270]
[paragraph, [150.0, 863.0, 1300.0, 36.0], l8JrKz1-a_, 5721270]
[paragraph, [150.0, 899.0, 1300.0, 36.0], l8JrKz1-a_, 5721270]
[paragraph, [150.0, 935.0, 1300.0, 36.0], l8JrKz1-a_, 5721270]
[paragraph, [150.0, 971.0, 1300.0, 36.0], l8JrKz1-a_, 5721270]
[paragraph, [150.0, 1007.0, 1300.0, 36.0], l8JrKz1-a_, 5721270]
[paragraph, [146.0, 1053.0, 1306.0, 36.0], s6U5HK-10p, 5721270]
[paragraph, [146.0, 1089.0, 1306.0, 36.0], s6U5HK-10p, 5721270]
[paragraph, [146.0, 1125.0, 1306.0, 36.0], s6U5HK-10p, 5721270]
[paragraph, [146.0, 1161.0, 1306.0, 36.0], s6U5HK-10p, 5721270]
[paragraph, [142.0, 1208.0, 1310.0, 36.0], KOje2C9kWF, 5721270]
[paragraph, [142.0, 1244.0, 1310.0, 36.0], KOje2C9kWF, 5721270]
[paragraph, [142.0, 1280.0, 1310.0, 36.0], KOje2C9kWF, 5721270]
[paragraph, [142.0, 1316.0, 1310.0, 36.0], KOje2C9kWF, 5721270]
[paragraph, [142.0, 1365.0, 1302.0, 36.0], YqiFpfrsOb, 5721270]
[paragraph, [142.0, 1401.0, 1302.0, 36.0], YqiFpfrsOb, 5721270]
[paragraph, [142.0, 1437.0, 1302.0, 36.0], YqiFpfrsOb, 5721270]
[paragraph, [142.0, 1473.0, 1302.0, 36.0], YqiFpfrsOb, 5721270]
[paragraph, [136.0, 1520.0, 1312.0, 36.0], 1BbS9eJ_Vj, 5721270]
[paragraph, [136.0, 1556.0, 1312.0, 36.0], 1BbS9eJ_Vj, 5721270]
[paragraph, [134.0, 1623.0, 1314.0, 36.0], _9AFdS9Rmp, 5721270]
[paragraph, [134.0, 1659.0, 1314.0, 36.0], _9AFdS9Rmp, 5721270]
[paragraph, [134.0, 1695.0, 1314.0, 36.0], _9AFdS9Rmp, 5721270]
[paragraph, [134.0, 1731.0, 1314.0, 36.0], _9AFdS9Rmp, 5721270]
[paragraph, [134.0, 1767.0, 1314.0, 36.0], _9AFdS9Rmp, 5721270]
[paragraph, [134.0, 1803.0, 1314.0, 36.0], _9AFdS9Rmp, 5721270]
[paragraph, [134.0, 1839.0, 1314.0, 36.0], _9AFdS9Rmp, 5721270]
[paragraph, [134.0, 1875.0, 1314.0, 36.0], _9AFdS9Rmp, 5721270]
[paragraph, [134.0, 1911.0, 1314.0, 36.0], _9AFdS9Rmp, 5721270]
[paragraph, [134.0, 1947.0, 1314.0, 36.0], _9AFdS9Rmp, 5721270]
[paragraph, [134.0, 1983.0, 1314.0, 36.0], _9AFdS9Rmp, 5721270]
[paragraph, [134.0, 2019.0, 1314.0, 36.0], _9AFdS9Rmp, 5721270]
[paragraph, [134.0, 2055.0, 1314.0, 36.0], _9AFdS9Rmp, 5721270]
[paragraph, [134.0, 2091.0, 1314.0, 36.0], _9AFdS9Rmp, 5721270]
[paragraph, [134.0, 2127.0, 1314.0, 36.0], _9AFdS9Rmp, 5721270]
[paragraph, [134.0, 2163.0, 1314.0, 36.0], _9AFdS9Rmp, 5721270]
