[1565, 1152]
[section-title, [97.0, 78.0, 390.0, 49.5], shoonya_7sXTNOMF9WY9E4, 5722442]
[author, [758.0, 90.0, 298.0, 36.0], -Yn2QiZQbl, 5722442]
[author, [758.0, 126.0, 298.0, 36.0], -Yn2QiZQbl, 5722442]
[headline, [360.0, 141.0, 375.0, 37.5], shoonya_8sX6LYCDFEGMKR, 5722442]
[paragraph, [106.0, 210.0, 910.0, 36.0], shoonya_4sHQ050FN5VXNG, 5722442]
[paragraph, [106.0, 246.0, 910.0, 36.0], shoonya_4sHQ050FN5VXNG, 5722442]
[paragraph, [106.0, 282.0, 910.0, 36.0], shoonya_4sHQ050FN5VXNG, 5722442]
[paragraph, [106.0, 318.0, 910.0, 36.0], shoonya_4sHQ050FN5VXNG, 5722442]
[paragraph, [106.0, 354.0, 910.0, 36.0], shoonya_4sHQ050FN5VXNG, 5722442]
[paragraph, [108.0, 411.0, 912.0, 36.0], shoonya_3sRHCOVXJRZ5AI, 5722442]
[paragraph, [108.0, 447.0, 912.0, 36.0], shoonya_3sRHCOVXJRZ5AI, 5722442]
[paragraph, [105.0, 503.0, 917.0, 36.0], shoonya_2sZO7TYWOHMQ85, 5722442]
[paragraph, [105.0, 539.0, 917.0, 36.0], shoonya_2sZO7TYWOHMQ85, 5722442]
[paragraph, [105.0, 575.0, 917.0, 36.0], shoonya_2sZO7TYWOHMQ85, 5722442]
[paragraph, [105.0, 611.0, 917.0, 36.0], shoonya_2sZO7TYWOHMQ85, 5722442]
[paragraph, [105.0, 647.0, 917.0, 36.0], shoonya_2sZO7TYWOHMQ85, 5722442]
[paragraph, [105.0, 683.0, 917.0, 36.0], shoonya_2sZO7TYWOHMQ85, 5722442]
[paragraph, [105.0, 719.0, 917.0, 36.0], shoonya_2sZO7TYWOHMQ85, 5722442]
[paragraph, [108.0, 770.0, 912.0, 36.0], shoonya_1sYYZ8O56CWO1T, 5722442]
[paragraph, [108.0, 806.0, 912.0, 36.0], shoonya_1sYYZ8O56CWO1T, 5722442]
[paragraph, [105.0, 860.0, 906.0, 36.0], shoonya_6sOD5RL7AI5XZX, 5722442]
[paragraph, [105.0, 896.0, 906.0, 36.0], shoonya_6sOD5RL7AI5XZX, 5722442]
[paragraph, [105.0, 932.0, 906.0, 36.0], shoonya_6sOD5RL7AI5XZX, 5722442]
[paragraph, [105.0, 968.0, 906.0, 36.0], shoonya_6sOD5RL7AI5XZX, 5722442]
[paragraph, [105.0, 1004.0, 906.0, 36.0], shoonya_6sOD5RL7AI5XZX, 5722442]
[paragraph, [105.0, 1040.0, 906.0, 36.0], shoonya_6sOD5RL7AI5XZX, 5722442]
[paragraph, [106.0, 1080.0, 911.0, 36.0], shoonya_5sHX7PCXFIHY7U, 5722442]
[paragraph, [106.0, 1116.0, 911.0, 36.0], shoonya_5sHX7PCXFIHY7U, 5722442]
[paragraph, [106.0, 1152.0, 911.0, 36.0], shoonya_5sHX7PCXFIHY7U, 5722442]
