[2150, 1329]
[folio, [526.0, 124.0, 266.0, 36.0], uKqWRClFTy, 5691763]
[folio, [526.0, 160.0, 266.0, 36.0], uKqWRClFTy, 5691763]
[folio, [998.0, 134.0, 196.0, 36.0], QGY2mYCk-q, 5691763]
[paragraph, [361.0, 218.0, 611.0, 36.0], EkaFpLtg62, 5691763]
[paragraph, [361.0, 254.0, 611.0, 36.0], EkaFpLtg62, 5691763]
[paragraph, [361.0, 290.0, 611.0, 36.0], EkaFpLtg62, 5691763]
[paragraph, [361.0, 326.0, 611.0, 36.0], EkaFpLtg62, 5691763]
[paragraph, [361.0, 362.0, 611.0, 36.0], EkaFpLtg62, 5691763]
[paragraph, [361.0, 398.0, 611.0, 36.0], EkaFpLtg62, 5691763]
[paragraph, [361.0, 434.0, 611.0, 36.0], EkaFpLtg62, 5691763]
[paragraph, [361.0, 470.0, 611.0, 36.0], EkaFpLtg62, 5691763]
[paragraph, [361.0, 506.0, 611.0, 36.0], EkaFpLtg62, 5691763]
[paragraph, [361.0, 542.0, 611.0, 36.0], EkaFpLtg62, 5691763]
[paragraph, [361.0, 578.0, 611.0, 36.0], EkaFpLtg62, 5691763]
[paragraph, [361.0, 614.0, 611.0, 36.0], EkaFpLtg62, 5691763]
[paragraph, [361.0, 650.0, 611.0, 36.0], EkaFpLtg62, 5691763]
[paragraph, [361.0, 686.0, 611.0, 36.0], EkaFpLtg62, 5691763]
[paragraph, [361.0, 722.0, 611.0, 36.0], EkaFpLtg62, 5691763]
[paragraph, [361.0, 758.0, 611.0, 36.0], EkaFpLtg62, 5691763]
[paragraph, [361.0, 794.0, 611.0, 36.0], EkaFpLtg62, 5691763]
[paragraph, [361.0, 830.0, 611.0, 36.0], EkaFpLtg62, 5691763]
[paragraph, [361.0, 866.0, 611.0, 36.0], EkaFpLtg62, 5691763]
[paragraph, [361.0, 902.0, 611.0, 36.0], EkaFpLtg62, 5691763]
[paragraph, [361.0, 938.0, 611.0, 36.0], EkaFpLtg62, 5691763]
[paragraph, [361.0, 974.0, 611.0, 36.0], EkaFpLtg62, 5691763]
[paragraph, [361.0, 1010.0, 611.0, 36.0], EkaFpLtg62, 5691763]
[paragraph, [361.0, 1046.0, 611.0, 36.0], EkaFpLtg62, 5691763]
[paragraph, [361.0, 1082.0, 611.0, 36.0], EkaFpLtg62, 5691763]
[paragraph, [361.0, 1118.0, 611.0, 36.0], EkaFpLtg62, 5691763]
[paragraph, [361.0, 1154.0, 611.0, 36.0], EkaFpLtg62, 5691763]
[paragraph, [361.0, 1190.0, 611.0, 36.0], EkaFpLtg62, 5691763]
[paragraph, [361.0, 1229.0, 588.0, 36.0], 6ijE6wckIR, 5691763]
[paragraph, [361.0, 1265.0, 588.0, 36.0], 6ijE6wckIR, 5691763]
[paragraph, [361.0, 1301.0, 588.0, 36.0], 6ijE6wckIR, 5691763]
[paragraph, [361.0, 1337.0, 588.0, 36.0], 6ijE6wckIR, 5691763]
[paragraph, [361.0, 1373.0, 588.0, 36.0], 6ijE6wckIR, 5691763]
[paragraph, [361.0, 1409.0, 588.0, 36.0], 6ijE6wckIR, 5691763]
[paragraph, [361.0, 1445.0, 588.0, 36.0], 6ijE6wckIR, 5691763]
[paragraph, [361.0, 1481.0, 588.0, 36.0], 6ijE6wckIR, 5691763]
[paragraph, [361.0, 1517.0, 588.0, 36.0], 6ijE6wckIR, 5691763]
[paragraph, [361.0, 1553.0, 588.0, 36.0], 6ijE6wckIR, 5691763]
[paragraph, [361.0, 1589.0, 588.0, 36.0], 6ijE6wckIR, 5691763]
[paragraph, [361.0, 1625.0, 588.0, 36.0], 6ijE6wckIR, 5691763]
[paragraph, [361.0, 1661.0, 588.0, 36.0], 6ijE6wckIR, 5691763]
[footnote, [165.0, 1740.0, 1059.0, 36.0], Tf0HZWue5d, 5691763]
[footnote, [165.0, 1776.0, 1059.0, 36.0], Tf0HZWue5d, 5691763]
[footnote, [165.0, 1812.0, 1059.0, 36.0], Tf0HZWue5d, 5691763]
[footnote, [165.0, 1848.0, 1059.0, 36.0], Tf0HZWue5d, 5691763]
[footnote, [165.0, 1884.0, 1059.0, 36.0], Tf0HZWue5d, 5691763]
[footnote, [165.0, 1920.0, 1059.0, 36.0], Tf0HZWue5d, 5691763]
[footnote, [165.0, 1956.0, 1059.0, 36.0], Tf0HZWue5d, 5691763]
[footnote, [165.0, 1992.0, 1059.0, 36.0], Tf0HZWue5d, 5691763]
